tag,country,n_states,unused_plantations,unused_farms,unused_capped,unused_discoverable
BIC,East India,21,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine,oil_rig rubber_plantation
EGY,Egypt,17,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch millet_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,oil_rig
FRA,France,29,banana_plantation coffee_plantation cotton_plantation dye_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm rice_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig rubber_plantation
GBR,Great Britain,26,banana_plantation coffee_plantation cotton_plantation dye_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm rye_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig rubber_plantation
GRE,Greece,3,cotton_plantation tobacco_plantation vineyard,livestock_ranch wheat_farm,iron_mine lead_mine logging_camp sulfur_mine,
HUN,Hungary,7,vineyard,livestock_ranch,coal_mine lead_mine logging_camp,oil_rig
HYD,Hyderabad,2,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine iron_mine logging_camp,
JAP,Japan,11,cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig
KOR,Korea,5,cotton_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation,livestock_ranch,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine whaling_station,
MEX,Mexico,22,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig rubber_plantation
MOR,Morocco,4,banana_plantation cotton_plantation sugar_plantation vineyard,wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine,
NEP,Nepal,1,opium_plantation,livestock_ranch rice_farm,iron_mine lead_mine logging_camp,
NET,Netherlands,6,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tobacco_plantation,livestock_ranch millet_farm rice_farm rye_farm,coal_mine fishing_wharf logging_camp whaling_station,gold_field oil_rig rubber_plantation
OMA,Oman,7,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp,oil_rig rubber_plantation
TUR,Ottomans,30,banana_plantation cotton_plantation opium_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,oil_rig
PER,Persia,12,cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,oil_rig
PHI,Philippines,4,banana_plantation coffee_plantation cotton_plantation dye_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine fishing_wharf iron_mine logging_camp whaling_station,rubber_plantation
POR,Portugal,19,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm rice_farm wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig rubber_plantation
PRU,Prussia,13,vineyard,livestock_ranch rye_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine,
PAN,Punjab,3,coffee_plantation cotton_plantation opium_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,wheat_farm,coal_mine iron_mine lead_mine logging_camp,oil_rig
RUS,Russia,73,cotton_plantation silk_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch rice_farm rye_farm wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig
SAR,Sardinia-Piedmont,4,cotton_plantation silk_plantation vineyard,livestock_ranch wheat_farm,coal_mine iron_mine lead_mine logging_camp sulfur_mine,
SHW,Shewa,1,cotton_plantation dye_plantation sugar_plantation tea_plantation vineyard,livestock_ranch,,oil_rig rubber_plantation
SIA,Siam,6,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp,rubber_plantation
SOK,Sokoto,5,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch millet_farm,coal_mine iron_mine lead_mine logging_camp,oil_rig rubber_plantation
SAF,South Africa,3,banana_plantation cotton_plantation tea_plantation vineyard,livestock_ranch wheat_farm,coal_mine fishing_wharf iron_mine logging_camp whaling_station,gold_field
SPA,Spain,15,banana_plantation coffee_plantation cotton_plantation silk_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm wheat_farm,coal_mine fishing_wharf gold_mine iron_mine lead_mine logging_camp sulfur_mine whaling_station,
SWE,Sweden,5,,livestock_ranch rye_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp,
SIC,Two Sicilies,5,cotton_plantation silk_plantation sugar_plantation,livestock_ranch,coal_mine fishing_wharf logging_camp,
USA,United States,39,cotton_plantation dye_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm rice_farm wheat_farm,coal_mine fishing_wharf iron_mine lead_mine logging_camp sulfur_mine whaling_station,gold_field oil_rig
