tag,country,good,category,produced,consumed,net
BEL,Belgium,liquor,luxury,120.0,0.0,120.0
BEL,Belgium,luxury_furniture,luxury,75.0,0.0,75.0
BEL,Belgium,meat,luxury,125.0,0.0,125.0
BEL,Belgium,merchant_marine,staple,27.0,32.0,-5.0
BEL,Belgium,paper,staple,70.0,90.0,-20.0
BEL,Belgium,small_arms,military,30.0,0.0,30.0
BEL,Belgium,steel,industrial,130.0,60.0,70.0
BEL,Belgium,sugar,luxury,6.0,80.0,-74.0
BEL,Belgium,sulfur,industrial,80.0,90.0,-10.0
BEL,Belgium,tools,industrial,240.0,251.0,-11.0
BEL,Belgium,transportation,staple,60.0,0.0,60.0
BEL,Belgium,wood,staple,420.0,346.0,74.0
BRZ,Brazil,clippers,industrial,80.0,42.0,38.0
BRZ,Brazil,clothes,staple,180.0,0.0,180.0
BRZ,Brazil,fabric,staple,285.0,260.0,25.0
BRZ,Brazil,fish,staple,150.0,0.0,150.0
BRZ,Brazil,fruit,luxury,462.0,0.0,462.0
BRZ,Brazil,furniture,staple,45.0,0.0,45.0
BRZ,Brazil,gold,luxury,16.0,0.0,16.0
BRZ,Brazil,grain,staple,730.0,0.0,730.0
BRZ,Brazil,hardwood,industrial,30.0,10.0,20.0
BRZ,Brazil,iron,industrial,40.0,30.0,10.0
BRZ,Brazil,meat,luxury,30.0,0.0,30.0
BRZ,Brazil,merchant_marine,staple,63.0,36.0,27.0
BRZ,Brazil,paper,staple,160.0,120.0,40.0
BRZ,Brazil,small_arms,military,30.0,0.0,30.0
BRZ,Brazil,sugar,luxury,178.0,0.0,178.0
BRZ,Brazil,tobacco,luxury,60.0,0.0,60.0
BRZ,Brazil,tools,industrial,90.0,110.0,-20.0
BRZ,Brazil,wood,staple,1080.0,440.0,640.0
BUR,Burma,clippers,industrial,0.0,12.0,-12.0
BUR,Burma,fabric,staple,10.0,0.0,10.0
BUR,Burma,fish,staple,50.0,0.0,50.0
BUR,Burma,grain,staple,140.0,0.0,140.0
BUR,Burma,meat,luxury,20.0,0.0,20.0
BUR,Burma,merchant_marine,staple,18.0,0.0,18.0
BUR,Burma,opium,luxury,20.0,0.0,20.0
BUR,Burma,tea,luxury,20.0,0.0,20.0
BUR,Burma,tobacco,luxury,60.0,0.0,60.0
CHI,China,clippers,industrial,120.0,114.0,6.0
CHI,China,clothes,staple,720.0,0.0,720.0
CHI,China,dye,industrial,1380.0,250.0,1130.0
CHI,China,fabric,staple,155.0,1250.0,-1095.0
CHI,China,fish,staple,675.0,0.0,675.0
CHI,China,fruit,luxury,2179.0,0.0,2179.0
CHI,China,furniture,staple,1800.0,0.0,1800.0
CHI,China,glass,industrial,1500.0,0.0,1500.0
CHI,China,grain,staple,3420.0,0.0,3420.0
CHI,China,hardwood,industrial,310.0,640.0,-330.0
CHI,China,iron,industrial,140.0,145.0,-5.0
CHI,China,luxury_clothes,luxury,480.0,0.0,480.0
CHI,China,luxury_furniture,luxury,1000.0,0.0,1000.0
CHI,China,meat,luxury,310.0,0.0,310.0
CHI,China,merchant_marine,staple,171.0,160.0,11.0
CHI,China,opium,luxury,420.0,0.0,420.0
CHI,China,paper,staple,2320.0,2030.0,290.0
CHI,China,porcelain,luxury,500.0,0.0,500.0
CHI,China,silk,industrial,1290.0,240.0,1050.0
CHI,China,small_arms,military,120.0,25.0,95.0
CHI,China,sugar,luxury,185.0,0.0,185.0
CHI,China,tea,luxury,3880.0,0.0,3880.0
CHI,China,tools,industrial,240.0,280.0,-40.0
CHI,China,wood,staple,2970.0,5130.0,-2160.0
CLM,Colombia,clippers,industrial,0.0,6.0,-6.0
CLM,Colombia,clothes,staple,45.0,0.0,45.0
CLM,Colombia,fabric,staple,95.0,50.0,45.0
CLM,Colombia,fish,staple,25.0,0.0,25.0
CLM,Colombia,fruit,luxury,40.0,0.0,40.0
CLM,Colombia,furniture,staple,45.0,0.0,45.0
CLM,Colombia,grain,staple,145.0,0.0,145.0
CLM,Colombia,hardwood,industrial,10.0,0.0,10.0
CLM,Colombia,iron,industrial,0.0,5.0,-5.0
CLM,Colombia,meat,luxury,10.0,0.0,10.0
CLM,Colombia,merchant_marine,staple,9.0,8.0,1.0
CLM,Colombia,small_arms,military,0.0,5.0,-5.0
CLM,Colombia,sugar,luxury,50.0,0.0,50.0
CLM,Colombia,tobacco,luxury,120.0,0.0,120.0
CLM,Colombia,wood,staple,90.0,30.0,60.0
DAI,Dai Nam,fabric,staple,15.0,0.0,15.0
DAI,Dai Nam,fish,staple,50.0,0.0,50.0
DAI,Dai Nam,grain,staple,70.0,0.0,70.0
DAI,Dai Nam,meat,luxury,30.0,0.0,30.0
DAI,Dai Nam,merchant_marine,staple,0.0,4.0,-4.0
DAI,Dai Nam,opium,luxury,40.0,0.0,40.0
DAI,Dai Nam,tea,luxury,40.0,0.0,40.0
DEI,Dutch East Indies,clippers,industrial,40.0,12.0,28.0
DEI,Dutch East Indies,dye,industrial,300.0,0.0,300.0
DEI,Dutch East Indies,fabric,staple,90.0,70.0,20.0
DEI,Dutch East Indies,fruit,luxury,30.0,0.0,30.0
DEI,Dutch East Indies,grain,staple,1120.0,0.0,1120.0
DEI,Dutch East Indies,hardwood,industrial,70.0,0.0,70.0
DEI,Dutch East Indies,iron,industrial,0.0,5.0,-5.0
DEI,Dutch East Indies,merchant_marine,staple,18.0,24.0,-6.0
DEI,Dutch East Indies,paper,staple,0.0,100.0,-100.0
DEI,Dutch East Indies,small_arms,military,0.0,5.0,-5.0
DEI,Dutch East Indies,sugar,luxury,104.0,0.0,104.0
DEI,Dutch East Indies,tea,luxury,80.0,0.0,80.0
DEI,Dutch East Indies,tobacco,luxury,660.0,0.0,660.0
DEI,Dutch East Indies,wood,staple,210.0,190.0,20.0
BIC,East India,artillery,military,25.0,0.0,25.0
BIC,East India,clippers,industrial,200.0,134.0,66.0
BIC,East India,clothes,staple,1350.0,0.0,1350.0
BIC,East India,coal,industrial,50.0,0.0,50.0
BIC,East India,dye,industrial,1290.0,15.0,1275.0
BIC,East India,fabric,staple,720.0,1405.0,-685.0
BIC,East India,fish,staple,525.0,0.0,525.0
BIC,East India,fruit,luxury,320.0,0.0,320.0
BIC,East India,furniture,staple,155.0,0.0,155.0
BIC,East India,glass,industrial,90.0,0.0,90.0
BIC,East India,gold,luxury,16.0,0.0,16.0
BIC,East India,hardwood,industrial,210.0,165.0,45.0
BIC,East India,iron,industrial,100.0,125.0,-25.0
BIC,East India,luxury_clothes,luxury,810.0,0.0,810.0
BIC,East India,luxury_furniture,luxury,75.0,0.0,75.0
BIC,East India,merchant_marine,staple,126.0,60.0,66.0
BIC,East India,opium,luxury,1460.0,0.0,1460.0
BIC,East India,paper,staple,160.0,430.0,-270.0
BIC,East India,porcelain,luxury,30.0,0.0,30.0
BIC,East India,silk,industrial,300.0,405.0,-105.0
BIC,East India,small_arms,military,330.0,0.0,330.0
BIC,East India,sugar,luxury,125.0,0.0,125.0
BIC,East India,tea,luxury,40.0,0.0,40.0
BIC,East India,tobacco,luxury,570.0,0.0,570.0
BIC,East India,tools,industrial,0.0,50.0,-50.0
BIC,East India,wood,staple,630.0,725.0,-95.0
EGY,Egypt,clippers,industrial,80.0,64.0,16.0
EGY,Egypt,clothes,staple,180.0,0.0,180.0
EGY,Egypt,dye,industrial,0.0,10.0,-10.0
EGY,Egypt,fabric,staple,580.0,275.0,305.0
EGY,Egypt,fish,staple,475.0,0.0,475.0
EGY,Egypt,fruit,luxury,49.0,0.0,49.0
EGY,Egypt,glass,industrial,60.0,0.0,60.0
EGY,Egypt,grain,staple,400.0,0.0,400.0
EGY,Egypt,hardwood,industrial,40.0,20.0,20.0
EGY,Egypt,iron,industrial,0.0,25.0,-25.0
EGY,Egypt,meat,luxury,80.0,0.0,80.0
EGY,Egypt,merchant_marine,staple,36.0,36.0,0.0
EGY,Egypt,opium,luxury,60.0,0.0,60.0
EGY,Egypt,paper,staple,120.0,120.0,0.0
EGY,Egypt,porcelain,luxury,20.0,0.0,20.0
EGY,Egypt,silk,industrial,15.0,0.0,15.0
EGY,Egypt,small_arms,military,60.0,5.0,55.0
EGY,Egypt,sugar,luxury,82.0,0.0,82.0
EGY,Egypt,tea,luxury,20.0,0.0,20.0
EGY,Egypt,tobacco,luxury,420.0,0.0,420.0
EGY,Egypt,wood,staple,120.0,455.0,-335.0
FRA,France,ammunition,military,150.0,0.0,150.0
FRA,France,artillery,military,50.0,0.0,50.0
FRA,France,clippers,industrial,400.0,141.0,259.0
FRA,France,clothes,staple,1740.0,0.0,1740.0
FRA,France,coal,industrial,520.0,174.0,346.0
FRA,France,dye,industrial,30.0,175.0,-145.0
FRA,France,engines,industrial,0.0,10.0,-10.0
FRA,France,explosives,industrial,50.0,60.0,-10.0
FRA,France,fabric,staple,360.0,1690.0,-1330.0
FRA,France,fertilizer,industrial,57.5,140.0,-82.5
FRA,France,fine_art,luxury,10.0,0.0,10.0
FRA,France,fish,staple,775.0,0.0,775.0
FRA,France,fruit,luxury,49.0,0.0,49.0
FRA,France,furniture,staple,1235.0,0.0,1235.0
FRA,France,glass,industrial,240.0,0.0,240.0
FRA,France,grain,staple,2140.0,590.0,1550.0
FRA,France,groceries,staple,585.0,0.0,585.0
FRA,France,hardwood,industrial,320.0,195.0,125.0
FRA,France,iron,industrial,200.0,585.0,-385.0
FRA,France,lead,industrial,120.0,120.0,0.0
FRA,France,liquor,luxury,180.0,0.0,180.0
FRA,France,luxury_clothes,luxury,450.0,0.0,450.0
FRA,France,luxury_furniture,luxury,125.0,0.0,125.0
FRA,France,meat,luxury,625.0,0.0,625.0
FRA,France,merchant_marine,staple,99.0,108.0,-9.0
FRA,France,paper,staple,1470.0,1035.0,435.0
FRA,France,porcelain,luxury,60.0,0.0,60.0
FRA,France,silk,industrial,270.0,225.0,45.0
FRA,France,small_arms,military,300.0,25.0,275.0
FRA,France,steel,industrial,130.0,160.0,-30.0
FRA,France,sugar,luxury,172.0,210.0,-38.0
FRA,France,sulfur,industrial,160.0,230.0,-70.0
FRA,France,tobacco,luxury,60.0,0.0,60.0
FRA,France,tools,industrial,640.0,697.0,-57.0
FRA,France,transportation,staple,60.0,0.0,60.0
FRA,France,wine,luxury,1560.0,0.0,1560.0
FRA,France,wood,staple,1920.0,2256.0,-336.0
GBR,Great Britain,ammunition,military,100.0,0.0,100.0
GBR,Great Britain,artillery,military,50.0,0.0,50.0
GBR,Great Britain,clippers,industrial,680.0,286.0,394.0
GBR,Great Britain,clothes,staple,3420.0,0.0,3420.0
GBR,Great Britain,coal,industrial,2360.0,406.0,1954.0
GBR,Great Britain,dye,industrial,0.0,320.0,-320.0
GBR,Great Britain,engines,industrial,120.0,65.0,55.0
GBR,Great Britain,explosives,industrial,50.0,40.0,10.0
GBR,Great Britain,fabric,staple,405.0,3150.0,-2745.0
GBR,Great Britain,fertilizer,industrial,247.5,370.0,-122.5
GBR,Great Britain,fine_art,luxury,15.0,0.0,15.0
GBR,Great Britain,fish,staple,925.0,0.0,925.0
GBR,Great Britain,fruit,luxury,80.0,0.0,80.0
GBR,Great Britain,furniture,staple,2275.0,0.0,2275.0
GBR,Great Britain,glass,industrial,280.0,0.0,280.0
GBR,Great Britain,grain,staple,2100.0,750.0,1350.0
GBR,Great Britain,groceries,staple,780.0,0.0,780.0
GBR,Great Britain,hardwood,industrial,100.0,615.0,-515.0
GBR,Great Britain,iron,industrial,480.0,945.0,-465.0
GBR,Great Britain,lead,industrial,100.0,110.0,-10.0
GBR,Great Britain,liquor,luxury,610.0,0.0,610.0
GBR,Great Britain,luxury_clothes,luxury,390.0,0.0,390.0
GBR,Great Britain,luxury_furniture,luxury,875.0,0.0,875.0
GBR,Great Britain,meat,luxury,695.0,0.0,695.0
GBR,Great Britain,merchant_marine,staple,279.0,184.0,95.0
GBR,Great Britain,oil,industrial,40.0,0.0,40.0
GBR,Great Britain,paper,staple,700.0,795.0,-95.0
GBR,Great Britain,porcelain,luxury,70.0,0.0,70.0
GBR,Great Britain,silk,industrial,0.0,195.0,-195.0
GBR,Great Britain,small_arms,military,210.0,55.0,155.0
GBR,Great Britain,steel,industrial,520.0,510.0,10.0
GBR,Great Britain,sugar,luxury,325.0,380.0,-55.0
GBR,Great Britain,sulfur,industrial,0.0,180.0,-180.0
GBR,Great Britain,tobacco,luxury,60.0,0.0,60.0
GBR,Great Britain,tools,industrial,1680.0,1325.0,355.0
GBR,Great Britain,transportation,staple,390.0,0.0,390.0
GBR,Great Britain,wood,staple,600.0,3264.0,-2664.0
GRE,Greece,clippers,industrial,40.0,27.0,13.0
GRE,Greece,fabric,staple,90.0,20.0,70.0
GRE,Greece,fish,staple,150.0,0.0,150.0
GRE,Greece,grain,staple,40.0,0.0,40.0
GRE,Greece,merchant_marine,staple,18.0,4.0,14.0
GRE,Greece,tobacco,luxury,30.0,0.0,30.0
GRE,Greece,wine,luxury,40.0,0.0,40.0
GRE,Greece,wood,staple,60.0,40.0,20.0
HUN,Hungary,fabric,staple,75.0,45.0,30.0
HUN,Hungary,fruit,luxury,91.0,0.0,91.0
HUN,Hungary,furniture,staple,130.0,0.0,130.0
HUN,Hungary,grain,staple,260.0,160.0,100.0
HUN,Hungary,groceries,staple,180.0,0.0,180.0
HUN,Hungary,hardwood,industrial,30.0,30.0,0.0
HUN,Hungary,iron,industrial,60.0,0.0,60.0
HUN,Hungary,liquor,luxury,240.0,0.0,240.0
HUN,Hungary,luxury_furniture,luxury,50.0,0.0,50.0
HUN,Hungary,meat,luxury,150.0,0.0,150.0
HUN,Hungary,merchant_marine,staple,0.0,9.0,-9.0
HUN,Hungary,paper,staple,0.0,90.0,-90.0
HUN,Hungary,sugar,luxury,13.0,100.0,-87.0
HUN,Hungary,tools,industrial,0.0,25.0,-25.0
HUN,Hungary,wine,luxury,160.0,0.0,160.0
HUN,Hungary,wood,staple,90.0,135.0,-45.0
HYD,Hyderabad,fabric,staple,90.0,0.0,90.0
HYD,Hyderabad,hardwood,industrial,0.0,10.0,-10.0
HYD,Hyderabad,iron,industrial,0.0,10.0,-10.0
HYD,Hyderabad,paper,staple,40.0,0.0,40.0
HYD,Hyderabad,silk,industrial,45.0,0.0,45.0
HYD,Hyderabad,small_arms,military,30.0,0.0,30.0
HYD,Hyderabad,sugar,luxury,50.0,0.0,50.0
HYD,Hyderabad,wood,staple,0.0,30.0,-30.0
JAP,Japan,clippers,industrial,40.0,29.0,11.0
JAP,Japan,clothes,staple,180.0,0.0,180.0
JAP,Japan,dye,industrial,120.0,20.0,100.0
JAP,Japan,fabric,staple,280.0,270.0,10.0
JAP,Japan,fish,staple,250.0,190.0,60.0
JAP,Japan,fruit,luxury,300.0,0.0,300.0
JAP,Japan,furniture,staple,180.0,0.0,180.0
JAP,Japan,glass,industrial,120.0,0.0,120.0
JAP,Japan,gold,luxury,8.0,0.0,8.0
JAP,Japan,grain,staple,890.0,200.0,690.0
JAP,Japan,groceries,staple,225.0,0.0,225.0
JAP,Japan,hardwood,industrial,50.0,60.0,-10.0
JAP,Japan,lead,industrial,40.0,0.0,40.0
JAP,Japan,luxury_clothes,luxury,120.0,0.0,120.0
JAP,Japan,luxury_furniture,luxury,100.0,0.0,100.0
JAP,Japan,meat,luxury,30.0,0.0,30.0
JAP,Japan,merchant_marine,staple,36.0,8.0,28.0
JAP,Japan,oil,industrial,20.0,0.0,20.0
JAP,Japan,paper,staple,200.0,210.0,-10.0
JAP,Japan,porcelain,luxury,40.0,0.0,40.0
JAP,Japan,silk,industrial,60.0,60.0,0.0
JAP,Japan,sugar,luxury,65.0,0.0,65.0
JAP,Japan,tea,luxury,280.0,0.0,280.0
JAP,Japan,tobacco,luxury,270.0,0.0,270.0
JAP,Japan,tools,industrial,30.0,35.0,-5.0
JAP,Japan,wood,staple,540.0,610.0,-70.0
KOR,Korea,clippers,industrial,40.0,36.0,4.0
KOR,Korea,dye,industrial,0.0,35.0,-35.0
KOR,Korea,fabric,staple,15.0,45.0,-30.0
KOR,Korea,fish,staple,300.0,0.0,300.0
KOR,Korea,fruit,luxury,45.0,0.0,45.0
KOR,Korea,glass,industrial,210.0,0.0,210.0
KOR,Korea,grain,staple,280.0,0.0,280.0
KOR,Korea,iron,industrial,20.0,0.0,20.0
KOR,Korea,meat,luxury,30.0,0.0,30.0
KOR,Korea,merchant_marine,staple,9.0,0.0,9.0
KOR,Korea,paper,staple,0.0,90.0,-90.0
KOR,Korea,porcelain,luxury,70.0,0.0,70.0
KOR,Korea,sugar,luxury,6.0,0.0,6.0
KOR,Korea,tobacco,luxury,240.0,0.0,240.0
KOR,Korea,tools,industrial,0.0,5.0,-5.0
KOR,Korea,wood,staple,0.0,325.0,-325.0
MEX,Mexico,clippers,industrial,0.0,6.0,-6.0
MEX,Mexico,clothes,staple,135.0,0.0,135.0
MEX,Mexico,dye,industrial,210.0,5.0,205.0
MEX,Mexico,fabric,staple,20.0,165.0,-145.0
MEX,Mexico,fish,staple,125.0,0.0,125.0
MEX,Mexico,fruit,luxury,120.0,0.0,120.0
MEX,Mexico,furniture,staple,90.0,0.0,90.0
MEX,Mexico,glass,industrial,30.0,0.0,30.0
MEX,Mexico,gold,luxury,24.0,0.0,24.0
MEX,Mexico,grain,staple,160.0,40.0,120.0
MEX,Mexico,groceries,staple,65.0,0.0,65.0
MEX,Mexico,hardwood,industrial,30.0,0.0,30.0
MEX,Mexico,iron,industrial,20.0,5.0,15.0
MEX,Mexico,liquor,luxury,60.0,0.0,60.0
MEX,Mexico,meat,luxury,40.0,0.0,40.0
MEX,Mexico,merchant_marine,staple,9.0,9.0,0.0
MEX,Mexico,paper,staple,0.0,100.0,-100.0
MEX,Mexico,porcelain,luxury,10.0,0.0,10.0
MEX,Mexico,small_arms,military,0.0,5.0,-5.0
MEX,Mexico,sugar,luxury,75.0,40.0,35.0
MEX,Mexico,tobacco,luxury,210.0,0.0,210.0
MEX,Mexico,tools,industrial,30.0,40.0,-10.0
MEX,Mexico,wood,staple,240.0,195.0,45.0
MOR,Morocco,clippers,industrial,40.0,12.0,28.0
MOR,Morocco,clothes,staple,45.0,0.0,45.0
MOR,Morocco,fabric,staple,30.0,60.0,-30.0
MOR,Morocco,fish,staple,75.0,0.0,75.0
MOR,Morocco,glass,industrial,30.0,0.0,30.0
MOR,Morocco,iron,industrial,40.0,0.0,40.0
MOR,Morocco,meat,luxury,60.0,0.0,60.0
MOR,Morocco,merchant_marine,staple,18.0,4.0,14.0
MOR,Morocco,tools,industrial,30.0,10.0,20.0
MOR,Morocco,wood,staple,30.0,100.0,-70.0
NEP,Nepal,tea,luxury,20.0,0.0,20.0
NEP,Nepal,tobacco,luxury,30.0,0.0,30.0
NET,Netherlands,clippers,industrial,160.0,73.0,87.0
NET,Netherlands,clothes,staple,240.0,0.0,240.0
NET,Netherlands,dye,industrial,0.0,25.0,-25.0
NET,Netherlands,fabric,staple,70.0,310.0,-240.0
NET,Netherlands,fish,staple,250.0,0.0,250.0
NET,Netherlands,fruit,luxury,49.0,0.0,49.0
NET,Netherlands,furniture,staple,90.0,0.0,90.0
NET,Netherlands,glass,industrial,30.0,0.0,30.0
NET,Netherlands,grain,staple,140.0,80.0,60.0
NET,Netherlands,groceries,staple,130.0,0.0,130.0
NET,Netherlands,hardwood,industrial,20.0,60.0,-40.0
NET,Netherlands,iron,industrial,0.0,35.0,-35.0
NET,Netherlands,luxury_clothes,luxury,120.0,0.0,120.0
NET,Netherlands,luxury_furniture,luxury,50.0,0.0,50.0
NET,Netherlands,meat,luxury,50.0,0.0,50.0
NET,Netherlands,merchant_marine,staple,72.0,40.0,32.0
NET,Netherlands,paper,staple,200.0,70.0,130.0
NET,Netherlands,porcelain,luxury,10.0,0.0,10.0
NET,Netherlands,silk,industrial,0.0,60.0,-60.0
NET,Netherlands,small_arms,military,90.0,5.0,85.0
NET,Netherlands,sugar,luxury,32.0,30.0,2.0
NET,Netherlands,wood,staple,60.0,550.0,-490.0
OMA,Oman,clippers,industrial,40.0,50.0,-10.0
OMA,Oman,fabric,staple,45.0,20.0,25.0
OMA,Oman,fish,staple,225.0,0.0,225.0
OMA,Oman,merchant_marine,staple,45.0,8.0,37.0
OMA,Oman,wood,staple,60.0,40.0,20.0
TUR,Ottomans,artillery,military,25.0,0.0,25.0
TUR,Ottomans,clippers,industrial,160.0,78.0,82.0
TUR,Ottomans,clothes,staple,450.0,0.0,450.0
TUR,Ottomans,dye,industrial,0.0,20.0,-20.0
TUR,Ottomans,fabric,staple,380.0,600.0,-220.0
TUR,Ottomans,fish,staple,625.0,0.0,625.0
TUR,Ottomans,fruit,luxury,49.0,0.0,49.0
TUR,Ottomans,furniture,staple,315.0,0.0,315.0
TUR,Ottomans,glass,industrial,120.0,0.0,120.0
TUR,Ottomans,grain,staple,685.0,40.0,645.0
TUR,Ottomans,groceries,staple,45.0,0.0,45.0
TUR,Ottomans,hardwood,industrial,120.0,90.0,30.0
TUR,Ottomans,iron,industrial,120.0,85.0,35.0
TUR,Ottomans,luxury_clothes,luxury,90.0,0.0,90.0
TUR,Ottomans,luxury_furniture,luxury,100.0,0.0,100.0
TUR,Ottomans,meat,luxury,130.0,0.0,130.0
TUR,Ottomans,merchant_marine,staple,117.0,23.0,94.0
TUR,Ottomans,paper,staple,240.0,190.0,50.0
TUR,Ottomans,porcelain,luxury,40.0,0.0,40.0
TUR,Ottomans,silk,industrial,60.0,45.0,15.0
TUR,Ottomans,small_arms,military,60.0,10.0,50.0
TUR,Ottomans,sugar,luxury,7.0,0.0,7.0
TUR,Ottomans,tea,luxury,420.0,0.0,420.0
TUR,Ottomans,tobacco,luxury,720.0,0.0,720.0
TUR,Ottomans,tools,industrial,120.0,125.0,-5.0
TUR,Ottomans,wine,luxury,60.0,0.0,60.0
TUR,Ottomans,wood,staple,1140.0,880.0,260.0
PER,Persia,clippers,industrial,0.0,12.0,-12.0
PER,Persia,clothes,staple,135.0,0.0,135.0
PER,Persia,dye,industrial,30.0,5.0,25.0
PER,Persia,fabric,staple,105.0,140.0,-35.0
PER,Persia,fish,staple,25.0,0.0,25.0
PER,Persia,fruit,luxury,30.0,0.0,30.0
PER,Persia,furniture,staple,90.0,0.0,90.0
PER,Persia,glass,industrial,30.0,0.0,30.0
PER,Persia,grain,staple,390.0,0.0,390.0
PER,Persia,luxury_clothes,luxury,60.0,0.0,60.0
PER,Persia,meat,luxury,30.0,0.0,30.0
PER,Persia,merchant_marine,staple,18.0,0.0,18.0
PER,Persia,opium,luxury,140.0,0.0,140.0
PER,Persia,porcelain,luxury,10.0,0.0,10.0
PER,Persia,silk,industrial,30.0,30.0,0.0
PER,Persia,sugar,luxury,4.0,0.0,4.0
PER,Persia,tea,luxury,60.0,0.0,60.0
PER,Persia,wood,staple,90.0,90.0,0.0
PHI,Philippines,clippers,industrial,0.0,6.0,-6.0
PHI,Philippines,fish,staple,75.0,0.0,75.0
PHI,Philippines,grain,staple,385.0,0.0,385.0
PHI,Philippines,iron,industrial,0.0,5.0,-5.0
PHI,Philippines,merchant_marine,staple,9.0,4.0,5.0
PHI,Philippines,small_arms,military,0.0,5.0,-5.0
