tag,state,building,levels,navy_law,law_source,cap,over_by
LUC,STATE_EMILIA,building_port,1,law_merchant_navy,group default,50,0
MAS,STATE_ALGIERS,building_naval_administration,2,law_merchant_navy,group default,20,0
MAS,STATE_ALGIERS,building_port,1,law_merchant_navy,group default,50,0
MEC,STATE_MECKLENBURG,building_port,1,law_merchant_navy,group default,50,0
MEX,STATE_VERACRUZ,building_naval_administration,1,law_merchant_navy,group default,20,0
MEX,STATE_VERACRUZ,building_port,1,law_merchant_navy,group default,50,0
MKT,STATE_NICARAGUA,building_port,1,law_merchant_navy,group default,50,0
MOR,STATE_AL_RIF,building_naval_administration,2,law_merchant_navy,group default,20,0
MOR,STATE_FEZ,building_port,1,law_merchant_navy,group default,50,0
MOR,STATE_MARRAKECH,building_port,1,law_merchant_navy,group default,50,0
NBS,STATE_NEW_BRUNSWICK,building_port,1,law_merchant_navy,group default,50,0
NET,STATE_FRIESLAND,building_port,3,law_diplomatic_navy,history,40,0
NET,STATE_GOLD_COAST,building_port,1,law_diplomatic_navy,history,40,0
NET,STATE_GUAYANA,building_port,1,law_diplomatic_navy,history,40,0
NET,STATE_HOLLAND,building_naval_administration,15,law_diplomatic_navy,history,30,0
NET,STATE_HOLLAND,building_port,5,law_diplomatic_navy,history,40,0
NET,STATE_WEST_INDIES,building_port,1,law_diplomatic_navy,history,40,0
NOR,STATE_EASTERN_NORWAY,building_port,2,law_merchant_navy,group default,50,0
NOR,STATE_WESTERN_NORWAY,building_naval_administration,1,law_merchant_navy,group default,20,0
NOR,STATE_WESTERN_NORWAY,building_port,1,law_merchant_navy,group default,50,0
NPU,STATE_LIMA,building_port,1,law_merchant_navy,group default,50,0
NSW,STATE_NEW_SOUTH_WALES,building_port,1,law_merchant_navy,group default,50,0
NSW,STATE_NORTHERN_TERRITORY,building_port,1,law_merchant_navy,group default,50,0
NSW,STATE_NORTH_ISLAND,building_port,1,law_merchant_navy,group default,50,0
NSW,STATE_VICTORIA,building_port,1,law_merchant_navy,group default,50,0
NVS,STATE_NEW_BRUNSWICK,building_port,1,law_merchant_navy,group default,50,0
OLD,STATE_HANNOVER,building_port,1,law_merchant_navy,group default,50,0
OMA,STATE_ABU_DHABI,building_port,1,law_merchant_navy,group default,50,0
OMA,STATE_BALUCHISTAN,building_port,1,law_merchant_navy,group default,50,0
OMA,STATE_LARISTAN,building_port,1,law_merchant_navy,group default,50,0
OMA,STATE_OMAN,building_naval_administration,5,law_merchant_navy,group default,20,0
OMA,STATE_OMAN,building_port,3,law_merchant_navy,group default,50,0
OMA,STATE_SISTAN,building_port,1,law_merchant_navy,group default,50,0
OMA,STATE_ZANZIBAR,building_port,2,law_merchant_navy,group default,50,0
ORG,STATE_WASHINGTON,building_port,1,law_merchant_navy,group default,50,0
PAP,STATE_LAZIO,building_naval_administration,1,law_merchant_navy,group default,20,0
PAP,STATE_LAZIO,building_port,1,law_merchant_navy,group default,50,0
PCO,STATE_PUERTO_RICO,building_port,1,law_merchant_navy,group default,50,0
PER,STATE_FARS,building_port,1,law_merchant_navy,group default,50,0
PER,STATE_MAZANDARAN,building_port,1,law_merchant_navy,group default,50,0
PHI,STATE_LUZON,building_port,1,law_merchant_navy,group default,50,0
PHI,STATE_WEST_MICRONESIA,building_port,1,law_merchant_navy,group default,50,0
PLY,STATE_TAHITI,building_port,1,law_merchant_navy,group default,50,0
PNI,STATE_RIO_GRANDE_DO_SUL,building_port,1,law_merchant_navy,group default,50,0
PON,STATE_WEST_BORNEO,building_port,1,law_merchant_navy,group default,50,0
POR,STATE_AZORES,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_BOMBAY,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_CAPE_VERDE,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_ENTRE_DOURO_E_MINHO,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_ESTREMADURA,building_naval_administration,10,law_diplomatic_navy,history,30,0
POR,STATE_ESTREMADURA,building_port,2,law_diplomatic_navy,history,40,0
POR,STATE_GUANGDONG,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_GUINEA,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_GUJARAT,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_LOURENCO_MARQUES,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_MADEIRA,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_MOCAMBIQUE,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_NORTH_ANGOLA,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_SOUTH_CAMEROON,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_SUNDA_ISLANDS,building_port,1,law_diplomatic_navy,history,40,0
POR,STATE_ZAMBEZIA,building_port,1,law_diplomatic_navy,history,40,0
PRA,STATE_PARA,building_port,1,law_merchant_navy,group default,50,0
PRU,STATE_POMERANIA,building_naval_administration,2,law_merchant_navy,group default,20,0
PRU,STATE_POMERANIA,building_port,1,law_merchant_navy,group default,50,0
PRU,STATE_WEST_PRUSSIA,building_port,1,law_merchant_navy,group default,50,0
QUE,STATE_QUEBEC,building_port,1,law_merchant_navy,group default,50,0
RUS,STATE_ARKHANGELSK,building_port,1,law_professional_navy,history,20,0
RUS,STATE_CHERSON,building_naval_administration,12,law_professional_navy,history,60,0
RUS,STATE_CHERSON,building_port,2,law_professional_navy,history,20,0
RUS,STATE_CRIMEA,building_naval_administration,2,law_professional_navy,history,60,0
RUS,STATE_CRIMEA,building_port,1,law_professional_navy,history,20,0
RUS,STATE_INGRIA,building_naval_administration,14,law_professional_navy,history,60,0
RUS,STATE_INGRIA,building_port,4,law_professional_navy,history,20,0
RUS,STATE_KAUNAS,building_port,1,law_professional_navy,history,20,0
RUS,STATE_KIEV,building_naval_administration,4,law_professional_navy,history,60,0
RUS,STATE_MINSK,building_naval_administration,2,law_professional_navy,history,60,0
RUS,STATE_MOSCOW,building_naval_administration,6,law_professional_navy,history,60,0
RUS,STATE_NIZHNY_NOVGOROD,building_naval_administration,4,law_professional_navy,history,60,0
RUS,STATE_OKHOTSK,building_port,1,law_professional_navy,history,20,0
RUS,STATE_ROSTOV,building_naval_administration,4,law_professional_navy,history,60,0
RUS,STATE_YAROSLAVL,building_naval_administration,4,law_professional_navy,history,60,0
SAF,STATE_CAPE_COLONY,building_port,1,law_merchant_navy,group default,50,0
SAR,STATE_PIEDMONT,building_naval_administration,5,law_merchant_navy,group default,20,0
SAR,STATE_PIEDMONT,building_port,1,law_merchant_navy,group default,50,0
SAR,STATE_SARDINIA,building_port,1,law_merchant_navy,group default,50,0
SAS,STATE_SOUTH_AUSTRALIA,building_port,1,law_merchant_navy,group default,50,0
SIA,STATE_BANGKOK,building_port,3,law_merchant_navy,group default,50,0
SIC,STATE_CALABRIA,building_port,1,law_merchant_navy,group default,50,0
SIC,STATE_CAMPANIA,building_naval_administration,10,law_merchant_navy,group default,20,0
SIC,STATE_CAMPANIA,building_port,3,law_merchant_navy,group default,50,0
SIC,STATE_SICILY,building_port,2,law_merchant_navy,group default,50,0
SIL,STATE_GOLD_COAST,building_port,1,law_merchant_navy,group default,50,0
SIL,STATE_SENEGAL,building_port,1,law_merchant_navy,group default,50,0
SIL,STATE_SIERRA_LEONE,building_port,1,law_merchant_navy,group default,50,0
SIL,STATE_SOUTH_CAMEROON,building_port,1,law_merchant_navy,group default,50,0
SMB,STATE_WEST_BORNEO,building_port,1,law_merchant_navy,group default,50,0
SPA,STATE_AL_RIF,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_ASTURIAS,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_BALEARIC_ISLANDS,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_CANARY_ISLANDS,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_CATALONIA,building_port,2,law_diplomatic_navy,history,40,0
SPA,STATE_GALICIA,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_LOWER_ANDALUSIA,building_port,3,law_diplomatic_navy,history,40,0
SPA,STATE_MURCIA,building_port,1,law_diplomatic_navy,history,40,0
SPA,STATE_VALENCIA,building_naval_administration,10,law_diplomatic_navy,history,30,0
SPA,STATE_VALENCIA,building_port,1,law_diplomatic_navy,history,40,0
SPC,STATE_BASQUE_COUNTRY,building_port,1,law_merchant_navy,group default,50,0
SUL,STATE_MINDANAO,building_port,1,law_merchant_navy,group default,50,0
SUL,STATE_NORTH_BORNEO,building_port,1,law_merchant_navy,group default,50,0
SWE,STATE_GOTALAND,building_naval_administration,5,law_professional_navy,history,60,0
SWE,STATE_GOTALAND,building_port,1,law_professional_navy,history,20,0
SWE,STATE_GOTLAND,building_port,1,law_professional_navy,history,20,0
SWE,STATE_SCANIA,building_port,1,law_professional_navy,history,20,0
SWE,STATE_SVEALAND,building_naval_administration,10,law_professional_navy,history,60,0
SWE,STATE_SVEALAND,building_port,1,law_professional_navy,history,20,0
TEX,STATE_TEXAS,building_naval_administration,1,law_merchant_navy,group default,20,0
TID,STATE_MOLUCCAS,building_port,1,law_merchant_navy,group default,50,0
TID,STATE_WESTERN_NEW_GUINEA,building_port,1,law_merchant_navy,group default,50,0
TRI,STATE_TRIPOLI,building_port,1,law_merchant_navy,group default,50,0
TUN,STATE_TUNISIA,building_naval_administration,1,law_merchant_navy,group default,20,0
TUN,STATE_TUNISIA,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_ALBANIA,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_AYDIN,building_port,2,law_merchant_navy,group default,50,0
TUR,STATE_BASRA,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_BULGARIA,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_CYPRUS,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_DOBRUDJA,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_EASTERN_THRACE,building_naval_administration,20,law_merchant_navy,group default,20,0
TUR,STATE_EASTERN_THRACE,building_port,3,law_merchant_navy,group default,50,0
TUR,STATE_HUDAVENDIGAR,building_naval_administration,5,law_merchant_navy,group default,20,0
TUR,STATE_HUDAVENDIGAR,building_port,2,law_merchant_navy,group default,50,0
TUR,STATE_TRABZON,building_port,1,law_merchant_navy,group default,50,0
TUR,STATE_WESTERN_THRACE,building_port,1,law_merchant_navy,group default,50,0
TUS,STATE_TUSCANY,building_naval_administration,1,law_merchant_navy,group default,20,0
TUS,STATE_TUSCANY,building_port,2,law_merchant_navy,group default,50,0
UBD,STATE_RIGA,building_port,2,law_merchant_navy,group default,50,0
UBD,STATE_TALINN,building_port,1,law_merchant_navy,group default,50,0
UBD,STATE_TARTU,building_port,1,law_merchant_navy,group default,50,0
UCA,STATE_HONDURAS,building_port,1,law_merchant_navy,group default,50,0
URU,STATE_URUGUAY,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_ALABAMA,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_CONNECTICUT,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_DISTRICT_OF_COLUMBIA,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_GEORGIA,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_LOUISIANA,building_port,2,law_merchant_navy,group default,50,0
USA,STATE_MAINE,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_MARYLAND,building_port,2,law_merchant_navy,group default,50,0
USA,STATE_MASSACHUSETTS,building_naval_administration,15,law_merchant_navy,group default,20,0
USA,STATE_MASSACHUSETTS,building_port,3,law_merchant_navy,group default,50,0
USA,STATE_NEW_YORK,building_port,3,law_merchant_navy,group default,50,0
USA,STATE_NORTH_CAROLINA,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_SOUTH_CAROLINA,building_port,1,law_merchant_navy,group default,50,0
USA,STATE_VIRGINIA,building_port,3,law_merchant_navy,group default,50,0
VNZ,STATE_MIRANDA,building_port,1,law_merchant_navy,group default,50,0
VNZ,STATE_WEST_INDIES,building_port,1,law_merchant_navy,group default,50,0
WAS,STATE_WESTERN_AUSTRALIA,building_port,1,law_merchant_navy,group default,50,0
