expander,expander_culture,target,day1_war,state
ARG,platinean,CHL,,STATE_ARAUCANIA
SIA,thai,JOH,yes,STATE_MALAYA
SIA,thai,PRK,,STATE_MALAYA
SIA,thai,SEL,,STATE_MALAYA
SIA,thai,CAM,,STATE_CAMBODIA
MOR,maghrebi,MAS,yes,STATE_ORAN
MOR,maghrebi,MAS,yes,STATE_ALGIERS
MOR,maghrebi,AIT,,STATE_CONSTANTINE
MOR,maghrebi,CON,,STATE_CONSTANTINE
MOR,maghrebi,TUG,,STATE_EAST_SAHARA
MOR,maghrebi,TUN,,STATE_TUNISIA
OMA,bedouin,ABU,yes,STATE_ABU_DHABI
OMA,bedouin,BHN,,STATE_ABU_DHABI
OMA,bedouin,BHN,,STATE_LARISTAN
OMA,bedouin,KAT,,STATE_YEMEN
OMA,bedouin,LAH,,STATE_YEMEN
OMA,bedouin,ZAI,,STATE_YEMEN
OMA,bedouin,NEJ,,STATE_HAIL
OMA,bedouin,NEJ,,STATE_NEJD
OMA,bedouin,MAH,,STATE_YEMEN
SHW,amhara,ARS,yes,STATE_OROMIA
SHW,amhara,SDM,,STATE_AMHARA
SHW,amhara,WLT,,STATE_AMHARA
SHW,amhara,WLG,,STATE_AMHARA
SHW,amhara,HDY,,STATE_AMHARA
SHW,amhara,KFA,,STATE_AMHARA
SHW,amhara,HAR,,STATE_OROMIA
SHW,amhara,AWS,,STATE_GONDER
SHW,amhara,AWS,,STATE_ERITREA
SHW,amhara,ISQ,,STATE_SOMALILAND
SHW,amhara,WSG,,STATE_SOMALILAND
SAF,british,BST,yes,STATE_ZULULAND
SAF,british,BST,yes,STATE_VRYSTAAT
