company,file,eligibility,buildings,prosperity_buffs,prestige_goods
company_tata,00_companies_asia.txt,region:STATE_BOMBAY,building_iron_mine building_motor_industry building_steel_mill building_textile_mill,building_construction_sector_throughput_add=0.05 ; country_max_weekly_construction_progress_add=10,prestige_good_generic_clothes
company_sunhwaguk,00_companies_asia.txt,culture:korean,building_chemical_plant building_food_industry building_rice_farm building_tobacco_plantation,country_tech_spread_mult=0.1,prestige_good_generic_grain
company_nam_dinh,00_companies_asia.txt,region:STATE_TONKIN,building_cotton_plantation building_silk_plantation building_textile_mill,country_tech_spread_mult=0.1,prestige_good_generic_clothes
company_imperial_tobacco,00_companies_asia.txt,(broad),building_opium_plantation building_tobacco_plantation,country_tech_spread_mult=0.2 ; interest_group_ig_rural_folk_approval_add=-2,
company_san_miguel,00_companies_asia.txt,(broad),building_food_industry building_maize_farm building_rye_farm building_wheat_farm,state_radicals_from_political_movements_mult=-0.1,prestige_good_generic_groceries
company_william_sandford,00_companies_asia.txt,region:STATE_NEW_SOUTH_WALES,building_coal_mine building_iron_mine building_steel_mill,building_railway_throughput_add=0.15,prestige_good_generic_steel
company_b_grimm,00_companies_asia.txt,region:STATE_BANGKOK,building_chemical_plant building_rice_farm,state_infrastructure_from_population_mult=0.1 ; building_food_industry_throughput_add=0.1,prestige_good_generic_grain
company_skoda,00_companies_austria_hungary.txt,region:STATE_BOHEMIA,building_artillery_foundry building_automotive_industry building_motor_industry building_steel_mill,character_advancement_speed_add=1 ; unit_combat_unit_type_siege_artillery_offense_mult=0.15,prestige_good_generic_steel
company_mav,00_companies_austria_hungary.txt,region:STATE_CENTRAL_HUNGARY,building_automotive_industry building_motor_industry building_tooling_workshop,building_railway_throughput_add=0.1,prestige_good_generic_tools
company_manfred_weiss,00_companies_austria_hungary.txt,region:STATE_CENTRAL_HUNGARY,building_automotive_industry building_iron_mine building_munition_plant building_steel_mill,unit_offense_mult=0.05 ; country_military_tech_spread_mult=0.05,prestige_good_generic_steel
company_galician_carpathian_oil,00_companies_austria_hungary.txt,"region:STATE_EAST_GALICIA,STATE_WEST_GALICIA",building_coal_mine building_oil_rig building_power_plant,building_railway_throughput_add=0.05 ; building_tooling_workshop_throughput_add=0.1,
company_oevg,00_companies_austria_hungary.txt,region:STATE_AUSTRIA,building_arms_industry building_artillery_foundry building_electrics_industry building_munition_plant building_steel_mill,building_munition_plant_throughput_add=0.1 ; unit_defense_mult=0.05,prestige_good_generic_small_arms
company_kaiping_mining,00_companies_china.txt,"region:STATE_BEIJING,STATE_ZHILI",building_coal_mine building_iron_mine building_lead_mine building_railway,country_tech_spread_mult=0.1,
company_hanyang_arsenal,00_companies_china.txt,region:STATE_EASTERN_HUBEI,building_arms_industry building_artillery_foundry building_explosives_factory building_munition_plant,unit_combat_unit_type_shrapnel_artillery_offense_mult=0.2 ; unit_morale_recovery_mult=0.15,prestige_good_generic_small_arms
company_foochow_arsenal,00_companies_china.txt,region:STATE_FUJIAN,building_artillery_foundry building_shipyard building_steel_mill building_tooling_workshop,ship_hull_damage_mult=0.025 ; building_port_throughput_add=0.10,
company_jingdezhen,00_companies_china.txt,region:STATE_JIANGXI,building_glassworks building_lead_mine,country_prestige_mult=0.15 ; building_lead_mine_throughput_add=0.05,prestige_good_canton_porcelain
company_sao_paulo_railway,00_companies_cots.txt,region:STATE_SAO_PAULO,building_logging_camp building_motor_industry building_railway,building_coffee_plantation_throughput_add=0.15 ; state_trade_capacity_mult=0.1,
company_estaleiro_maua,00_companies_cots.txt,region:STATE_RIO_DE_JANEIRO,building_artillery_foundry building_logging_camp building_shipyard,country_ship_group_supply_ships_construction_efficiency_add=0.1 ; building_steel_mill_throughput_add=0.1,
company_pernambuco_textiles,00_companies_cots.txt,region:STATE_PERNAMBUCO,building_cotton_plantation building_livestock_ranch building_textile_mill,building_cotton_plantation_throughput_add=0.1 ; building_rubber_plantation_throughput_add=0.05,prestige_good_generic_clothes
company_fundicao_ipanema,00_companies_cots.txt,region:STATE_SAO_PAULO,building_coal_mine building_iron_mine building_steel_mill,building_munition_plant_throughput_add=0.05 ; building_arms_industry_throughput_add=0.1,prestige_good_generic_steel
company_rossi,00_companies_cots.txt,region:STATE_RIO_GRANDE_DO_SUL,building_arms_industry building_explosives_factory building_munition_plant,building_livestock_ranch_throughput_add=0.1 ; building_chemical_plant_throughput_add=0.05,prestige_good_generic_small_arms
company_estanifera_llallagua,00_companies_cots.txt,region:STATE_POTOSI,building_iron_mine building_lead_mine building_sulfur_mine,building_lead_mine_throughput_add=0.1 ; interest_group_ig_industrialists_pol_str_mult=0.15,
company_argentinian_wine,00_companies_cots.txt,tag:ARG,building_livestock_ranch building_vineyard,country_prestige_mult=0.2,
company_sudamericana_de_vapores,00_companies_cots.txt,region:STATE_SANTIAGO,building_logging_camp building_port building_shipyard,state_colony_growth_speed_mult=0.1 ; country_ship_group_supply_ships_construction_efficiency_add=0.1,
company_electricidad_de_caracas,00_companies_cots.txt,region:STATE_MIRANDA,building_coal_mine building_motor_industry building_power_plant,state_infrastructure_from_population_add=5 ; state_infrastructure_from_population_max_add=10,
company_cordoba_railway,00_companies_cots.txt,region:STATE_LA_PAMPA,building_coal_mine building_motor_industry building_railway,building_wheat_farm_throughput_add=0.1 ; building_livestock_ranch_throughput_add=0.05,
company_eea,00_companies_cots.txt,region:STATE_LIMA,building_coal_mine building_power_plant,state_infrastructure_from_population_mult=0.05 ; state_construction_mult=0.05,
company_sumitomo,00_companies_ep2.txt,region:STATE_KANSAI,building_chemical_plant building_coal_mine building_iron_mine building_lead_mine building_steel_mill building_tooling_workshop,interest_group_ig_industrialists_pol_str_mult=0.1 ; building_construction_sector_throughput_add=0.05,prestige_good_generic_steel
company_yasuda,00_companies_ep2.txt,region:STATE_KANTO,building_coal_mine building_port building_railway building_sulfur_mine building_textile_mill building_tooling_workshop,interest_group_ig_industrialists_pol_str_mult=0.1 ; country_loan_interest_rate_mult=-0.1 ; country_gold_reserve_limit_mult=0.1,prestige_good_generic_merchant_marine
company_tokyo_electric_light_company,00_companies_ep2.txt,region:STATE_KANTO,building_power_plant building_railway,building_electrics_industry_throughput_add=0.1 ; building_urban_center_throughput_add=0.1,
company_guthrie,00_companies_ep2.txt,region:STATE_MALAYA,building_coffee_plantation building_logging_camp building_rubber_plantation building_tea_plantation building_tooling_workshop,building_port_throughput_add=0.05 ; state_trade_advantage_mult=0.05 ; state_colony_growth_speed_mult=0.05,
company_societe_francaise_charbonnages_du_tonkin,00_companies_ep2.txt,region:STATE_TONKIN,building_coal_mine building_logging_camp building_port building_power_plant building_railway,building_coal_mine_throughput_add=0.1 ; country_bureaucracy_mult=0.05,
company_broken_hill_proprietary_company,00_companies_ep2.txt,region:STATE_NEW_SOUTH_WALES,building_automotive_industry building_gold_mine building_iron_mine building_lead_mine building_steel_mill,country_production_tech_research_speed_mult=0.05 ; building_lead_mine_throughput_add=0.1,
company_ramirez,00_companies_ep2.txt,region:STATE_ALENTEJO,building_fishing_wharf building_food_industry building_port building_whaling_station,country_production_tech_spread_mult=0.1 ; state_trade_advantage_mult=0.05,prestige_good_generic_groceries
company_oriental_consolidated_mining,00_companies_ep2.txt,region:STATE_PYONGYANG,building_gold_mine building_iron_mine building_lead_mine building_logging_camp,state_mortality_mult=-0.05 ; state_conversion_mult=0.05,
company_siam_electrical_company_limited,00_companies_ep2.txt,region:STATE_BANGKOK,building_power_plant building_railway,building_rice_farm_throughput_add=0.1 ; interest_group_ig_landowners_approval_add=3,
company_ferranti_ltd,00_companies_ep2.txt,region:STATE_LANCASHIRE,building_electrics_industry building_motor_industry building_power_plant building_tooling_workshop,country_weekly_innovation_mult=0.1 ; building_textile_mill_throughput_add=0.1,prestige_good_ferranti_radios
company_van_vlissingen_en_dudok_van_heel,00_companies_ep2.txt,region:STATE_HOLLAND,building_automotive_industry building_iron_mine building_motor_industry building_shipyard building_steel_mill building_tooling_workshop,building_sugar_plantation_throughput_add=0.1 ; building_construction_sector_throughput_add=0.05 ; state_infrastructure_from_population_mult=0.05,
company_maschinenfabrik_oerlikon,00_companies_ep2.txt,region:STATE_EAST_SWITZERLAND,building_arms_industry building_artillery_foundry building_automotive_industry building_motor_industry building_tooling_workshop,building_railway_throughput_add=0.1 ; country_weekly_innovation_mult=0.05,prestige_good_oerlikon_engines
company_a_markwald_and_company,00_companies_ep2.txt,region:STATE_BANGKOK,building_logging_camp building_port building_rice_farm building_tooling_workshop,state_trade_advantage_mult=0.05 ; building_group_bg_logging_throughput_add=0.1,prestige_good_generic_grain
company_nhm,00_companies_ep2.txt,"region:STATE_HOLLAND,STATE_WEST_JAVA",building_coffee_plantation building_dye_plantation building_opium_plantation building_sugar_plantation building_tea_plantation building_tobacco_plantation,state_trade_advantage_mult=0.05 ; state_trade_capacity_mult=0.05 ; building_group_bg_plantations_laborers_mortality_mult=0.05,prestige_good_java_coffee
company_white_star_line,00_companies_ep2.txt,region:STATE_LANCASHIRE,building_port building_shipyard,state_migration_pull_mult=0.1 ; state_trade_advantage_mult=0.15,prestige_good_white_star_liners
company_noda_shoyu,00_companies_ep2.txt,region:STATE_KANTO,building_food_industry building_rice_farm building_vineyard,state_mortality_mult=-0.05 ; state_assimilation_mult=0.05,prestige_good_kikkoman_soy_sauce
company_ccci,00_companies_europe.txt,culture:wallonian,building_iron_mine building_livestock_ranch building_logging_camp building_railway building_rubber_plantation,country_prestige_mult=0.15 ; building_group_bg_rubber_mortality_mult=0.2,
company_franco_belge,00_companies_europe.txt,"region:STATE_FLANDERS,STATE_WALLONIA",building_motor_industry building_railway building_steel_mill,state_infrastructure_mult=0.05,
company_john_cockerill,00_companies_europe.txt,"region:STATE_FLANDERS,STATE_WALLONIA",building_iron_mine building_motor_industry building_steel_mill building_tooling_workshop,building_railway_throughput_add=0.1,prestige_good_generic_tools
company_nederlandse_petroleum,00_companies_europe.txt,culture:dutch,building_oil_rig building_power_plant,state_colony_growth_speed_mult=0.1,
company_philips,00_companies_europe.txt,"region:STATE_GELRE,STATE_HOLLAND",building_electrics_industry building_motor_industry building_power_plant,country_weekly_innovation_mult=0.05 ; country_weekly_innovation_max_add=15,prestige_good_philips_chapel_radio
company_basileiades,00_companies_europe.txt,region:STATE_ATTICA,building_motor_industry building_shipyard building_tooling_workshop,country_ship_group_supply_ships_construction_efficiency_add=0.2 ; state_infrastructure_mult=0.05,
company_kouppas,00_companies_europe.txt,region:STATE_ATTICA,building_automotive_industry building_motor_industry building_tooling_workshop,building_railway_throughput_add=0.1 ; building_steel_mill_throughput_add=0.05,prestige_good_generic_tools
company_ericsson,00_companies_europe.txt,region:STATE_SVEALAND,building_electrics_industry building_iron_mine,country_weekly_innovation_mult=0.1 ; state_education_access_wealth_add=0.005,prestige_good_ericsson_apparatus
company_lkab,00_companies_europe.txt,region:STATE_NORRLAND,building_iron_mine building_steel_mill,building_iron_mine_throughput_add=0.2,prestige_good_swedish_bar_iron
company_gotaverken,00_companies_europe.txt,region:STATE_GOTALAND,building_automotive_industry building_logging_camp building_motor_industry building_shipyard building_steel_mill building_tooling_workshop,ship_armor_mult=0.025 ; ship_hull_damage_mult=0.025,
company_aker_mek,00_companies_europe.txt,region:STATE_EASTERN_NORWAY,building_motor_industry building_shipyard building_tooling_workshop,country_ship_group_supply_ships_construction_efficiency_add=0.15 ; building_fishing_wharf_throughput_add=0.05,
company_nokia,00_companies_europe.txt,region:STATE_UUSIMAA,building_electrics_industry building_logging_camp building_paper_mill building_power_plant,building_electrics_industry_throughput_add=0.1 ; building_synthetics_plant_throughput_add=0.05,prestige_good_generic_paper
company_ursus,00_companies_europe.txt,region:STATE_GREATER_POLAND,building_automotive_industry building_motor_industry building_steel_mill,building_wheat_farm_throughput_add=0.2 ; building_rye_farm_throughput_add=0.2,
company_lilpop,00_companies_europe.txt,"region:STATE_GREATER_POLAND,STATE_MAZOVIA",building_iron_mine building_motor_industry building_steel_mill building_tooling_workshop,building_motor_industry_throughput_add=0.1,prestige_good_generic_steel
company_mozambique_company,00_companies_europe.txt,"culture:portuguese; region:STATE_LOURENCO_MARQUES,STATE_MOCAMBIQUE,STATE_ZAMBEZIA",building_cotton_plantation building_logging_camp building_tea_plantation building_wheat_farm,state_colony_growth_speed_mult=0.1 ; state_colony_growth_creation_factor=0.1,prestige_good_generic_grain
company_altos_hornos_de_vizcaya,00_companies_europe.txt,region:STATE_BASQUE_COUNTRY,building_coal_mine building_iron_mine building_steel_mill,state_infrastructure_mult=0.1,prestige_good_generic_steel
company_duro_y_compania,00_companies_europe.txt,region:STATE_ASTURIAS,building_coal_mine building_iron_mine building_logging_camp building_steel_mill,building_arms_industry_throughput_add=0.1 ; building_artillery_foundry_throughput_add=0.1,prestige_good_generic_steel
company_espana_industrial,00_companies_europe.txt,region:STATE_CATALONIA,building_cotton_plantation building_silk_plantation building_textile_mill,country_weekly_innovation_mult=0.15,prestige_good_generic_clothes
company_trubia,00_companies_europe.txt,region:STATE_ASTURIAS,building_arms_industry building_artillery_foundry building_explosives_factory building_munition_plant,unit_offense_mult=0.05 ; country_military_goods_cost_mult=-0.05,prestige_good_generic_artillery
company_zastava,00_companies_europe.txt,region:STATE_WESTERN_SERBIA,building_arms_industry building_artillery_foundry building_munition_plant,unit_defense_mult=0.05 ; unit_recovery_rate_add=0.05,prestige_good_generic_small_arms
company_chr_hansens,00_companies_europe.txt,region:STATE_ZEALAND,building_chemical_plant building_food_industry building_synthetics_plant,building_livestock_ranch_throughput_add=0.1 ; building_fishing_wharf_throughput_add=0.1,prestige_good_generic_groceries
company_ap_moller,00_companies_europe.txt,region:STATE_ZEALAND,building_logging_camp building_port building_shipyard,country_ship_group_supply_ships_construction_efficiency_add=0.2 ; interest_group_ig_industrialists_pop_attraction_mult=0.1,prestige_good_generic_merchant_marine
company_cfr,00_companies_europe.txt,culture:romanian,building_motor_industry building_railway,state_infrastructure_mult=0.05 ; state_trade_capacity_mult=0.15,
company_romanian_star,00_companies_europe.txt,region:STATE_WALLACHIA,building_oil_rig building_power_plant,building_group_bg_oil_extraction_throughput_add=0.2,
company_societe_mokta_el_hadid,00_companies_france.txt,region:STATE_CONSTANTINE,building_iron_mine building_lead_mine building_sulfur_mine,state_non_homeland_colony_growth_speed_mult=0.1,
company_schneider_creusot,00_companies_france.txt,region:STATE_BURGUNDY,building_artillery_foundry building_automotive_industry building_motor_industry building_shipyard building_steel_mill,unit_morale_loss_mult=-0.1 ; unit_morale_recovery_mult=0.1,prestige_good_schneider_guns
company_dmc,00_companies_france.txt,region:STATE_BURGUNDY,building_coal_mine building_cotton_plantation building_dye_plantation building_textile_mill,state_assimilation_mult=0.1,prestige_good_generic_clothes
company_cgv,00_companies_france.txt,"culture:french,occitan; region:STATE_CHAMPAGNE",building_food_industry building_vineyard,country_prestige_mult=0.15 ; building_vineyard_throughput_add=0.1,prestige_good_champagne
company_saint_etienne,00_companies_france.txt,region:STATE_RHONE,building_arms_industry building_artillery_foundry building_explosives_factory building_munition_plant,unit_offense_mult=0.05 ; unit_defense_mult=0.05,prestige_good_saint_etienne_rifles
company_fcm,00_companies_france.txt,region:STATE_PROVENCE,building_automotive_industry building_shipyard building_steel_mill,ship_hull_damage_mult=0.025 ; unit_combat_unit_type_heavy_tank_offense_mult=0.1,
company_mines_anzin,00_companies_france.txt,region:STATE_FRENCH_LOW_COUNTRIES,building_coal_mine building_iron_mine,building_steel_mill_throughput_add=0.05 ; building_railway_throughput_add=0.1,
company_krupp,00_companies_germany.txt,region:STATE_RUHR,building_arms_industry building_artillery_foundry building_iron_mine building_steel_mill,building_railway_throughput_add=0.1 ; unit_kill_rate_add=0.1,prestige_good_krupp_guns
company_rheinmetall,00_companies_germany.txt,"region:STATE_NORTH_RHINE,STATE_RUHR",building_artillery_foundry building_explosives_factory building_motor_industry building_munition_plant building_steel_mill,unit_combat_unit_type_siege_artillery_offense_mult=0.1 ; unit_combat_unit_type_shrapnel_artillery_offense_mult=0.1 ; unit_army_defense_mult=0.05,prestige_good_generic_artillery
company_schichau,00_companies_germany.txt,region:STATE_WEST_PRUSSIA,building_motor_industry building_railway building_shipyard building_steel_mill,ship_hull_damage_mult=0.025 ; ship_ship_type_submarine_hull_damage_mult=0.05,prestige_good_schichau_engines
company_siemens_and_halske,00_companies_germany.txt,region:STATE_BRANDENBURG,building_electrics_industry building_motor_industry building_railway,building_power_plant_throughput_add=0.15,
company_prussian_state_railways,00_companies_germany.txt,tag:PRU,building_motor_industry building_railway,military_formation_army_movement_speed_mult=0.1,
company_basf,00_companies_germany.txt,region:STATE_BADEN,building_chemical_plant building_dye_plantation building_sulfur_mine building_synthetics_plant,country_weekly_innovation_mult=0.1 ; building_group_bg_oil_extraction_throughput_add=0.05,prestige_good_german_aniline
company_j_p_coats,00_companies_great_britain.txt,region:STATE_LOWLANDS,building_cotton_plantation building_textile_mill,building_textile_mill_throughput_add=0.15 ; building_cotton_plantation_throughput_add=0.05,prestige_good_generic_clothes
company_armstrong_whitworth,00_companies_great_britain.txt,region:STATE_YORKSHIRE,building_automotive_industry building_motor_industry building_munition_plant building_shipyard,ship_ship_type_aircraft_carrier_hull_damage_mult=0.075 ; ship_armor_mult=0.05,
company_john_brown,00_companies_great_britain.txt,region:STATE_LOWLANDS,building_iron_mine building_shipyard building_steel_mill,country_prestige_mult=0.05 ; country_ship_group_supply_ships_construction_efficiency_add=0.1,prestige_good_clyde_built_liners
company_gwr,00_companies_great_britain.txt,(broad),building_coal_mine building_railway,country_prestige_mult=0.05 ; state_radicals_from_political_movements_mult=-0.05,
company_bolckow_vaughan,00_companies_great_britain.txt,region:STATE_YORKSHIRE,building_coal_mine building_iron_mine building_lead_mine building_steel_mill,building_shipyard_throughput_add=0.1,prestige_good_sheffield_steel
company_bengal_coal_company,00_companies_ip2.txt,region:STATE_WEST_BENGAL,building_coal_mine building_iron_mine,interest_group_ig_industrialists_pol_str_mult=0.2 ; building_iron_mine_throughput_add=0.1,
company_bombay_dyeing_company,00_companies_ip2.txt,region:STATE_BOMBAY,building_cotton_plantation building_textile_mill,building_dye_plantation_throughput_add=0.2 ; building_cotton_plantation_throughput_add=0.05,prestige_good_generic_clothes
company_david_sassoon,00_companies_ip2.txt,region:STATE_BOMBAY,building_cotton_plantation building_opium_plantation building_port,state_trade_advantage_mult=0.05,prestige_good_generic_opium
company_bombay_burmah_trading_corporation,00_companies_ip2.txt,region:STATE_BOMBAY,building_cotton_plantation building_logging_camp building_oil_rig building_rubber_plantation building_tea_plantation,building_tea_plantation_throughput_add=0.1 ; building_coffee_plantation_throughput_add=0.1,prestige_good_burmese_teak
company_madura_mills,00_companies_ip2.txt,region:STATE_MADRAS,building_cotton_plantation building_rubber_plantation building_textile_mill,interest_group_ig_petty_bourgeoisie_pop_attraction_mult=0.1 ; building_textile_mill_throughput_add=0.1 ; country_state_religion_wages_mult=0.05,prestige_good_generic_clothes
company_assam_company,00_companies_ip2.txt,region:STATE_ASSAM,building_logging_camp building_tea_plantation,building_tea_plantation_throughput_add=0.2 ; state_radicals_from_political_movements_mult=-0.05,prestige_good_assam_tea
company_wadia_shipbuilders,00_companies_ip2.txt,region:STATE_BOMBAY,building_artillery_foundry building_explosives_factory building_motor_industry building_shipyard,interest_group_ig_petty_bourgeoisie_pop_attraction_mult=0.1 ; country_ship_group_supply_ships_construction_efficiency_add=0.1 ; state_radicalism_increases_violent_hostility_mult=-0.05 ; state_radicalism_increases_cultural_erasure_mult=-0.05 ; state_radicalism_increases_open_prejudice_mult=-0.05,
company_steel_brothers,00_companies_ip2.txt,(broad),building_logging_camp building_oil_rig building_rice_farm,building_group_bg_logging_throughput_add=0.2,prestige_good_generic_grain
company_ralli_brothers,00_companies_ip2.txt,"region:STATE_BOMBAY,STATE_WEST_BENGAL",building_cotton_plantation building_port building_rice_farm building_textile_mill building_wheat_farm,building_sulfur_mine_throughput_add=0.1 ; building_textile_mill_throughput_add=0.1 ; state_trade_advantage_mult=0.05,prestige_good_generic_grain
company_calcutta_electric,00_companies_ip2.txt,region:STATE_WEST_BENGAL,building_coal_mine building_power_plant,state_infrastructure_from_population_add=6 ; state_infrastructure_from_population_max_add=12,
company_united_tobacco_factories,00_companies_ip3.txt,culture:bulgarian,building_opium_plantation building_tobacco_plantation,building_trade_center_throughput_add=0.05 ; interest_group_ig_industrialists_pop_attraction_mult=0.2 ; interest_group_ig_industrialists_approval_add=3,prestige_good_basma_tobacco
company_mate_gavrilovic,00_companies_ip3.txt,region:STATE_CROATIA,building_food_industry building_livestock_ranch,unit_morale_recovery_mult=0.1 ; building_livestock_ranch_throughput_add=0.1 ; interest_group_ig_petty_bourgeoisie_approval_add=2,prestige_good_generic_groceries
company_stabilimento_tecnico_di_fiume,00_companies_ip3.txt,region:STATE_DALMATIA,building_explosives_factory building_shipyard building_steel_mill,ship_hull_damage_mult=0.075,
company_klanicko_drustvo,00_companies_ip3.txt,region:STATE_WESTERN_SERBIA,building_food_industry building_livestock_ranch building_logging_camp building_wheat_farm,building_livestock_ranch_throughput_add=0.1 ; building_synthetics_plant_throughput_add=0.05,prestige_good_acorn_fed_pork
company_jakub_klein,00_companies_ip3.txt,region:STATE_SLOVAKIA,building_chemical_plant building_logging_camp building_paper_mill,building_paper_mill_throughput_add=0.1 ; building_group_bg_agriculture_throughput_add=0.05,
company_elso_budapesti_gozmalom,00_companies_ip3.txt,region:STATE_CENTRAL_HUNGARY,building_food_industry building_logging_camp building_wheat_farm,building_wheat_farm_throughput_add=0.15 ; state_trade_advantage_mult=0.05,prestige_good_pannonian_patent_flour
company_witkowitzer_bergbau_und_huttengewerkschaft,00_companies_ip3.txt,region:STATE_MORAVIA,building_coal_mine building_iron_mine building_lead_mine building_sulfur_mine,building_construction_sector_throughput_add=0.05 ; building_power_plant_throughput_add=0.1,
company_oesterreichisch_alpine_montangesellschaft,00_companies_ip3.txt,region:STATE_STYRIA,building_iron_mine building_railway building_steel_mill,building_coal_mine_throughput_add=0.1 ; building_railway_throughput_add=0.05,
company_getzner_mutter,00_companies_ip3.txt,region:STATE_TYROL,building_power_plant building_synthetics_plant building_textile_mill,building_synthetics_plant_throughput_add=0.1 ; interest_group_ig_petty_bourgeoisie_approval_add=2,prestige_good_generic_clothes
company_erste_brunner,00_companies_ip3.txt,region:STATE_MORAVIA,building_motor_industry building_power_plant building_tooling_workshop,building_textile_mill_throughput_add=0.1 ; building_power_plant_throughput_add=0.1,prestige_good_brunn_type_engines
company_douro_wine_company,00_companies_ip4.txt,region:STATE_ENTRE_DOURO_E_MINHO,building_food_industry building_glassworks building_vineyard,country_prestige_mult=0.1 ; country_liberty_desire_of_subjects_add=-0.05 ; state_aristocrats_investment_pool_efficiency_mult=0.05,prestige_good_port_wine
company_secn,00_companies_ip4.txt,"region:STATE_ASTURIAS,STATE_GALICIA,STATE_LOWER_ANDALUSIA,STATE_MURCIA,STATE_VALENCIA",building_artillery_foundry building_motor_industry building_shipyard building_steel_mill,country_military_tech_spread_mult=0.1 ; country_weekly_innovation_mult=0.05 ; ship_armor_mult=0.025,
company_gran_azucarera,00_companies_ip4.txt,"region:STATE_CENTRAL_CUBA,STATE_EASTERN_CUBA,STATE_WESTERN_CUBA",building_livestock_ranch building_logging_camp building_railway building_sugar_plantation,state_migration_pull_mult=0.1 ; state_aristocrats_investment_pool_efficiency_mult=0.15,prestige_good_havana_sugar
company_rodriguez_arguelles_y_cia,00_companies_ip4.txt,"region:STATE_CENTRAL_CUBA,STATE_EASTERN_CUBA,STATE_WESTERN_CUBA",building_logging_camp building_rice_farm building_tobacco_plantation,country_prestige_mult=0.05 ; country_society_tech_spread_mult=0.1 ; state_loyalists_from_political_movements_mult=0.1,prestige_good_cigars
