tag,country,staple_clothes_produced,staple_electricity_produced,staple_fabric_produced,staple_fish_produced,staple_furniture_produced,staple_grain_produced,staple_groceries_produced,staple_merchant_marine_produced,staple_paper_produced,staple_services_produced,staple_transportation_produced,staple_wood_produced,industrial_clippers_produced,industrial_coal_produced,industrial_dye_produced,industrial_engines_produced,industrial_explosives_produced,industrial_fertilizer_produced,industrial_glass_produced,industrial_hardwood_produced,industrial_iron_produced,industrial_lead_produced,industrial_oil_produced,industrial_rubber_produced,industrial_silk_produced,industrial_steamers_produced,industrial_steel_produced,industrial_sulfur_produced,industrial_tools_produced,industrial_clippers_consumed,industrial_coal_consumed,industrial_dye_consumed,industrial_engines_consumed,industrial_explosives_consumed,industrial_fertilizer_consumed,industrial_glass_consumed,industrial_hardwood_consumed,industrial_iron_consumed,industrial_lead_consumed,industrial_oil_consumed,industrial_rubber_consumed,industrial_silk_consumed,industrial_steamers_consumed,industrial_steel_consumed,industrial_sulfur_consumed,industrial_tools_consumed,staple_gaps,industrial_input_gaps
SIA,Siam,0.0,0.0,5.0,50.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,furniture,groceries,merchant_marine,paper,services,transportation,wood",
SAR,Sardinia-Piedmont,90.0,0.0,35.0,125.0,45.0,235.0,45.0,0.0,40.0,0.0,0.0,210.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"electricity,merchant_marine,services,transportation",hardwood
BUR,Burma,0.0,0.0,10.0,50.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,furniture,groceries,merchant_marine,paper,services,transportation,wood",
MOR,Morocco,45.0,0.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"electricity,furniture,grain,groceries,merchant_marine,paper,services,transportation",
SWE,Sweden,135.0,0.0,30.0,275.0,0.0,180.0,0.0,0.0,120.0,0.0,0.0,450.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,"electricity,furniture,groceries,merchant_marine,services,transportation",hardwood
NET,Netherlands,180.0,0.0,25.0,125.0,90.0,140.0,90.0,0.0,200.0,0.0,0.0,60.0,160.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,merchant_marine,services,transportation","hardwood,iron"
PHI,Philippines,0.0,0.0,0.0,75.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,furniture,groceries,merchant_marine,paper,services,transportation,wood",iron
CLM,Colombia,45.0,0.0,5.0,25.0,45.0,145.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"electricity,groceries,merchant_marine,paper,services,transportation",iron
OMA,Oman,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,furniture,grain,groceries,merchant_marine,paper,services,transportation",
GRE,Greece,0.0,0.0,0.0,75.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,furniture,groceries,merchant_marine,paper,services,transportation",
ARG,Argentina,45.0,0.0,20.0,25.0,45.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"electricity,groceries,merchant_marine,paper,services,transportation",
SHW,Shewa,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,fabric,fish,furniture,groceries,merchant_marine,paper,services,transportation",
SAF,South Africa,0.0,0.0,10.0,25.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"clothes,electricity,furniture,groceries,merchant_marine,paper,services,transportation,wood",
