"Tag","Tier","academia","admiralty","army_reserves","artillery","atmospheric_engine","banking","central_archives","central_banking","centralization","colonization","corporate_charters","cotton_gin","currency_standards","democracy","dialectics","distillation","drydocks","egalitarianism","empiricism","enclosure","fractional_distillation","general_staff","gunsmithing","human_rights","intensive_agriculture","international_relations","international_trade","joint_stock_companies","labor_movement","lathe","law_enforcement","line_infantry","mandatory_service","manufacturies","mass_communication","mechanical_tools","medical_degrees","military_drill","napoleonic_warfare","navigation","percussion_cap","power_of_the_purse","prospecting","railways","rationalism","romanticism","screw_frigate","sericulture","shaft_mining","standing_army","steelworking","stock_exchange","tech_bureaucracy","urban_planning","urbanization"
"BIK","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BLA","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BLE","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BLF","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BLG","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BMB","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BMM","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BND","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BNG","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BNJ","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BNN","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BNY","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BOB","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BOL","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"BOR","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"BRA","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"BRD","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BRE","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BRG","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"BRK","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BRN","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BRU","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BRZ","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"BST","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"BTN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BUG","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BUK","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BUN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"BUR","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"CAM","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","1","0","1","0","1"
"CAY","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHC","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"CHI","4","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1"
"CHK","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CHL","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"CHP","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"CHT","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"CIR","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"CLM","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"CMB","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CMI","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"COB","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"COC","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"COM","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CON","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"COO","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"CRO","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CUB","3","1","1","1","1","1","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1"
"DAH","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"DAI","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","1","0","1","0","1"
"DAK","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DEI","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DEN","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DFR","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"DFT","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DGR","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DHA","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"DIN","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DIO","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DLA","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DLM","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DNK","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
