tag,tier,building,kind,n_pulse_quarter,n_target
DEI,5,building_fishing_wharf,support,1,1
DEI,5,building_cotton_plantation,support,1,1
DEI,5,building_sugar_plantation,support,1,1
DEI,5,building_tea_plantation,support,1,1
HUN,4,building_livestock_ranch,champ,2,8
HUN,4,building_wheat_farm,support,1,1
HUN,4,building_food_industry,support,1,1
HUN,4,building_iron_mine,support,1,1
HUN,4,building_steel_mill,support,1,1
HUN,4,building_logging_camp,support,1,1
HUN,4,building_tooling_workshop,support,1,1
POR,4,building_fishing_wharf,champ,2,8
POR,4,building_vineyard,support,1,1
POR,4,building_logging_camp,support,1,1
POR,4,building_furniture_manufactory,support,1,1
POR,4,building_food_industry,support,1,1
POR,4,building_tooling_workshop,support,1,1
POR,4,building_iron_mine,support,1,1
SIC,4,building_sulfur_mine,champ,2,8
SIC,4,building_cotton_plantation,support,1,1
SIC,4,building_fishing_wharf,support,1,1
SIC,4,building_vineyard,support,1,1
SIC,4,building_food_industry,support,1,1
SIC,4,building_textile_mill,support,1,1
SIC,4,building_silk_plantation,support,1,1
NET,4,building_textile_mill,champ,2,8
NET,4,building_furniture_manufactory,support,1,1
NET,4,building_sugar_plantation,support,1,1
NET,4,building_food_industry,support,1,1
NET,4,building_steel_mill,support,1,1
NET,4,building_tooling_workshop,support,1,1
NET,4,building_glassworks,support,1,1
SOK,4,building_millet_farm,champ,2,8
SOK,4,building_livestock_ranch,support,1,1
SOK,4,building_banana_plantation,support,1,1
SOK,4,building_tobacco_plantation,support,1,1
SOK,4,building_coffee_plantation,support,1,1
SOK,4,building_food_industry,support,1,1
SOK,4,building_logging_camp,support,1,1
SOK,4,building_cotton_plantation,support,1,1
SAR,4,building_cotton_plantation,champ,2,8
SAR,4,building_tooling_workshop,support,1,1
SAR,4,building_vineyard,support,1,1
SAR,4,building_sugar_plantation,support,1,1
SAR,4,building_food_industry,support,1,1
SAR,4,building_steel_mill,support,1,1
SAR,4,building_silk_plantation,support,1,1
SWE,4,building_iron_mine,champ,2,8
SWE,4,building_coal_mine,support,1,1
SWE,4,building_fishing_wharf,support,1,1
SWE,4,building_food_industry,support,1,1
SWE,4,building_furniture_manufactory,support,1,1
SWE,4,building_paper_mill,support,1,1
SWE,4,building_tooling_workshop,support,1,1
HYD,3,building_paper_mill,champ,1,6
HYD,3,building_logging_camp,support,1,1
HYD,3,building_rice_farm,support,1,1
HYD,3,building_iron_mine,support,1,1
HYD,3,building_cotton_plantation,support,1,1
HYD,3,building_food_industry,support,1,1
HYD,3,building_silk_plantation,support,1,1
GRE,3,building_vineyard,champ,1,6
GRE,3,building_cotton_plantation,support,1,1
GRE,3,building_tobacco_plantation,support,1,1
GRE,3,building_tooling_workshop,support,1,1
GRE,3,building_fishing_wharf,support,1,1
GRE,3,building_food_industry,support,1,1
GRE,3,building_textile_mill,support,1,1
DAI,3,building_fishing_wharf,champ,1,6
DAI,3,building_livestock_ranch,support,1,1
DAI,3,building_logging_camp,support,1,1
DAI,3,building_tea_plantation,support,1,1
DAI,3,building_opium_plantation,support,1,1
DAI,3,building_coffee_plantation,support,1,1
DAI,3,building_silk_plantation,support,1,1
NEP,3,building_logging_camp,champ,1,6
NEP,3,building_food_industry,support,1,1
NEP,3,building_furniture_manufactory,support,1,1
NEP,3,building_textile_mill,support,1,1
NEP,3,building_glassworks,support,1,1
NEP,3,building_rice_farm,support,1,1
NEP,3,building_tea_plantation,support,1,1
NEP,3,building_tobacco_plantation,support,1,1
CLM,3,building_coffee_plantation,champ,1,6
CLM,3,building_tobacco_plantation,support,1,1
CLM,3,building_sugar_plantation,support,1,1
CLM,3,building_iron_mine,support,1,1
CLM,3,building_food_industry,support,1,1
CLM,3,building_fishing_wharf,support,1,1
CLM,3,building_dye_plantation,support,1,1
ARG,3,building_livestock_ranch,champ,1,6
ARG,3,building_tobacco_plantation,support,1,1
ARG,3,building_tooling_workshop,support,1,1
ARG,3,building_cotton_plantation,support,1,1
ARG,3,building_paper_mill,support,1,1
ARG,3,building_food_industry,support,1,1
ARG,3,building_fishing_wharf,support,1,1
SIA,2,building_fishing_wharf,champ,1,4
SIA,2,building_tea_plantation,support,1,1
SIA,2,building_logging_camp,support,1,1
SIA,2,building_cotton_plantation,support,1,1
SIA,2,building_rice_farm,support,1,1
SIA,2,building_food_industry,support,1,1
SIA,2,building_furniture_manufactory,support,1,1
MOR,2,building_cotton_plantation,champ,1,4
MOR,2,building_livestock_ranch,support,1,1
MOR,2,building_tooling_workshop,support,1,1
MOR,2,building_wheat_farm,support,1,1
MOR,2,building_fishing_wharf,support,1,1
MOR,2,building_food_industry,support,1,1
MOR,2,building_vineyard,support,1,1
OMA,2,building_coffee_plantation,champ,1,4
OMA,2,building_fishing_wharf,support,1,1
OMA,2,building_wheat_farm,support,1,1
OMA,2,building_textile_mill,support,1,1
OMA,2,building_furniture_manufactory,support,1,1
OMA,2,building_cotton_plantation,support,1,1
OMA,2,building_sugar_plantation,support,1,1
SHW,2,building_coffee_plantation,champ,1,4
SHW,2,building_tobacco_plantation,support,1,1
SHW,2,building_millet_farm,support,1,1
SHW,2,building_cotton_plantation,support,1,1
SHW,2,building_sugar_plantation,support,1,1
SHW,2,building_tea_plantation,support,1,1
SHW,2,building_dye_plantation,support,1,1
SAF,2,building_livestock_ranch,champ,1,4
SAF,2,building_logging_camp,support,1,1
SAF,2,building_fishing_wharf,support,1,1
SAF,2,building_furniture_manufactory,support,1,1
SAF,2,building_textile_mill,support,1,1
SAF,2,building_wheat_farm,support,1,1
SAF,2,building_cotton_plantation,support,1,1
PHI,2,building_sugar_plantation,champ,1,4
PHI,2,building_tobacco_plantation,support,1,1
PHI,2,building_rice_farm,support,1,1
PHI,2,building_fishing_wharf,support,1,1
PHI,2,building_coffee_plantation,support,1,1
PHI,2,building_cotton_plantation,support,1,1
PHI,2,building_food_industry,support,1,1
BEL,2,building_steel_mill,champ,1,4
BEL,2,building_tooling_workshop,support,1,1
BEL,2,building_explosives_factory,support,1,1
BEL,2,building_motor_industry,support,1,1
BEL,2,building_iron_mine,support,1,1
BEL,2,building_coal_mine,support,1,1
BEL,2,building_glassworks,support,1,1
BAV,2,building_vineyard,champ,1,4
BAV,2,building_chemical_plant,support,1,1
BAV,2,building_paper_mill,support,1,1
BAV,2,building_tooling_workshop,support,1,1
BAV,2,building_furniture_manufactory,support,1,1
BAV,2,building_food_industry,support,1,1
BAV,2,building_wheat_farm,support,1,1
BUR,2,building_tea_plantation,champ,1,4
BUR,2,building_opium_plantation,support,1,1
BUR,2,building_tobacco_plantation,support,1,1
BUR,2,building_logging_camp,support,1,1
BUR,2,building_cotton_plantation,support,1,1
BUR,2,building_rice_farm,support,1,1
BUR,2,building_fishing_wharf,support,1,1
