tag,country,state,pop
BIC,East India,STATE_ORISSA,869092
BIC,East India,STATE_ASSAM,553006
BIC,East India,STATE_MYSORE,535409
BIC,East India,STATE_TENASSERIM,357696
BIC,East India,STATE_RAJPUTANA,226141
BIC,East India,STATE_ARAKAN,188316
BIC,East India,STATE_HILL_PUNJAB,29549
BIC,East India,STATE_PEGU,1923
BRZ,Brazil,STATE_BAHIA,731500
BRZ,Brazil,STATE_MINAS_GERAIS,729904
BRZ,Brazil,STATE_PERNAMBUCO,707769
BRZ,Brazil,STATE_RIO_DE_JANEIRO,582808
BRZ,Brazil,STATE_SAO_PAULO,334077
BRZ,Brazil,STATE_CEARA,211451
BRZ,Brazil,STATE_MARANHAO,148249
BRZ,Brazil,STATE_PARAIBA,135764
BRZ,Brazil,STATE_MATO_GROSSO,103932
BRZ,Brazil,STATE_PIAUI,94932
BRZ,Brazil,STATE_RIO_GRANDE_DO_NORTE,87948
BRZ,Brazil,STATE_GOIAS,73918
BRZ,Brazil,STATE_SANTA_CATARINA,61753
BRZ,Brazil,STATE_PARANA,36566
BUR,Burma,STATE_PEGU,1318644
BUR,Burma,STATE_MANDALAY,1047934
BUR,Burma,STATE_KACHIN,638171
BUR,Burma,STATE_SHAN_STATES,468725
CHI,China,STATE_JIANGXI,24213496
CHI,China,STATE_SOUTHERN_ANHUI,22832408
CHI,China,STATE_HENAN,20936384
CHI,China,STATE_CHONGQING,20092808
CHI,China,STATE_SUZHOU,17672008
CHI,China,STATE_FUJIAN,16324832
CHI,China,STATE_SHANDONG,15176000
CHI,China,STATE_BEIJING,15029015
CHI,China,STATE_GUANGXI,14938908
CHI,China,STATE_SHANXI,14840084
CHI,China,STATE_SICHUAN,14003796
CHI,China,STATE_EASTERN_HUBEI,13524896
CHI,China,STATE_HUNAN,13399992
CHI,China,STATE_WESTERN_HUBEI,13150000
CHI,China,STATE_GUANGDONG,12662392
CHI,China,STATE_NANJING,11132284
CHI,China,STATE_JIANGSU,10993608
CHI,China,STATE_NORTHERN_ANHUI,10662000
CHI,China,STATE_XIAN,9695792
CHI,China,STATE_ZHEJIANG,9473000
CHI,China,STATE_SHAOZHOU,8913992
CHI,China,STATE_NINGXIA,8820588
CHI,China,STATE_SOUTHERN_MANCHURIA,8819196
CHI,China,STATE_ZHILI,8503121
CHI,China,STATE_GANSU,6429641
CHI,China,STATE_YUNNAN,6238388
CHI,China,STATE_GUIZHOU,4638128
CHI,China,STATE_NORTHERN_MANCHURIA,3089604
CHI,China,STATE_FORMOSA,2901500
CHI,China,STATE_SHENGJING,2174006
CHI,China,STATE_HINGGAN,2135417
CHI,China,STATE_QINGHAI,1248004
CHI,China,STATE_TIANSHAN,370200
CHI,China,STATE_URGA,340996
CHI,China,STATE_ULIASTAI,283623
CHI,China,STATE_DZUNGARIA,240200
CHI,China,STATE_JETISY,133642
CHI,China,STATE_KIRGHIZIA,88252
CHI,China,STATE_AMUR,82613
CHI,China,STATE_OUTER_MANCHURIA,76000
CHI,China,STATE_TUVA,49000
CHI,China,STATE_ALXA,44788
CHI,China,STATE_ALTAI,31000
CLM,Colombia,STATE_ANTIOQUIA,537812
CLM,Colombia,STATE_CUNDINAMARCA,527600
CLM,Colombia,STATE_CAUCA,284400
CLM,Colombia,STATE_GUAVIARE,128392
CLM,Colombia,STATE_PANAMA,128192
CLM,Colombia,STATE_AMAZONAS,12210
DAI,Dai Nam,STATE_ANNAM,2406625
DAI,Dai Nam,STATE_TONKIN,2314544
DAI,Dai Nam,STATE_MEKONG,1757188
DAI,Dai Nam,STATE_LAOS,92552
DEI,Dutch East Indies,STATE_WEST_JAVA,3861212
DEI,Dutch East Indies,STATE_CENTRAL_JAVA,2102816
DEI,Dutch East Indies,STATE_EAST_JAVA,2080396
DEI,Dutch East Indies,STATE_SUNDA_ISLANDS,705184
DEI,Dutch East Indies,STATE_MOLUCCAS,254291
DEI,Dutch East Indies,STATE_NORTH_SUMATRA,199571
DEI,Dutch East Indies,STATE_SOUTH_SUMATRA,132694
DEI,Dutch East Indies,STATE_WEST_BORNEO,54660
DEI,Dutch East Indies,STATE_ACEH,50985
DEI,Dutch East Indies,STATE_CELEBES,49863
DEI,Dutch East Indies,STATE_EAST_BORNEO,20700
EGY,Egypt,STATE_LOWER_EGYPT,2670504
EGY,Egypt,STATE_MIDDLE_EGYPT,1157903
EGY,Egypt,STATE_BLUE_NILE,1149592
EGY,Egypt,STATE_ALEPPO,593000
EGY,Egypt,STATE_SYRIA,540200
EGY,Egypt,STATE_KORDOFAN,524808
EGY,Egypt,STATE_UPPER_EGYPT,391745
EGY,Egypt,STATE_LEBANON,378000
EGY,Egypt,STATE_PALESTINE,370500
EGY,Egypt,STATE_DONGOLA,364004
EGY,Egypt,STATE_ADANA,334884
EGY,Egypt,STATE_ERITREA,191960
EGY,Egypt,STATE_CRETE,139992
EGY,Egypt,STATE_TRANSJORDAN,40000
EGY,Egypt,STATE_EGYPTIAN_DESERT,36050
EGY,Egypt,STATE_MATRUH,22050
EGY,Egypt,STATE_SINAI,20616
FRA,France,STATE_NORMANDY,2685132
FRA,France,STATE_BRITTANY,2620278
FRA,France,STATE_RHONE,2604767
FRA,France,STATE_LANGUEDOC,2373128
FRA,France,STATE_AUVERGNE_LIMOUSIN,2327887
FRA,France,STATE_ILE_DE_FRANCE,1882354
FRA,France,STATE_AQUITAINE,1844177
FRA,France,STATE_POITOU,1748194
FRA,France,STATE_GUYENNE,1734040
FRA,France,STATE_FRENCH_LOW_COUNTRIES,1691071
FRA,France,STATE_MAINE_ANJOU,1610194
FRA,France,STATE_BURGUNDY,1576918
FRA,France,STATE_PICARDY,1478442
FRA,France,STATE_ALSACE_LORRAINE,1436128
FRA,France,STATE_ORLEANS,1379493
FRA,France,STATE_CHAMPAGNE,1161945
FRA,France,STATE_LORRAINE,1153101
FRA,France,STATE_PROVENCE,1090845
FRA,France,STATE_FRANCHE_COMTE,934927
FRA,France,STATE_WEST_INDIES,238304
FRA,France,STATE_MADRAS,230609
FRA,France,STATE_CORSICA,207889
FRA,France,STATE_SENEGAL,140392
FRA,France,STATE_ALGIERS,140017
FRA,France,STATE_INDIAN_OCEAN_TERRITORY,105992
FRA,France,STATE_IVORY_COAST,88000
FRA,France,STATE_ORAN,48970
FRA,France,STATE_CONSTANTINE,33489
FRA,France,STATE_GUAYANA,19992
GBR,Great Britain,STATE_HOME_COUNTIES,2805996
GBR,Great Britain,STATE_MIDLANDS,2580004
GBR,Great Britain,STATE_ULSTER,2351145
GBR,Great Britain,STATE_MUNSTER,2348237
GBR,Great Britain,STATE_LANCASHIRE,2152804
GBR,Great Britain,STATE_YORKSHIRE,2090592
GBR,Great Britain,STATE_WEST_COUNTRY,1986400
GBR,Great Britain,STATE_LEINSTER,1934493
GBR,Great Britain,STATE_LOWLANDS,1637600
GBR,Great Britain,STATE_EAST_ANGLIA,1573208
GBR,Great Britain,STATE_CONNAUGHT,1390481
GBR,Great Britain,STATE_WALES,973196
GBR,Great Britain,STATE_HIGHLANDS,751566
GBR,Great Britain,STATE_JAMAICA,381636
GBR,Great Britain,STATE_WEST_INDIES,269868
GBR,Great Britain,STATE_MALAYA,124196
GBR,Great Britain,STATE_MALTA,119984
GBR,Great Britain,STATE_BAHAMAS,119600
GBR,Great Britain,STATE_GUAYANA,103588
GBR,Great Britain,STATE_INDIAN_OCEAN_TERRITORY,103400
GBR,Great Britain,STATE_NEWFOUNDLAND,87976
GBR,Great Britain,STATE_BERMUDA,27200
GBR,Great Britain,STATE_SOUTH_ATLANTIC_ISLANDS,14540
GBR,Great Britain,STATE_UPPER_ANDALUSIA,13785
GBR,Great Britain,STATE_GUATEMALA,7208
GBR,Great Britain,STATE_CEYLON,2944
GRE,Greece,STATE_ATTICA,637592
GRE,Greece,STATE_PELOPONNESE,221996
GRE,Greece,STATE_WEST_AEGEAN_ISLANDS,80404
HUN,Hungary,STATE_TRANSDANUBIA,2356492
HUN,Hungary,STATE_SLOVAKIA,2046586
HUN,Hungary,STATE_BEKES,1524492
HUN,Hungary,STATE_CENTRAL_HUNGARY,1198988
HUN,Hungary,STATE_BANAT,1189660
HUN,Hungary,STATE_DELVIDEK,761396
HUN,Hungary,STATE_RUTHENIA,342154
HYD,Hyderabad,STATE_HYDERABAD,8549837
HYD,Hyderabad,STATE_CENTRAL_PROVINCES,2305617
JAP,Japan,STATE_KANTO,5004465
JAP,Japan,STATE_TOKAI,4192918
JAP,Japan,STATE_KYUSHU,4141707
JAP,Japan,STATE_HOKUSHINETSU,4138700
JAP,Japan,STATE_CHUGOKU,4077516
JAP,Japan,STATE_KANSAI,3986882
JAP,Japan,STATE_TOHOKU,3157725
JAP,Japan,STATE_SHIKOKU,2319419
JAP,Japan,STATE_KYOTO,1377948
JAP,Japan,STATE_RYUKYU_ISLANDS,117451
JAP,Japan,STATE_HOKKAIDO,31204
KOR,Korea,STATE_YANGHO,4552487
KOR,Korea,STATE_PYONGYANG,3612828
KOR,Korea,STATE_BUSAN,3597837
KOR,Korea,STATE_SEOUL,2818978
KOR,Korea,STATE_SARIWON,1620102
MEX,Mexico,STATE_MEXICO,1811090
MEX,Mexico,STATE_JALISCO,1190161
MEX,Mexico,STATE_BAJIO,950333
MEX,Mexico,STATE_YUCATAN,616968
MEX,Mexico,STATE_OAXACA,479674
MEX,Mexico,STATE_ZACATECAS,313308
MEX,Mexico,STATE_VERACRUZ,251061
MEX,Mexico,STATE_GUERRERO,231320
MEX,Mexico,STATE_RIO_GRANDE,224503
MEX,Mexico,STATE_CHIHUAHUA,163895
MEX,Mexico,STATE_DURANGO,156999
MEX,Mexico,STATE_SINALOA,134941
MEX,Mexico,STATE_CHIAPAS,130010
MEX,Mexico,STATE_SONORA,112724
MEX,Mexico,STATE_CALIFORNIA,63996
MEX,Mexico,STATE_NEW_MEXICO,45796
MEX,Mexico,STATE_BAJA_CALIFORNIA,22864
MEX,Mexico,STATE_NEVADA,22000
MEX,Mexico,STATE_TEXAS,15000
MEX,Mexico,STATE_ARIZONA,8004
MEX,Mexico,STATE_UTAH,3000
MEX,Mexico,STATE_COLORADO,2800
MOR,Morocco,STATE_FEZ,1127204
MOR,Morocco,STATE_MARRAKECH,1029196
MOR,Morocco,STATE_INNER_MOROCCO,595404
MOR,Morocco,STATE_AL_RIF,492788
NEP,Nepal,STATE_HIMALAYAS,4242426
NET,Netherlands,STATE_HOLLAND,1239464
NET,Netherlands,STATE_GELRE,727219
NET,Netherlands,STATE_FRIESLAND,674072
NET,Netherlands,STATE_GUAYANA,56428
NET,Netherlands,STATE_GOLD_COAST,54744
NET,Netherlands,STATE_WEST_INDIES,20838
OMA,Oman,STATE_ZANZIBAR,1176200
OMA,Oman,STATE_OMAN,234000
OMA,Oman,STATE_LARISTAN,64230
OMA,Oman,STATE_KENYA,60900
OMA,Oman,STATE_SISTAN,5521
OMA,Oman,STATE_ABU_DHABI,4830
OMA,Oman,STATE_BALUCHISTAN,4560
PAN,Punjab,STATE_PUNJAB,5480251
PAN,Punjab,STATE_HILL_PUNJAB,1424232
PAN,Punjab,STATE_PASHTUNISTAN,1201421
PER,Persia,STATE_IRAKAJEMI,1509713
PER,Persia,STATE_MAZANDARAN,1026936
PER,Persia,STATE_TABRIZ,914086
PER,Persia,STATE_KHORASAN,715822
PER,Persia,STATE_FARS,538436
PER,Persia,STATE_ISFAHAN,499382
PER,Persia,STATE_PERSIAN_KURDISTAN,401370
PER,Persia,STATE_URMIA,360941
PER,Persia,STATE_LURISTAN,325202
PER,Persia,STATE_KERMAN,227689
PER,Persia,STATE_SEMNAN,59311
PER,Persia,STATE_LARISTAN,39521
PHI,Philippines,STATE_LUZON,1434456
PHI,Philippines,STATE_VISAYAS,1033743
PHI,Philippines,STATE_MINDANAO,98086
PHI,Philippines,STATE_WEST_MICRONESIA,8994
POR,Portugal,STATE_ENTRE_DOURO_E_MINHO,1203012
POR,Portugal,STATE_BEIRA,1106122
POR,Portugal,STATE_ESTREMADURA,791012
POR,Portugal,STATE_ALENTEJO,457012
POR,Portugal,STATE_BOMBAY,446391
POR,Portugal,STATE_ZAMBEZIA,388400
POR,Portugal,STATE_GUANGDONG,347996
POR,Portugal,STATE_MOCAMBIQUE,339992
POR,Portugal,STATE_SOUTH_ANGOLA,232004
POR,Portugal,STATE_LOURENCO_MARQUES,227761
POR,Portugal,STATE_AZORES,210532
POR,Portugal,STATE_MADEIRA,110202
POR,Portugal,STATE_SUNDA_ISLANDS,88192
POR,Portugal,STATE_CAPE_VERDE,78819
POR,Portugal,STATE_GUJARAT,55624
POR,Portugal,STATE_SOUTH_CAMEROON,15652
POR,Portugal,STATE_SENEGAL,13522
POR,Portugal,STATE_GUINEA,5105
POR,Portugal,STATE_NORTH_ANGOLA,3368
PRU,Prussia,STATE_LOWER_SILESIA,1919162
PRU,Prussia,STATE_BRANDENBURG,1631504
PRU,Prussia,STATE_POSEN,1568764
PRU,Prussia,STATE_ANHALT,1383392
PRU,Prussia,STATE_WESTPHALIA,1278830
PRU,Prussia,STATE_POMERANIA,1147800
PRU,Prussia,STATE_NORTH_RHINE,1015728
PRU,Prussia,STATE_EAST_PRUSSIA,859792
PRU,Prussia,STATE_RUHR,856288
PRU,Prussia,STATE_WEST_PRUSSIA,797004
PRU,Prussia,STATE_RHINELAND,756392
PRU,Prussia,STATE_UPPER_SILESIA,735861
PRU,Prussia,STATE_BRUNSWICK,112000
RUS,Russia,STATE_ORYOL,3356122
RUS,Russia,STATE_KIEV,3313761
RUS,Russia,STATE_YAROSLAVL,3010095
RUS,Russia,STATE_KHARKOV,2956760
RUS,Russia,STATE_TAMBOV,2644279
RUS,Russia,STATE_GREATER_POLAND,2588291
RUS,Russia,STATE_KURSK,2189913
RUS,Russia,STATE_SAMARA,1593287
RUS,Russia,STATE_NIZHNY_NOVGOROD,1582933
RUS,Russia,STATE_VYATKA,1512000
RUS,Russia,STATE_GREATER_CAUCASUS,1453390
RUS,Russia,STATE_CHERNIHIV,1424280
RUS,Russia,STATE_MAZOVIA,1315511
RUS,Russia,STATE_TAURIDA,1296141
RUS,Russia,STATE_RYAZAN,1243172
RUS,Russia,STATE_MOSCOW,1239301
RUS,Russia,STATE_TVER,1232108
RUS,Russia,STATE_TARTARIA,1189294
RUS,Russia,STATE_KAZAN,1109562
RUS,Russia,STATE_SMOLENSK,1029741
RUS,Russia,STATE_LESSER_POLAND,992197
RUS,Russia,STATE_INGRIA,976262
RUS,Russia,STATE_CHERSON,962860
RUS,Russia,STATE_NOVGOROD,820118
RUS,Russia,STATE_MINSK,788027
RUS,Russia,STATE_PERM,777777
RUS,Russia,STATE_BREST,771332
RUS,Russia,STATE_GALICH,746504
RUS,Russia,STATE_VOLHYNIA,716846
RUS,Russia,STATE_PSKOV,706885
RUS,Russia,STATE_ROSTOV,631680
RUS,Russia,STATE_MOGILEV,624822
RUS,Russia,STATE_KAUNAS,607037
RUS,Russia,STATE_CHUVASHIA,555443
RUS,Russia,STATE_BESSARABIA,544458
RUS,Russia,STATE_VILNIUS,522137
RUS,Russia,STATE_STAVROPOL,508282
RUS,Russia,STATE_KUBAN,430200
RUS,Russia,STATE_TOBOLSK,417044
RUS,Russia,STATE_VITEBSK,410133
RUS,Russia,STATE_URAL,377804
RUS,Russia,STATE_UFA,369535
RUS,Russia,STATE_TOMSK,361800
RUS,Russia,STATE_CHELYABINSK,325607
RUS,Russia,STATE_AZERBAIJAN,285283
RUS,Russia,STATE_ASTRAKHAN,264795
RUS,Russia,STATE_IRKUTSK,261360
RUS,Russia,STATE_ELIZAVETPOL,260795
RUS,Russia,STATE_ARMENIA,252964
RUS,Russia,STATE_ARKHANGELSK,238520
RUS,Russia,STATE_CRIMEA,209258
RUS,Russia,STATE_NORTH_CAUCASUS,202369
RUS,Russia,STATE_RIGA,200380
RUS,Russia,STATE_KRASNOYARSK,196440
RUS,Russia,STATE_TRANS_BAIKAL,195147
RUS,Russia,STATE_BURYATIA,175587
RUS,Russia,STATE_EAST_KARELIA,169012
RUS,Russia,STATE_DAGESTAN,166820
RUS,Russia,STATE_YAKUTSK,146758
RUS,Russia,STATE_KALMYKIA,125762
RUS,Russia,STATE_URALSK,97572
RUS,Russia,STATE_AKMOLINSK,48776
RUS,Russia,STATE_KOLYMA,41821
RUS,Russia,STATE_UPPER_YENISEYSK,35190
RUS,Russia,STATE_KARS,35000
RUS,Russia,STATE_NENETSIA,31074
RUS,Russia,STATE_DOBRUDJA,21660
RUS,Russia,STATE_CHUKOTKA,13023
RUS,Russia,STATE_SURGUT,12058
RUS,Russia,STATE_OKHOTSK,11870
RUS,Russia,STATE_KOLA,6274
RUS,Russia,STATE_KAMCHATKA,6000
RUS,Russia,STATE_OB,5917
SAF,South Africa,STATE_CAPE_COLONY,436304
SAF,South Africa,STATE_EASTERN_CAPE,116196
SAF,South Africa,STATE_NORTHERN_CAPE,73000
SAR,Sardinia-Piedmont,STATE_PIEDMONT,2463988
SAR,Sardinia-Piedmont,STATE_SARDINIA,524084
SAR,Sardinia-Piedmont,STATE_SAVOY,468800
SAR,Sardinia-Piedmont,STATE_PROVENCE,172200
SHW,Shewa,STATE_OROMIA,676898
SIA,Siam,STATE_BANGKOK,1718404
SIA,Siam,STATE_NAKHON_RATCHASIMA,1182312
SIA,Siam,STATE_TENASSERIM,348700
SIA,Siam,STATE_MALAYA,264800
SIA,Siam,STATE_CAMBODIA,201335
SIA,Siam,STATE_LAOS,151094
SIC,Two Sicilies,STATE_CAMPANIA,2557396
SIC,Two Sicilies,STATE_SICILY,1647596
SIC,Two Sicilies,STATE_APULIA,1284392
SIC,Two Sicilies,STATE_CALABRIA,882848
SIC,Two Sicilies,STATE_ABRUZZO,660448
SOK,Sokoto,STATE_EAST_HAUSALAND,2405378
SOK,Sokoto,STATE_HAUSALAND,1465304
SOK,Sokoto,STATE_NORTH_CAMEROON,794172
SOK,Sokoto,STATE_NIGERIA,576308
SOK,Sokoto,STATE_OUTER_HAUSALAND,187159
SPA,Spain,STATE_NEW_CASTILE,1578858
SPA,Spain,STATE_GALICIA,1485255
SPA,Spain,STATE_OLD_CASTILE,1274098
SPA,Spain,STATE_LOWER_ANDALUSIA,1215991
SPA,Spain,STATE_UPPER_ANDALUSIA,1188141
SPA,Spain,STATE_CATALONIA,976110
SPA,Spain,STATE_VALENCIA,965789
SPA,Spain,STATE_LEON,642921
SPA,Spain,STATE_ARAGON,634562
SPA,Spain,STATE_EXTREMADURA,552368
SPA,Spain,STATE_MURCIA,474306
SPA,Spain,STATE_ASTURIAS,438563
SPA,Spain,STATE_BALEARIC_ISLANDS,231268
SPA,Spain,STATE_CANARY_ISLANDS,231268
SPA,Spain,STATE_AL_RIF,16403
SWE,Sweden,STATE_SVEALAND,1114208
SWE,Sweden,STATE_GOTALAND,809308
SWE,Sweden,STATE_SCANIA,513060
SWE,Sweden,STATE_NORRLAND,327400
SWE,Sweden,STATE_GOTLAND,33208
TUR,Ottomans,STATE_ANKARA,1579415
TUR,Ottomans,STATE_EASTERN_THRACE,1342988
TUR,Ottomans,STATE_ALBANIA,1263208
TUR,Ottomans,STATE_THESSALIA,1131904
TUR,Ottomans,STATE_HUDAVENDIGAR,1038367
TUR,Ottomans,STATE_AYDIN,1003276
TUR,Ottomans,STATE_TRABZON,913612
TUR,Ottomans,STATE_ERZURUM,880846
TUR,Ottomans,STATE_BULGARIA,874408
TUR,Ottomans,STATE_BOSNIA,864500
TUR,Ottomans,STATE_NORTHERN_THRACE,853608
TUR,Ottomans,STATE_KONYA,801714
TUR,Ottomans,STATE_KASTAMONU,774816
TUR,Ottomans,STATE_SKOPIA,736892
TUR,Ottomans,STATE_WESTERN_THRACE,732608
TUR,Ottomans,STATE_DIYARBAKIR,712235
TUR,Ottomans,STATE_MOSUL,593804
TUR,Ottomans,STATE_BAGHDAD,500994
TUR,Ottomans,STATE_MACEDONIA,446104
TUR,Ottomans,STATE_BASRA,425904
TUR,Ottomans,STATE_KOSOVO,308893
TUR,Ottomans,STATE_EASTERN_SERBIA,254385
TUR,Ottomans,STATE_DEIR_EZ_ZOR,254096
TUR,Ottomans,STATE_DOBRUDJA,231948
TUR,Ottomans,STATE_MONTENEGRO,170996
TUR,Ottomans,STATE_KARS,154700
TUR,Ottomans,STATE_CYPRUS,148665
TUR,Ottomans,STATE_EAST_AEGEAN_ISLANDS,93984
TUR,Ottomans,STATE_WESTERN_SERBIA,73717
TUR,Ottomans,STATE_ADANA,33525
USA,United States,STATE_NEW_YORK,2221000
USA,United States,STATE_PENNSYLVANIA,1500300
USA,United States,STATE_OHIO,1344212
USA,United States,STATE_MASSACHUSETTS,847280
USA,United States,STATE_VIRGINIA,818796
USA,United States,STATE_TENNESSEE,772128
USA,United States,STATE_KENTUCKY,744376
USA,United States,STATE_NORTH_CAROLINA,740144
USA,United States,STATE_INDIANA,663508
USA,United States,STATE_ALABAMA,600480
USA,United States,STATE_GEORGIA,598574
USA,United States,STATE_SOUTH_CAROLINA,588588
USA,United States,STATE_ILLINOIS,456400
USA,United States,STATE_MAINE,397228
USA,United States,STATE_MISSOURI,367508
USA,United States,STATE_MARYLAND,359005
USA,United States,STATE_NEW_JERSEY,347192
USA,United States,STATE_LOUISIANA,294684
USA,United States,STATE_VERMONT,282848
USA,United States,STATE_NEW_HAMPSHIRE,279300
USA,United States,STATE_MISSISSIPPI,260804
USA,United States,STATE_WEST_VIRGINIA,208805
USA,United States,STATE_CONNECTICUT,199228
USA,United States,STATE_MICHIGAN,152000
USA,United States,STATE_DISTRICT_OF_COLUMBIA,121625
USA,United States,STATE_RHODE_ISLAND,104820
USA,United States,STATE_DELAWARE,96524
USA,United States,STATE_ARKANSAS,92620
USA,United States,STATE_FLORIDA,82996
USA,United States,STATE_IOWA,43992
USA,United States,STATE_WISCONSIN,36004
USA,United States,STATE_MINNESOTA,16000
USA,United States,STATE_KANSAS,12000
USA,United States,STATE_WYOMING,8000
USA,United States,STATE_MONTANA,7000
USA,United States,STATE_NORTH_DAKOTA,6000
USA,United States,STATE_SOUTH_DAKOTA,4000
USA,United States,STATE_NEBRASKA,4000
USA,United States,STATE_COLORADO,1800
