tag,country,x,pinned,x_formula,x_raw,pop_m,gdp_index,homeland_states,total_states
MAD,Madagascar,1,,1,1.89,1.94,0.031,2.0,2.0
MAS,MAS,1,,1,1.88,2.01,0.02,2.0,2.0
TRS,Transylvania,1,,1,1.87,2.06,0.012,2.0,2.0
WAL,Wallachia,1,,1,1.83,2.23,0.045,1.0,1.0
NOR,Norway,1,,1,1.81,1.24,0.033,3.0,3.0
DEN,Denmark,1,,1,1.8,1.41,0.071,2.0,8.0
KOK,Kokand,1,,1,1.76,1.62,0.028,2.0,4.0
IBO,Igbo,1,,1,1.73,2.35,0.0,1.0,1.0
VNZ,Venezuela,1,,1,1.66,1.01,0.018,3.0,4.0
CUB,Cuba,1,,1,1.64,0.9,0.031,3.0,3.0
TUS,Tuscany,1,,1,1.62,1.63,0.049,1.0,1.0
SIN,Sindh,1,,1,1.61,1.96,0.003,1.0,1.0
ASH,Ashanti,1,,1,1.61,1.19,0.041,2.0,2.0
MSN,Massina,1,,1,1.6,1.25,0.026,2.0,2.0
KZH,Kishi Zhuz,1,,1,1.6,0.62,0.003,4.0,6.0
WUR,Württemberg,1,,1,1.58,1.72,0.023,1.0,1.0
BEN,Benin,1,,1,1.57,1.68,0.026,1.0,1.0
JAI,Dhundhar,1,,1,1.56,1.82,0.003,1.0,1.0
SAX,Saxony,1,,1,1.56,1.67,0.024,1.0,1.0
NSW,New South Wales,1,,1,1.56,0.27,0.014,5.0,5.0
CRO,Croatia,1,,1,1.53,1.19,0.011,2.0,2.0
OYO,Oyo,1,,1,1.52,1.58,0.02,1.0,1.0
KHI,Khiva,1,,1,1.52,1.04,0.032,2.0,3.0
SPC,SPC,1,,1,1.5,0.7,0.023,3.0,3.0
SPU,SPU,1,,1,1.49,0.68,0.02,3.0,3.0
CON,CON,1,,1,1.47,1.49,0.017,1.0,1.0
CHL,Chile,1,,1,1.46,0.96,0.026,2.0,3.0
TUN,Tunis,1,,1,1.43,1.32,0.028,1.0,1.0
GWA,Gwalior,1,,1,1.42,1.45,0.007,1.0,2.0
KON,Kongo,1,,1,1.42,1.0,0.007,2.0,2.0
NPU,NPU,1,,1,1.41,0.87,0.026,2.0,3.0
MOS,Mossi,1,,1,1.39,1.43,0.0,1.0,1.0
MOL,Moldavia,1,,1,1.39,1.36,0.007,1.0,1.0
BOR,Bornu,1,,1,1.39,0.86,0.022,2.0,4.0
LBA,Luba,1,,1,1.39,0.62,0.0,3.0,3.0
HER,HER,1,,1,1.38,0.93,0.006,2.0,2.0
BAD,Baden,1,,1,1.37,1.3,0.011,1.0,1.0
KAS,Kashmir,1,,1,1.36,1.27,0.01,1.0,1.0
MRV,MRV,1,,1,1.36,0.92,0.0,2.0,2.0
GZA,GZA,1,,1,1.35,1.13,0.029,1.0,2.0
TRI,Tripolitania,1,,1,1.35,0.77,0.024,2.0,2.0
LKT,Lakota,1,,1,1.33,0.11,0.0,5.0,6.0
JOD,Marwar,1,,1,1.32,1.25,0.0,1.0,1.0
MDK,Mandinka,1,,1,1.32,0.52,0.0,3.0,3.0
ASM,Assam,1,,1,1.31,1.21,0.002,1.0,1.0
OZH,Orta Zhuz,1,,1,1.29,0.46,0.003,3.0,4.0
BER,Baroda,1,,1,1.28,1.12,0.008,1.0,1.0
PPU,Papua,1,,1,1.27,0.75,0.0,2.0,2.0
SER,Serbia,1,,1,1.26,0.72,0.002,2.0,2.0
FNG,Fang,1,,1,1.25,0.73,0.0,2.0,2.0
TRA,Travancore,1,,1,1.24,1.06,0.005,1.0,1.0
HAI,Haiti,1,,1,1.24,0.99,0.016,1.0,2.0
GJM,Gojjam,1,,1,1.22,0.89,0.026,1.0,1.0
ECU,Ecuador,1,,1,1.21,0.97,0.01,1.0,2.0
ZAI,Azal,1,,1,1.2,0.95,0.01,1.0,1.0
CMI,Chiang Mai,1,,1,1.2,0.92,0.014,1.0,1.0
SAK,Siak,1,,1,1.19,0.57,0.01,2.0,2.0
MAK,Makran,1,,1,1.18,0.59,0.003,2.0,2.0
HDJ,Hedjaz,1,,1,1.17,0.53,0.015,2.0,2.0
BAL,Bali,1,,1,1.16,0.84,0.015,1.0,1.0
BAG,BAG,1,,1,1.14,0.89,0.0,1.0,1.0
BGM,Begemder,1,,1,1.13,0.75,0.02,1.0,1.0
BUG,Buganda,1,,1,1.12,0.77,0.015,1.0,1.0
BCE,BCE,1,,1,1.11,1.2,0.003,0.0,1.0
TRM,TRM,1,,1,1.11,0.51,0.0,2.0,4.0
KBA,Kuba,1,,1,1.1,0.8,0.0,1.0,1.0
CAM,Cambodia,1,,1,1.1,0.71,0.019,1.0,1.0
BUN,Orchha,1,,1,1.08,0.77,0.002,1.0,1.0
HES,Hesse,1,,1,1.08,0.73,0.008,1.0,1.0
KZM,Kazembe,1,,1,1.08,0.47,0.0,2.0,2.0
ZND,Azande,1,,1,1.08,0.46,0.0,2.0,2.0
TGR,Tigray,1,,1,1.07,0.65,0.022,1.0,1.0
LND,Lunda,1,,1,1.07,0.45,0.0,2.0,2.0
SAT,SAT,1,,1,1.06,0.74,0.0,1.0,1.0
KRU,Kru,1,,1,1.06,0.44,0.0,2.0,2.0
PTA,PTA,1,,1,1.05,0.71,0.001,1.0,2.0
CIR,Circassia,1,,1,1.03,0.66,0.006,1.0,2.0
MEW,Mewar,1,,1,1.03,0.66,0.005,1.0,1.0
MOD,Modena,1,,1,1.03,0.65,0.008,1.0,1.0
QWR,QWR,1,,1,1.03,0.59,0.022,1.0,1.0
DLA,Duala,1,,1,1.02,0.68,0.0,1.0,1.0
HEK,Hesse-Kassel,1,,1,1.01,0.63,0.005,1.0,1.0
WAD,Wadai,1,,1,1.01,0.32,0.014,2.0,2.0
TBI,TBI,1,,1,1.0,0.16,0.0,3.0,4.0
TID,Tidore,0,,0,1.0,0.31,0.014,2.0,3.0
SHS,SHS,0,,0,0.99,0.63,0.0,1.0,1.0
BNG,Bangala,0,,0,0.99,0.63,0.0,1.0,1.0
IND,Indore,0,,0,0.99,0.58,0.009,1.0,2.0
QUE,Quebec,0,,0,0.99,0.56,0.015,1.0,1.0
KNG,Kong,0,,0,0.99,0.34,0.0,2.0,2.0
SAN,SAN,0,,0,0.99,0.04,0.0,4.0,4.0
NYM,Unyamwezi,0,,0,0.97,0.59,0.0,1.0,1.0
KAL,Kalat,0,,0,0.97,0.58,0.005,1.0,1.0
MNC,Manica,0,,0,0.97,0.33,0.0,2.0,2.0
PRG,Paraguay,0,,0,0.97,0.28,0.012,2.0,2.0
BAS,Bastar,0,,0,0.94,0.53,0.003,1.0,1.0
RWD,Rwanda,0,,0,0.94,0.51,0.007,1.0,1.0
HDY,HDY,0,,0,0.94,0.49,0.015,1.0,1.0
BOB,Bobangi,0,,0,0.94,0.3,0.0,2.0,2.0
ALW,ALW,0,,0,0.93,0.54,0.0,1.0,1.0
COC,COC,0,,0,0.93,0.53,0.0,1.0,1.0
MUG,Hindustan,0,,0,0.93,0.51,0.003,1.0,1.0
KHP,KHP,0,,0,0.92,0.52,0.0,1.0,1.0
GAR,GAR,0,,0,0.92,0.51,0.0,1.0,2.0
MEC,Mecklenburg,0,,0,0.92,0.49,0.005,1.0,1.0
KFA,Kaffa,0,,0,0.92,0.45,0.017,1.0,1.0
PAT,Mapuche,0,,0,0.92,0.1,0.0,3.0,3.0
MND,MND,0,,0,0.91,0.51,0.0,1.0,1.0
BRG,BRG,0,,0,0.91,0.25,0.006,2.0,2.0
PAR,Parma,0,,0,0.9,0.47,0.006,1.0,1.0
BRD,Burundi,0,,0,0.9,0.47,0.007,1.0,1.0
JOH,Johore,0,,0,0.9,0.44,0.014,1.0,1.0
KNC,KNC,0,,0,0.9,0.01,0.0,4.0,4.0
SUR,SUR,0,,0,0.89,0.48,0.0,1.0,1.0
ARB,ARB,0,,0,0.89,0.46,0.003,1.0,1.0
FTJ,Futa Jallon,0,,0,0.89,0.42,0.012,1.0,1.0
ONT,Ontario,0,,0,0.89,0.41,0.016,1.0,1.0
ATB,Athabaska,0,,0,0.89,0.09,0.0,3.0,3.0
MNB,Mangbetu,0,,0,0.88,0.47,0.0,1.0,1.0
HAU,Gobir,0,,0,0.88,0.4,0.015,1.0,1.0
LNG,Loango,0,,0,0.88,0.23,0.0,2.0,2.0
SLW,Sulawesi,0,,0,0.87,0.45,0.0,1.0,1.0
DAH,Dahomey,0,,0,0.87,0.4,0.01,1.0,1.0
NEJ,Nejd,0,,0,0.87,0.2,0.009,2.0,2.0
BRN,Borana,0,,0,0.86,0.43,0.0,1.0,1.0
HOL,Holstein,0,,0,0.86,0.4,0.008,1.0,1.0
WLG,Welega,0,,0,0.86,0.4,0.008,1.0,1.0
HAR,Harar,0,,0,0.86,0.36,0.019,1.0,1.0
TSW,Tswana,0,,0,0.85,0.2,0.0,2.0,2.0
MNP,Manipur,0,,0,0.84,0.4,0.0,1.0,1.0
NAS,Nassau,0,,0,0.84,0.4,0.003,1.0,1.0
MTP,MTP,0,,0,0.84,0.2,0.0,2.0,2.0
LIB,Liberia,0,,0,0.83,0.38,0.005,1.0,1.0
MJT,Majerteen,0,,0,0.83,0.36,0.01,1.0,1.0
ZUL,Zulu,0,,0,0.83,0.3,0.026,1.0,1.0
OGD,OGD,0,,0,0.82,0.39,0.0,1.0,1.0
EWE,Ewe,0,,0,0.82,0.38,0.0,1.0,1.0
ACE,Aceh,0,,0,0.82,0.35,0.008,1.0,1.0
ZWY,ZWY,0,,0,0.82,0.05,0.0,3.0,3.0
BIK,Bikaner,0,,0,0.81,0.38,0.0,1.0,1.0
KNO,KNO,0,,0,0.81,0.37,0.0,1.0,1.0
PRA,PRA,0,,0,0.81,0.36,0.006,1.0,2.0
HHE,Hehe,0,,0,0.8,0.36,0.0,1.0,1.0
LAD,Ladakh,0,,0,0.8,0.36,0.001,1.0,1.0
JHN,JHN,0,,0,0.8,0.35,0.001,1.0,1.0
SCH,Schleswig,0,,0,0.8,0.34,0.006,1.0,1.0
LUA,Luang Prabang,0,,0,0.8,0.32,0.011,1.0,1.0
BLE,Baule,0,,0,0.8,0.16,0.0,2.0,2.0
BST,BST,0,,0,0.8,0.14,0.01,2.0,2.0
YKA,Yaka,0,,0,0.79,0.35,0.0,1.0,1.0
DFT,Dar Fertit,0,,0,0.79,0.34,0.0,1.0,1.0
JUN,JUN,0,,0,0.79,0.34,0.001,1.0,1.0
BNN,BNN,0,,0,0.79,0.04,0.0,3.0,3.0
DNK,Dinka,0,,0,0.78,0.34,0.0,1.0,1.0
SSU,Susu,0,,0,0.78,0.34,0.0,1.0,1.0
HMB,Hemba,0,,0,0.78,0.34,0.0,1.0,1.0
PDI,PDI,0,,0,0.77,0.32,0.0,1.0,1.0
BHO,Bhopal,0,,0,0.77,0.31,0.006,1.0,1.0
CHC,Chechnya,0,,0,0.77,0.31,0.005,1.0,2.0
PCO,Puerto Rico,0,,0,0.77,0.29,0.008,1.0,1.0
OUA,Tagant,0,,0,0.77,0.14,0.0,2.0,3.0
AJJ,AJJ,0,,0,0.77,0.03,0.0,3.0,3.0
WTI,WTI,0,,0,0.77,0.03,0.0,3.0,3.0
KOT,KOT,0,,0,0.76,0.32,0.0,1.0,1.0
KKY,Kikuyu,0,,0,0.76,0.31,0.0,1.0,1.0
MGD,Maguindanao,0,,0,0.76,0.29,0.007,1.0,1.0
AIT,AIT,0,,0,0.76,0.29,0.008,1.0,1.0
LZO,Barotse,0,,0,0.76,0.13,0.0,2.0,3.0
KLN,KLN,0,,0,0.76,0.03,0.0,3.0,3.0
MTB,MTB,0,,0,0.75,0.31,0.0,1.0,1.0
DAK,Dar al Kuti,0,,0,0.75,0.3,0.0,1.0,1.0
BHV,BHV,0,,0,0.75,0.3,0.002,1.0,1.0
ARS,ARS,0,,0,0.74,0.27,0.009,1.0,1.0
BLG,Bulungan,0,,0,0.74,0.11,0.002,2.0,2.0
KRT,Kaarta,0,,0,0.73,0.24,0.012,1.0,1.0
KUT,Kutch,0,,0,0.72,0.27,0.002,1.0,1.0
OLD,Oldenburg,0,,0,0.72,0.26,0.003,1.0,1.0
AWS,Aussa,0,,0,0.72,0.1,0.005,2.0,2.0
WLT,WLT,0,,0,0.71,0.25,0.005,1.0,1.0
BNY,Bunyoro,0,,0,0.71,0.25,0.003,1.0,1.0
SEL,Selangor,0,,0,0.71,0.24,0.007,1.0,1.0
DFR,Darfur,0,,0,0.71,0.24,0.007,1.0,1.0
WEI,Saxe-Weimar,0,,0,0.71,0.23,0.008,1.0,1.0
SGU,Segou,0,,0,0.71,0.22,0.012,1.0,1.0
HRO,Herero,0,,0,0.7,0.25,0.0,1.0,2.0
MYB,MYB,0,,0,0.7,0.25,0.001,1.0,1.0
ANK,Ankole,0,,0,0.7,0.24,0.003,1.0,1.0
KRA,Krakow,0,,0,0.7,0.22,0.008,1.0,1.0
GLD,Geledi,0,,0,0.7,0.22,0.008,1.0,1.0
PAA,PAA,0,,0,0.7,0.01,0.0,3.0,3.0
NUE,Nuer,0,,0,0.69,0.24,0.0,1.0,1.0
COO,COO,0,,0,0.69,0.24,0.0,1.0,1.0
PUD,PUD,0,,0,0.69,0.24,0.0,1.0,1.0
LGA,Lega,0,,0,0.69,0.24,0.0,1.0,1.0
SKM,Usukuma,0,,0,0.69,0.24,0.0,1.0,1.0
NAW,NAW,0,,0,0.69,0.23,0.001,1.0,1.0
KBU,Kaabu,0,,0,0.69,0.09,0.0,2.0,2.0
IDA,IDA,0,,0,0.68,0.23,0.0,1.0,1.0
BHW,BHW,0,,0,0.68,0.23,0.001,1.0,1.0
BRA,Brunswick,0,,0,0.68,0.22,0.002,1.0,1.0
OVB,OVB,0,,0,0.68,0.08,0.0,2.0,2.0
NAM,Nama,0,,0,0.68,0.08,0.0,2.0,2.0
BRU,Brunei,0,,0,0.67,0.21,0.005,1.0,1.0
PNI,Piratini,0,,0,0.67,0.2,0.007,1.0,1.0
NVS,Nova Scotia,0,,0,0.67,0.2,0.007,1.0,1.0
MSI,Masai,0,,0,0.67,0.07,0.0,2.0,2.0
OVM,Ovimbundu,0,,0,0.66,0.22,0.0,1.0,1.0
BMB,Bemba,0,,0,0.66,0.21,0.0,1.0,2.0
ACH,Acholi,0,,0,0.66,0.21,0.0,1.0,1.0
CHK,Chokwe,0,,0,0.66,0.21,0.0,1.0,1.0
HAW,Hawaii,0,,0,0.66,0.19,0.008,1.0,1.0
FTR,Futa Toro,0,,0,0.66,0.18,0.012,1.0,2.0
IRC,Iron Confederacy,0,,0,0.66,0.07,0.0,2.0,3.0
ADG,Kel Adagh,0,,0,0.66,0.07,0.0,2.0,2.0
BND,Bundu,0,,0,0.65,0.2,0.0,1.0,1.0
TRK,Turkana,0,,0,0.65,0.2,0.0,1.0,1.0
MSH,Mashona,0,,0,0.65,0.2,0.0,1.0,1.0
ANH,Anhalt,0,,0,0.65,0.2,0.002,1.0,1.0
RYU,RYU,0,,0,0.65,0.19,0.003,1.0,1.0
ION,Ionian Islands,0,,0,0.65,0.19,0.005,1.0,1.0
UZH,Uly Zhuz,0,,0,0.64,0.2,0.0,1.0,1.0
SUL,Sulu,0,,0,0.64,0.18,0.007,1.0,3.0
LUX,Luxembourg,0,,0,0.63,0.18,0.002,1.0,1.0
BNJ,Banjar,0,,0,0.63,0.16,0.009,1.0,1.0
THL,Tehuelche,0,,0,0.63,0.05,0.0,2.0,2.0
FZN,FZN,0,,0,0.62,0.17,0.001,1.0,2.0
PLY,Tahiti,0,,0,0.62,0.17,0.003,1.0,1.0
KTI,Kutai,0,,0,0.62,0.17,0.003,1.0,1.0
SDM,Sidamo,0,,0,0.62,0.16,0.005,1.0,1.0
MCR,Micronesia,0,,0,0.62,0.05,0.0,2.0,2.0
WDJ,WDJ,0,,0,0.62,0.05,0.0,2.0,2.0
COM,Comanche,0,,0,0.62,0.05,0.0,2.0,4.0
KSN,Kasanje,0,,0,0.61,0.16,0.0,1.0,1.0
COB,Saxe-Coburg-Gotha,0,,0,0.61,0.16,0.005,1.0,1.0
HAM,Hamburg,0,,0,0.61,0.15,0.007,1.0,1.0
RGB,RGB,0,,0,0.61,0.05,0.0,2.0,4.0
NTO,Ngāti Toa,0,,0,0.61,0.04,0.0,2.0,2.0
BHU,Bhutan,0,,0,0.6,0.16,0.002,1.0,1.0
PRK,Perak,0,,0,0.6,0.15,0.007,1.0,1.0
NVJ,Navajo,0,,0,0.6,0.04,0.0,2.0,3.0
DLM,DLM,0,,0,0.6,0.04,0.0,2.0,2.0
XHO,Xhosa,0,,0,0.59,0.15,0.0,1.0,1.0
CHP,CHP,0,,0,0.59,0.14,0.003,1.0,1.0
URU,Uruguay,0,,0,0.59,0.14,0.007,1.0,1.0
BHN,Bahrain,0,,0,0.59,0.04,0.0,2.0,2.0
ADR,ADR,0,,0,0.59,0.04,0.0,2.0,3.0
ABS,Absaroka,0,,0,0.59,0.03,0.0,2.0,2.0
PTN,PTN,0,,0,0.58,0.15,0.0,1.0,1.0
PLP,PLP,0,,0,0.58,0.15,0.0,1.0,1.0
BGI,Bagirmi,0,,0,0.58,0.14,0.002,1.0,1.0
KUN,KUN,0,,0,0.58,0.14,0.002,1.0,1.0
MEI,Saxe-Meiningen,0,,0,0.58,0.14,0.005,1.0,1.0
EZO,Ezochi,0,,0,0.58,0.03,0.0,2.0,2.0
ISQ,Isaaq,0,,0,0.57,0.13,0.005,1.0,1.0
NBS,New Brunswick,0,,0,0.57,0.12,0.007,1.0,1.0
GNI,Guarani,0,,0,0.57,0.03,0.0,2.0,3.0
KRG,Karagwe,0,,0,0.56,0.12,0.002,1.0,1.0
MON,Montenegro,0,,0,0.56,0.12,0.003,1.0,1.0
PON,Pontianak,0,,0,0.56,0.12,0.008,1.0,1.0
TRZ,Trarza,0,,0,0.55,0.12,0.0,1.0,1.0
NGA,NGA,0,,0,0.55,0.12,0.0,1.0,1.0
BMM,BMM,0,,0,0.55,0.12,0.0,1.0,1.0
SCW,Schwarzburg,0,,0,0.55,0.11,0.006,1.0,1.0
LUC,Lucca,0,,0,0.55,0.11,0.006,1.0,1.0
APC,Apache,0,,0,0.55,0.02,0.0,2.0,2.0
WRR,WRR,0,,0,0.55,0.02,0.0,2.0,2.0
SIL,Sierra Leone,0,,0,0.54,0.28,0.003,0.0,4.0
JLF,Jolof,0,,0,0.54,0.11,0.0,1.0,1.0
FRM,Frankfurt,0,,0,0.54,0.11,0.002,1.0,1.0
BRE,Bremen,0,,0,0.54,0.11,0.005,1.0,1.0
PWN,Pawnee,0,,0,0.54,0.02,0.0,2.0,2.0
UTE,Ute,0,,0,0.54,0.02,0.0,2.0,2.0
CHT,CHT,0,,0,0.53,0.29,0.0,0.0,2.0
SNG,Sangu,0,,0,0.53,0.11,0.0,1.0,1.0
KBD,Kabadougou,0,,0,0.53,0.11,0.0,1.0,1.0
DHA,DHA,0,,0,0.53,0.11,0.0,1.0,1.0
LUO,Luo,0,,0,0.53,0.11,0.0,1.0,1.0
AIR,Kel Air,0,,0,0.53,0.11,0.0,1.0,1.0
OMO,OMO,0,,0,0.53,0.11,0.0,1.0,1.0
JMB,Jambi,0,,0,0.53,0.09,0.008,1.0,1.0
GRW,GRW,0,,0,0.53,0.02,0.0,2.0,2.0
ORG,Oregon,0,,0,0.52,0.09,0.005,1.0,4.0
ARR,ARR,0,,0,0.52,0.01,0.0,2.0,2.0
ARP,Arapaho,0,,0,0.52,0.01,0.0,2.0,2.0
WSG,Warsangali,0,,0,0.51,0.09,0.005,1.0,1.0
MRN,MRN,0,,0,0.51,0.01,0.0,2.0,2.0
KRI,KRI,0,,0,0.51,0.01,0.0,2.0,2.0
JEY,JEY,0,,0,0.5,0.24,0.001,0.0,1.0
SRR,Serer,0,,0,0.5,0.09,0.0,1.0,1.0
GGO,Gogo,0,,0,0.5,0.09,0.0,1.0,1.0
VNT,Vanuatu,0,,0,0.5,0.09,0.0,1.0,1.0
MJK,MJK,0,,0,0.5,0.09,0.0,1.0,1.0
CAY,Cayor,0,,0,0.5,0.09,0.0,1.0,1.0
VND,VND,0,,0,0.5,0.09,0.0,1.0,1.0
AYI,Anyi,0,,0,0.5,0.09,0.0,1.0,1.0
KKI,KKI,0,,0,0.5,0.09,0.0,1.0,3.0
MST,Mecklenburg-Strelitz,0,,0,0.5,0.09,0.003,1.0,1.0
LUB,Lübeck,0,,0,0.5,0.08,0.002,1.0,1.0
YUR,YUR,0,,0,0.5,0.01,0.0,2.0,2.0
NYP,NYP,0,,0,0.5,0.01,0.0,2.0,2.0
SIK,Sikkim,0,,0,0.49,0.08,0.001,1.0,1.0
FJI,Fiji,0,,0,0.49,0.08,0.0,1.0,1.0
SMB,Sambas,0,,0,0.49,0.08,0.002,1.0,1.0
LAH,Lahej,0,,0,0.49,0.07,0.007,1.0,1.0
TPS,Toposa,0,,0,0.48,0.08,0.0,1.0,1.0
LIP,Lippe,0,,0,0.48,0.08,0.001,1.0,1.0
TEK,TEK,0,,0,0.47,0.07,0.0,1.0,3.0
SWZ,SWZ,0,,0,0.47,0.06,0.006,1.0,1.0
MSK,Maseko,0,,0,0.46,0.21,0.0,0.0,1.0
WBL,Griqualand,0,,0,0.46,0.06,0.002,1.0,1.0
MKT,Miskitia,0,,0,0.46,0.06,0.003,1.0,1.0
MAI,MAI,0,,0,0.46,0.06,0.003,1.0,1.0
TRN,Transvaal,0,,0,0.46,0.06,0.006,1.0,1.0
ABU,Trucial States,0,,0,0.46,0.06,0.003,1.0,1.0
YOG,Yogyakarta,0,,0,0.46,0.06,0.005,1.0,1.0
NTU,Ngāi Tahu,0,,0,0.45,0.06,0.0,1.0,1.0
MGH,MGH,0,,0,0.45,0.06,0.0,1.0,1.0
SEQ,Indian Territory,0,,0,0.45,0.06,0.001,1.0,1.0
HOH,Hohenzollern,0,,0,0.45,0.06,0.002,1.0,1.0
TMN,TMN,0,,0,0.44,0.06,0.0,1.0,1.0
BTN,Buton,0,,0,0.44,0.06,0.001,1.0,1.0
TEX,Texas,0,,0,0.44,0.06,0.002,1.0,1.0
KNK,Kanak,0,,0,0.44,0.06,0.0,1.0,1.0
MLD,MLD,0,,0,0.44,0.06,0.0,1.0,1.0
WLD,Waldeck,0,,0,0.44,0.06,0.001,1.0,1.0
UNT,United Tribes,0,,0,0.44,0.06,0.003,1.0,1.0
IQU,IQU,0,,0,0.44,0.06,0.002,1.0,1.0
DGR,DGR,0,,0,0.43,0.06,0.0,1.0,1.0
BLA,Bilua,0,,0,0.43,0.05,0.0,1.0,1.0
DIO,DIO,0,,0,0.43,0.05,0.0,1.0,1.0
KAU,KAU,0,,0,0.43,0.05,0.002,1.0,1.0
STG,Sintang,0,,0,0.43,0.05,0.003,1.0,1.0
NAR,NAR,0,,0,0.42,0.05,0.0,1.0,1.0
JAS,Jaisalmer,0,,0,0.42,0.05,0.0,1.0,1.0
HLA,Halia,0,,0,0.42,0.05,0.0,1.0,1.0
TUG,TUG,0,,0,0.42,0.05,0.001,1.0,1.0
JAB,Jabal Shammar,0,,0,0.42,0.05,0.001,1.0,1.0
SRK,Surakarta,0,,0,0.42,0.04,0.002,1.0,1.0
ORA,Oranje,0,,0,0.42,0.04,0.003,1.0,1.0
KLO,KLO,0,,0,0.41,0.04,0.0,1.0,1.0
TKE,Teke,0,,0,0.41,0.04,0.0,1.0,1.0
KAT,Kathiri,0,,0,0.41,0.04,0.001,1.0,1.0
SAS,South Australia,0,,0,0.41,0.04,0.002,1.0,1.0
TAS,Tasmania,0,,0,0.41,0.04,0.001,1.0,1.0
AJR,AJR,0,,0,0.4,0.04,0.0,1.0,1.0
TNG,Tonga,0,,0,0.4,0.04,0.0,1.0,1.0
SCT,SCT,0,,0,0.4,0.04,0.0,1.0,2.0
NZP,Nimíipuu,0,,0,0.4,0.04,0.0,1.0,1.0
AUL,AUL,0,,0,0.39,0.04,0.0,1.0,1.0
ARH,ARH,0,,0,0.39,0.04,0.0,1.0,1.0
