tag,country,state,building,building_group,category,levels
AUS,Austria,DALMATIA,vineyard,agriculture,agriculture,1
AUS,Austria,DALMATIA,wheat_farm,staple_crops,agriculture,1
AUS,Austria,EAST_GALICIA,government_administration,bureaucracy,development,3
AUS,Austria,EAST_GALICIA,livestock_ranch,ranching,agriculture,2
AUS,Austria,EAST_GALICIA,wheat_farm,staple_crops,agriculture,2
AUS,Austria,ISTRIA,fishing_wharf,fishing,fishing,4
AUS,Austria,ISTRIA,port,private_infrastructure,development,4
AUS,Austria,ISTRIA,tooling_workshop,light_industry,light_industry,3
AUS,Austria,ISTRIA,trade_center,trade,trade,3
AUS,Austria,ISTRIA,shipyard,ship_construction,light_industry,2
AUS,Austria,LOMBARDY,arms_industry,military_industry,heavy_industry,5
AUS,Austria,LOMBARDY,textile_mill,light_industry,light_industry,5
AUS,Austria,LOMBARDY,construction_sector,construction,development,3
AUS,Austria,LOMBARDY,government_administration,bureaucracy,development,3
AUS,Austria,LOMBARDY,vineyard,agriculture,agriculture,3
AUS,Austria,LOMBARDY,wheat_farm,staple_crops,agriculture,3
AUS,Austria,LOMBARDY,artillery_foundry,military_industry,heavy_industry,2
AUS,Austria,LOMBARDY,trade_center,trade,trade,1
AUS,Austria,MONTENEGRO,port,private_infrastructure,development,2
AUS,Austria,MORAVIA,food_industry,light_industry,light_industry,3
AUS,Austria,MORAVIA,logging_camp,logging,forestry,3
AUS,Austria,MORAVIA,textile_mill,light_industry,light_industry,3
AUS,Austria,MORAVIA,wheat_farm,staple_crops,agriculture,3
AUS,Austria,MORAVIA,coal_mine,mining,mine,2
AUS,Austria,MORAVIA,government_administration,bureaucracy,development,1
AUS,Austria,MORAVIA,vineyard,agriculture,agriculture,1
AUS,Austria,SLOVENIA,wheat_farm,staple_crops,agriculture,3
AUS,Austria,SLOVENIA,logging_camp,logging,forestry,2
AUS,Austria,SLOVENIA,livestock_ranch,ranching,agriculture,1
AUS,Austria,SOUTH_TYROL,vineyard,agriculture,agriculture,1
AUS,Austria,SOUTH_TYROL,wheat_farm,staple_crops,agriculture,1
AUS,Austria,STYRIA,iron_mine,mining,mine,2
AUS,Austria,STYRIA,lead_mine,mining,mine,2
AUS,Austria,STYRIA,livestock_ranch,ranching,agriculture,2
AUS,Austria,STYRIA,wheat_farm,staple_crops,agriculture,1
AUS,Austria,TYROL,gold_mine,mining,mine,2
AUS,Austria,TYROL,iron_mine,mining,mine,1
AUS,Austria,TYROL,livestock_ranch,ranching,agriculture,1
AUS,Austria,VENETIA,textile_mill,light_industry,light_industry,8
AUS,Austria,VENETIA,glassworks,light_industry,light_industry,5
AUS,Austria,VENETIA,paper_mill,light_industry,light_industry,5
AUS,Austria,VENETIA,silk_plantation,plantations,plantation,5
AUS,Austria,VENETIA,fishing_wharf,fishing,fishing,4
AUS,Austria,VENETIA,government_administration,bureaucracy,development,3
AUS,Austria,VENETIA,vineyard,agriculture,agriculture,3
AUS,Austria,VENETIA,naval_administration,naval_administration,development,2
AUS,Austria,VENETIA,port,private_infrastructure,development,2
AUS,Austria,VENETIA,wheat_farm,staple_crops,agriculture,2
AUS,Austria,VENETIA,trade_center,trade,trade,1
AUS,Austria,WEST_GALICIA,government_administration,bureaucracy,development,5
AUS,Austria,WEST_GALICIA,rye_farm,staple_crops,agriculture,2
AUS,Austria,WEST_GALICIA,iron_mine,mining,mine,1
AUS,Austria,WEST_GALICIA,livestock_ranch,ranching,agriculture,1
BAV,Bavaria,BAVARIA,wheat_farm,staple_crops,agriculture,10
BAV,Bavaria,BAVARIA,food_industry,light_industry,light_industry,3
BAV,Bavaria,BAVARIA,government_administration,bureaucracy,development,3
BAV,Bavaria,BAVARIA,logging_camp,logging,forestry,3
BAV,Bavaria,BAVARIA,livestock_ranch,ranching,agriculture,2
BAV,Bavaria,BAVARIA,university,technology,development,2
BAV,Bavaria,BAVARIA,construction_sector,construction,development,1
BAV,Bavaria,BAVARIA,glassworks,light_industry,light_industry,1
BAV,Bavaria,BAVARIA,iron_mine,mining,mine,1
BAV,Bavaria,BAVARIA,trade_center,trade,trade,1
BAV,Bavaria,FRANCONIA,wheat_farm,staple_crops,agriculture,8
BAV,Bavaria,FRANCONIA,furniture_manufactory,light_industry,light_industry,3
BAV,Bavaria,FRANCONIA,government_administration,bureaucracy,development,3
BAV,Bavaria,FRANCONIA,logging_camp,logging,forestry,3
BAV,Bavaria,FRANCONIA,art_academy,arts,development,1
BAV,Bavaria,FRANCONIA,livestock_ranch,ranching,agriculture,1
BAV,Bavaria,FRANCONIA,railway,private_infrastructure,development,1
BAV,Bavaria,FRANCONIA,textile_mill,light_industry,light_industry,1
BAV,Bavaria,FRANCONIA,vineyard,agriculture,agriculture,1
BAV,Bavaria,RHINELAND,livestock_ranch,ranching,agriculture,1
BAV,Bavaria,RHINELAND,vineyard,agriculture,agriculture,1
BAV,Bavaria,RHINELAND,wheat_farm,staple_crops,agriculture,1
BEL,Belgium,FLANDERS,naval_administration,naval_administration,development,15
BEL,Belgium,FLANDERS,trade_center,trade,trade,6
BEL,Belgium,FLANDERS,wheat_farm,staple_crops,agriculture,6
BEL,Belgium,FLANDERS,livestock_ranch,ranching,agriculture,5
BEL,Belgium,FLANDERS,logging_camp,logging,forestry,4
BEL,Belgium,FLANDERS,textile_mill,light_industry,light_industry,4
BEL,Belgium,FLANDERS,furniture_manufactory,light_industry,light_industry,3
BEL,Belgium,FLANDERS,government_administration,bureaucracy,development,3
BEL,Belgium,FLANDERS,port,private_infrastructure,development,3
BEL,Belgium,FLANDERS,food_industry,light_industry,light_industry,2
BEL,Belgium,FLANDERS,university,technology,development,2
BEL,Belgium,FLANDERS,arms_industry,military_industry,heavy_industry,1
BEL,Belgium,FLANDERS,construction_sector,construction,development,1
BEL,Belgium,FLANDERS,fishing_wharf,fishing,fishing,1
BEL,Belgium,FLANDERS,paper_mill,light_industry,light_industry,1
BEL,Belgium,FLANDERS,railway,private_infrastructure,development,1
BEL,Belgium,FLANDERS,shipyard,ship_construction,light_industry,1
BEL,Belgium,WALLONIA,wheat_farm,staple_crops,agriculture,7
BEL,Belgium,WALLONIA,iron_mine,mining,mine,6
BEL,Belgium,WALLONIA,coal_mine,mining,mine,5
BEL,Belgium,WALLONIA,logging_camp,logging,forestry,3
BEL,Belgium,WALLONIA,tooling_workshop,light_industry,light_industry,3
BEL,Belgium,WALLONIA,chemical_plant,heavy_industry,heavy_industry,2
BEL,Belgium,WALLONIA,steel_mill,heavy_industry,heavy_industry,2
BEL,Belgium,WALLONIA,sulfur_mine,mining,mine,2
BEL,Belgium,WALLONIA,trade_center,trade,trade,2
BEL,Belgium,WALLONIA,construction_sector,construction,development,1
BEL,Belgium,WALLONIA,explosives_factory,heavy_industry,heavy_industry,1
BEL,Belgium,WALLONIA,government_administration,bureaucracy,development,1
BEL,Belgium,WALLONIA,railway,private_infrastructure,development,1
BRZ,Brazil,BAHIA,coffee_plantation,plantations,plantation,6
BRZ,Brazil,BAHIA,maize_farm,staple_crops,agriculture,6
BRZ,Brazil,BAHIA,logging_camp,logging,forestry,4
BRZ,Brazil,BAHIA,banana_plantation,plantations,plantation,3
BRZ,Brazil,BAHIA,government_administration,bureaucracy,development,3
BRZ,Brazil,BAHIA,fishing_wharf,fishing,fishing,2
BRZ,Brazil,BAHIA,port,private_infrastructure,development,2
BRZ,Brazil,BAHIA,shipyard,ship_construction,light_industry,2
BRZ,Brazil,BAHIA,sugar_plantation,plantations,plantation,2
BRZ,Brazil,BAHIA,trade_center,trade,trade,2
BRZ,Brazil,BAHIA,construction_sector,construction,development,1
BRZ,Brazil,BAHIA,tooling_workshop,light_industry,light_industry,1
BRZ,Brazil,CEARA,logging_camp,logging,forestry,2
BRZ,Brazil,CEARA,maize_farm,staple_crops,agriculture,2
BRZ,Brazil,CEARA,cotton_plantation,plantations,plantation,1
BRZ,Brazil,CEARA,fishing_wharf,fishing,fishing,1
BRZ,Brazil,GOIAS,logging_camp,logging,forestry,1
BRZ,Brazil,GOIAS,rice_farm,staple_crops,agriculture,1
BRZ,Brazil,MARANHAO,banana_plantation,plantations,plantation,1
BRZ,Brazil,MARANHAO,logging_camp,logging,forestry,1
BRZ,Brazil,MARANHAO,rice_farm,staple_crops,agriculture,1
BRZ,Brazil,MATO_GROSSO,banana_plantation,plantations,plantation,1
BRZ,Brazil,MATO_GROSSO,logging_camp,logging,forestry,1
BRZ,Brazil,MATO_GROSSO,maize_farm,staple_crops,agriculture,1
BRZ,Brazil,MINAS_GERAIS,coffee_plantation,plantations,plantation,6
BRZ,Brazil,MINAS_GERAIS,logging_camp,logging,forestry,4
BRZ,Brazil,MINAS_GERAIS,maize_farm,staple_crops,agriculture,4
BRZ,Brazil,MINAS_GERAIS,gold_mine,mining,mine,2
BRZ,Brazil,MINAS_GERAIS,iron_mine,mining,mine,2
BRZ,Brazil,MINAS_GERAIS,banana_plantation,plantations,plantation,1
BRZ,Brazil,MINAS_GERAIS,government_administration,bureaucracy,development,1
BRZ,Brazil,MINAS_GERAIS,livestock_ranch,ranching,agriculture,1
BRZ,Brazil,MINAS_GERAIS,tooling_workshop,light_industry,light_industry,1
BRZ,Brazil,PARAIBA,maize_farm,staple_crops,agriculture,1
BRZ,Brazil,PARAIBA,textile_mill,light_industry,light_industry,1
BRZ,Brazil,PARAIBA,tobacco_plantation,plantations,plantation,1
BRZ,Brazil,PARANA,maize_farm,staple_crops,agriculture,2
BRZ,Brazil,PARANA,banana_plantation,plantations,plantation,1
BRZ,Brazil,PARANA,logging_camp,logging,forestry,1
BRZ,Brazil,PERNAMBUCO,cotton_plantation,plantations,plantation,5
BRZ,Brazil,PERNAMBUCO,maize_farm,staple_crops,agriculture,4
BRZ,Brazil,PERNAMBUCO,textile_mill,light_industry,light_industry,3
BRZ,Brazil,PERNAMBUCO,sugar_plantation,plantations,plantation,2
BRZ,Brazil,PERNAMBUCO,banana_plantation,plantations,plantation,1
BRZ,Brazil,PERNAMBUCO,government_administration,bureaucracy,development,1
BRZ,Brazil,PERNAMBUCO,port,private_infrastructure,development,1
BRZ,Brazil,PERNAMBUCO,tobacco_plantation,plantations,plantation,1
BRZ,Brazil,PERNAMBUCO,trade_center,trade,trade,1
BRZ,Brazil,PERNAMBUCO,university,technology,development,1
BRZ,Brazil,PIAUI,logging_camp,logging,forestry,1
BRZ,Brazil,PIAUI,maize_farm,staple_crops,agriculture,1
BRZ,Brazil,RIO_DE_JANEIRO,naval_administration,naval_administration,development,10
BRZ,Brazil,RIO_DE_JANEIRO,maize_farm,staple_crops,agriculture,6
BRZ,Brazil,RIO_DE_JANEIRO,government_administration,bureaucracy,development,5
BRZ,Brazil,RIO_DE_JANEIRO,trade_center,trade,trade,5
BRZ,Brazil,RIO_DE_JANEIRO,port,private_infrastructure,development,4
BRZ,Brazil,RIO_DE_JANEIRO,banana_plantation,plantations,plantation,3
BRZ,Brazil,RIO_DE_JANEIRO,coffee_plantation,plantations,plantation,2
BRZ,Brazil,RIO_DE_JANEIRO,fishing_wharf,fishing,fishing,2
BRZ,Brazil,RIO_DE_JANEIRO,paper_mill,light_industry,light_industry,2
BRZ,Brazil,RIO_DE_JANEIRO,sugar_plantation,plantations,plantation,2
BRZ,Brazil,RIO_DE_JANEIRO,university,technology,development,2
BRZ,Brazil,RIO_DE_JANEIRO,construction_sector,construction,development,1
BRZ,Brazil,RIO_DE_JANEIRO,furniture_manufactory,light_industry,light_industry,1
BRZ,Brazil,RIO_GRANDE_DO_NORTE,fishing_wharf,fishing,fishing,1
BRZ,Brazil,RIO_GRANDE_DO_NORTE,logging_camp,logging,forestry,1
BRZ,Brazil,RIO_GRANDE_DO_NORTE,maize_farm,staple_crops,agriculture,1
BRZ,Brazil,SANTA_CATARINA,logging_camp,logging,forestry,1
BRZ,Brazil,SANTA_CATARINA,maize_farm,staple_crops,agriculture,1
BRZ,Brazil,SAO_PAULO,coffee_plantation,plantations,plantation,5
BRZ,Brazil,SAO_PAULO,maize_farm,staple_crops,agriculture,4
BRZ,Brazil,SAO_PAULO,livestock_ranch,ranching,agriculture,2
BRZ,Brazil,SAO_PAULO,paper_mill,light_industry,light_industry,2
BRZ,Brazil,SAO_PAULO,arms_industry,military_industry,heavy_industry,1
BRZ,Brazil,SAO_PAULO,logging_camp,logging,forestry,1
BRZ,Brazil,SAO_PAULO,sugar_plantation,plantations,plantation,1
BRZ,Brazil,SAO_PAULO,trade_center,trade,trade,1
BRZ,Brazil,SAO_PAULO,university,technology,development,1
BUR,Burma,KACHIN,livestock_ranch,ranching,agriculture,1
BUR,Burma,KACHIN,rice_farm,staple_crops,agriculture,1
BUR,Burma,MANDALAY,government_administration,bureaucracy,development,2
BUR,Burma,MANDALAY,rice_farm,staple_crops,agriculture,2
BUR,Burma,MANDALAY,livestock_ranch,ranching,agriculture,1
BUR,Burma,MANDALAY,tea_plantation,plantations,plantation,1
BUR,Burma,PEGU,fishing_wharf,fishing,fishing,2
BUR,Burma,PEGU,port,private_infrastructure,development,2
BUR,Burma,PEGU,tobacco_plantation,plantations,plantation,2
BUR,Burma,PEGU,rice_farm,staple_crops,agriculture,1
BUR,Burma,SHAN_STATES,opium_plantation,plantations,plantation,1
CHI,China,ALXA,livestock_ranch,ranching,agriculture,2
CHI,China,ALXA,wheat_farm,staple_crops,agriculture,2
CHI,China,BEIJING,government_administration,bureaucracy,development,16
CHI,China,BEIJING,furniture_manufactory,light_industry,light_industry,5
CHI,China,BEIJING,arms_industry,military_industry,heavy_industry,4
CHI,China,BEIJING,tooling_workshop,light_industry,light_industry,4
CHI,China,BEIJING,construction_sector,construction,development,3
CHI,China,BEIJING,wheat_farm,staple_crops,agriculture,3
CHI,China,BEIJING,logging_camp,logging,forestry,2
CHI,China,BEIJING,naval_fortification,naval_fortification,development,1
CHI,China,BEIJING,forbidden_city,monuments,special,0
CHI,China,CHONGQING,silk_plantation,plantations,plantation,10
CHI,China,CHONGQING,tea_plantation,plantations,plantation,10
CHI,China,CHONGQING,government_administration,bureaucracy,development,9
CHI,China,CHONGQING,paper_mill,light_industry,light_industry,4
CHI,China,DZUNGARIA,livestock_ranch,ranching,agriculture,2
CHI,China,EASTERN_HUBEI,silk_plantation,plantations,plantation,10
CHI,China,EASTERN_HUBEI,paper_mill,light_industry,light_industry,9
CHI,China,EASTERN_HUBEI,furniture_manufactory,light_industry,light_industry,8
CHI,China,EASTERN_HUBEI,government_administration,bureaucracy,development,6
CHI,China,EASTERN_HUBEI,tea_plantation,plantations,plantation,6
CHI,China,EASTERN_HUBEI,rice_farm,staple_crops,agriculture,4
CHI,China,FORMOSA,banana_plantation,plantations,plantation,5
CHI,China,FORMOSA,fishing_wharf,fishing,fishing,5
CHI,China,FORMOSA,tea_plantation,plantations,plantation,3
CHI,China,FORMOSA,port,private_infrastructure,development,1
CHI,China,FUJIAN,dye_plantation,plantations,plantation,10
CHI,China,FUJIAN,silk_plantation,plantations,plantation,10
CHI,China,FUJIAN,government_administration,bureaucracy,development,8
CHI,China,FUJIAN,rice_farm,staple_crops,agriculture,5
CHI,China,FUJIAN,fishing_wharf,fishing,fishing,4
CHI,China,FUJIAN,naval_administration,naval_administration,development,4
CHI,China,FUJIAN,tea_plantation,plantations,plantation,3
CHI,China,GANSU,livestock_ranch,ranching,agriculture,6
CHI,China,GUANGDONG,trade_center,trade,trade,40
CHI,China,GUANGDONG,silk_plantation,plantations,plantation,20
CHI,China,GUANGDONG,port,private_infrastructure,development,15
CHI,China,GUANGDONG,dye_plantation,plantations,plantation,12
CHI,China,GUANGDONG,tea_plantation,plantations,plantation,10
CHI,China,GUANGDONG,government_administration,bureaucracy,development,9
CHI,China,GUANGDONG,rice_farm,staple_crops,agriculture,8
CHI,China,GUANGDONG,banana_plantation,plantations,plantation,7
CHI,China,GUANGDONG,fishing_wharf,fishing,fishing,5
CHI,China,GUANGDONG,shipyard,ship_construction,light_industry,3
CHI,China,GUANGDONG,naval_fortification,naval_fortification,development,1
CHI,China,GUANGXI,silk_plantation,plantations,plantation,16
CHI,China,GUANGXI,dye_plantation,plantations,plantation,10
CHI,China,GUANGXI,banana_plantation,plantations,plantation,8
CHI,China,GUANGXI,tea_plantation,plantations,plantation,8
CHI,China,GUANGXI,government_administration,bureaucracy,development,7
CHI,China,GUANGXI,rice_farm,staple_crops,agriculture,7
CHI,China,GUIZHOU,government_administration,bureaucracy,development,9
CHI,China,GUIZHOU,dye_plantation,plantations,plantation,8
CHI,China,GUIZHOU,glassworks,light_industry,light_industry,8
CHI,China,GUIZHOU,furniture_manufactory,light_industry,light_industry,7
CHI,China,GUIZHOU,logging_camp,logging,forestry,6
CHI,China,GUIZHOU,opium_plantation,plantations,plantation,5
CHI,China,GUIZHOU,tea_plantation,plantations,plantation,4
CHI,China,HENAN,government_administration,bureaucracy,development,12
CHI,China,HENAN,tea_plantation,plantations,plantation,12
CHI,China,HENAN,glassworks,light_industry,light_industry,6
CHI,China,HENAN,construction_sector,construction,development,1
CHI,China,HINGGAN,livestock_ranch,ranching,agriculture,1
CHI,China,HUNAN,logging_camp,logging,forestry,8
CHI,China,HUNAN,tea_plantation,plantations,plantation,8
CHI,China,HUNAN,rice_farm,staple_crops,agriculture,6
CHI,China,HUNAN,government_administration,bureaucracy,development,4
CHI,China,JETISY,logging_camp,logging,forestry,1
CHI,China,JETISY,wheat_farm,staple_crops,agriculture,1
CHI,China,JIANGSU,tea_plantation,plantations,plantation,15
CHI,China,JIANGSU,government_administration,bureaucracy,development,9
CHI,China,JIANGSU,rice_farm,staple_crops,agriculture,8
CHI,China,JIANGSU,glassworks,light_industry,light_industry,5
CHI,China,JIANGXI,tea_plantation,plantations,plantation,17
CHI,China,JIANGXI,silk_plantation,plantations,plantation,10
CHI,China,JIANGXI,government_administration,bureaucracy,development,8
CHI,China,JIANGXI,glassworks,light_industry,light_industry,5
CHI,China,JIANGXI,rice_farm,staple_crops,agriculture,5
CHI,China,KIRGHIZIA,wheat_farm,staple_crops,agriculture,1
CHI,China,NANJING,government_administration,bureaucracy,development,13
CHI,China,NANJING,glassworks,light_industry,light_industry,10
CHI,China,NANJING,tea_plantation,plantations,plantation,10
CHI,China,NANJING,rice_farm,staple_crops,agriculture,5
CHI,China,NANJING,construction_sector,construction,development,2
CHI,China,NINGXIA,government_administration,bureaucracy,development,4
CHI,China,NINGXIA,tea_plantation,plantations,plantation,3
CHI,China,NORTHERN_ANHUI,tea_plantation,plantations,plantation,15
CHI,China,NORTHERN_ANHUI,government_administration,bureaucracy,development,7
CHI,China,NORTHERN_ANHUI,rice_farm,staple_crops,agriculture,6
CHI,China,NORTHERN_MANCHURIA,logging_camp,logging,forestry,8
CHI,China,NORTHERN_MANCHURIA,livestock_ranch,ranching,agriculture,2
CHI,China,QINGHAI,livestock_ranch,ranching,agriculture,5
CHI,China,SHANDONG,glassworks,light_industry,light_industry,10
CHI,China,SHANDONG,textile_mill,light_industry,light_industry,8
CHI,China,SHANDONG,fishing_wharf,fishing,fishing,6
CHI,China,SHANDONG,government_administration,bureaucracy,development,6
CHI,China,SHANDONG,tea_plantation,plantations,plantation,3
CHI,China,SHANDONG,wheat_farm,staple_crops,agriculture,3
CHI,China,SHANDONG,port,private_infrastructure,development,1
CHI,China,SHANXI,wheat_farm,staple_crops,agriculture,7
CHI,China,SHANXI,government_administration,bureaucracy,development,6
CHI,China,SHAOZHOU,silk_plantation,plantations,plantation,10
CHI,China,SHAOZHOU,rice_farm,staple_crops,agriculture,8
CHI,China,SHAOZHOU,dye_plantation,plantations,plantation,6
CHI,China,SHAOZHOU,government_administration,bureaucracy,development,6
CHI,China,SHAOZHOU,tea_plantation,plantations,plantation,5
CHI,China,SHAOZHOU,iron_mine,mining,mine,1
CHI,China,SHAOZHOU,naval_fortification,naval_fortification,development,1
CHI,China,SHAOZHOU,port,private_infrastructure,development,1
CHI,China,SICHUAN,paper_mill,light_industry,light_industry,12
CHI,China,SICHUAN,logging_camp,logging,forestry,10
CHI,China,SICHUAN,government_administration,bureaucracy,development,8
CHI,China,SICHUAN,opium_plantation,plantations,plantation,6
CHI,China,SOUTHERN_ANHUI,rice_farm,staple_crops,agriculture,12
CHI,China,SOUTHERN_ANHUI,furniture_manufactory,light_industry,light_industry,10
CHI,China,SOUTHERN_ANHUI,tea_plantation,plantations,plantation,10
CHI,China,SOUTHERN_ANHUI,government_administration,bureaucracy,development,8
CHI,China,SOUTHERN_ANHUI,paper_mill,light_industry,light_industry,6
CHI,China,SOUTHERN_MANCHURIA,logging_camp,logging,forestry,9
CHI,China,SOUTHERN_MANCHURIA,government_administration,bureaucracy,development,4
CHI,China,SOUTHERN_MANCHURIA,iron_mine,mining,mine,4
CHI,China,SOUTHERN_MANCHURIA,livestock_ranch,ranching,agriculture,3
CHI,China,SUZHOU,government_administration,bureaucracy,development,12
CHI,China,SUZHOU,tea_plantation,plantations,plantation,12
CHI,China,SUZHOU,paper_mill,light_industry,light_industry,7
CHI,China,SUZHOU,fishing_wharf,fishing,fishing,4
CHI,China,SUZHOU,naval_fortification,naval_fortification,development,1
CHI,China,SUZHOU,port,private_infrastructure,development,1
CHI,China,TIANSHAN,livestock_ranch,ranching,agriculture,2
CHI,China,ULIASTAI,livestock_ranch,ranching,agriculture,3
CHI,China,URGA,livestock_ranch,ranching,agriculture,5
CHI,China,URGA,wheat_farm,staple_crops,agriculture,3
CHI,China,WESTERN_HUBEI,furniture_manufactory,light_industry,light_industry,10
CHI,China,WESTERN_HUBEI,tea_plantation,plantations,plantation,10
CHI,China,WESTERN_HUBEI,paper_mill,light_industry,light_industry,9
CHI,China,WESTERN_HUBEI,government_administration,bureaucracy,development,6
CHI,China,WESTERN_HUBEI,rice_farm,staple_crops,agriculture,6
CHI,China,XIAN,tea_plantation,plantations,plantation,5
CHI,China,XIAN,government_administration,bureaucracy,development,3
CHI,China,YUNNAN,opium_plantation,plantations,plantation,10
CHI,China,YUNNAN,tea_plantation,plantations,plantation,10
CHI,China,YUNNAN,government_administration,bureaucracy,development,6
CHI,China,YUNNAN,logging_camp,logging,forestry,6
CHI,China,ZHEJIANG,tea_plantation,plantations,plantation,15
CHI,China,ZHEJIANG,textile_mill,light_industry,light_industry,8
CHI,China,ZHEJIANG,government_administration,bureaucracy,development,7
CHI,China,ZHEJIANG,rice_farm,staple_crops,agriculture,4
CHI,China,ZHEJIANG,fishing_wharf,fishing,fishing,3
CHI,China,ZHEJIANG,naval_fortification,naval_fortification,development,1
CHI,China,ZHILI,paper_mill,light_industry,light_industry,11
CHI,China,ZHILI,government_administration,bureaucracy,development,10
CHI,China,ZHILI,glassworks,light_industry,light_industry,6
CHI,China,ZHILI,wheat_farm,staple_crops,agriculture,4
CHI,China,ZHILI,iron_mine,mining,mine,2
CLM,Colombia,ANTIOQUIA,government_administration,bureaucracy,development,2
CLM,Colombia,ANTIOQUIA,tobacco_plantation,plantations,plantation,2
CLM,Colombia,ANTIOQUIA,trade_center,trade,trade,2
CLM,Colombia,ANTIOQUIA,fishing_wharf,fishing,fishing,1
CLM,Colombia,ANTIOQUIA,naval_fortification,naval_fortification,development,1
CLM,Colombia,ANTIOQUIA,port,private_infrastructure,development,1
CLM,Colombia,ANTIOQUIA,sugar_plantation,plantations,plantation,1
CLM,Colombia,CAUCA,coffee_plantation,plantations,plantation,2
CLM,Colombia,CAUCA,maize_farm,staple_crops,agriculture,2
CLM,Colombia,CAUCA,tobacco_plantation,plantations,plantation,2
CLM,Colombia,CUNDINAMARCA,cotton_plantation,plantations,plantation,2
CLM,Colombia,CUNDINAMARCA,government_administration,bureaucracy,development,2
CLM,Colombia,CUNDINAMARCA,logging_camp,logging,forestry,2
CLM,Colombia,CUNDINAMARCA,rice_farm,staple_crops,agriculture,2
CLM,Colombia,CUNDINAMARCA,furniture_manufactory,light_industry,light_industry,1
CLM,Colombia,CUNDINAMARCA,sugar_plantation,plantations,plantation,1
CLM,Colombia,CUNDINAMARCA,textile_mill,light_industry,light_industry,1
CLM,Colombia,GUAVIARE,government_administration,bureaucracy,development,1
CLM,Colombia,GUAVIARE,livestock_ranch,ranching,agriculture,1
CLM,Colombia,GUAVIARE,logging_camp,logging,forestry,1
CLM,Colombia,GUAVIARE,rice_farm,staple_crops,agriculture,1
CLM,Colombia,PANAMA,banana_plantation,plantations,plantation,1
CLM,Colombia,PANAMA,coffee_plantation,plantations,plantation,1
DAI,Dai Nam,ANNAM,barrack,army,development,20
DAI,Dai Nam,ANNAM,livestock_ranch,ranching,agriculture,3
DAI,Dai Nam,ANNAM,fishing_wharf,fishing,fishing,1
