state_region,total_pop,n_owners,owner_tags
STATE_UPPER_ANDALUSIA,1201926,2,GBR|SPA
STATE_CENTRAL_HUNGARY,1198988,1,HUN
STATE_JALISCO,1190161,1,MEX
STATE_BANAT,1189660,1,HUN
STATE_TARTARIA,1189294,1,RUS
STATE_NAKHON_RATCHASIMA,1182312,1,SIA
STATE_ZANZIBAR,1176200,1,OMA
STATE_YEMEN,1165600,5,HDJ|KAT|LAH|MAH|ZAI
STATE_CHAMPAGNE,1161945,1,FRA
STATE_MIDDLE_EGYPT,1157903,1,EGY
STATE_LORRAINE,1153101,1,FRA
STATE_BLUE_NILE,1149592,1,EGY
STATE_POMERANIA,1147800,1,PRU
STATE_THESSALIA,1131904,1,TUR
STATE_FEZ,1127204,1,MOR
STATE_SVEALAND,1114208,1,SWE
STATE_KAZAN,1109562,1,RUS
STATE_BEIRA,1106122,1,POR
STATE_SHAN_STATES,1096525,2,BUR|SHS
STATE_MANDALAY,1084946,2,BUR|KKI
STATE_KABUL,1078980,2,KAB|KAF
STATE_BALUCHISTAN,1075633,4,KAL|KAN|MAK|OMA
STATE_WEST_SWITZERLAND,1070964,1,SWI
STATE_CATALONIA,1050622,2,SPA|SPC
STATE_SOUTHERN_TRANSYLVANIA,1046596,1,TRS
STATE_NORTH_MADAGASCAR,1045104,1,MAD
STATE_GUINEA,1041701,5,FTJ|KBU|MDK|POR|SSU
STATE_HUDAVENDIGAR,1038367,1,TUR
STATE_VISAYAS,1033743,1,PHI
STATE_SMOLENSK,1029741,1,RUS
STATE_MARRAKECH,1029196,1,MOR
STATE_MAZANDARAN,1026936,1,PER
STATE_UZBEKIA,1024095,1,BUK
STATE_KUBAN,1020200,2,CIR|RUS
STATE_NORTHERN_TRANSYLVANIA,1015808,1,TRS
STATE_NORTH_RHINE,1015728,1,PRU
STATE_EQUATORIA,1007204,4,DFT|DNK|NUE|TPS
STATE_AYDIN,1003276,1,TUR
STATE_LESSER_POLAND,992197,1,RUS
STATE_MINDANAO,991156,4,MGD|MND|PHI|SUL
STATE_TOGO,988004,2,ASH|EWE
STATE_SENEGAL,984130,10,BND|CAY|DIO|FRA|FTR|JLF|KBU|POR|SIL|SRR
STATE_EASTERN_MALI,980100,1,MSN
STATE_INGRIA,976262,1,RUS
STATE_LOURENCO_MARQUES,973804,2,GZA|POR
STATE_WALES,973196,1,GBR
STATE_VALENCIA,965789,1,SPA
STATE_CHERSON,962860,1,RUS
STATE_CAMBODIA,960747,3,CAM|KLO|SIA
STATE_KHIVA,954775,3,KHI|KZH|TRM
STATE_BAJIO,950333,1,MEX
STATE_FRANCHE_COMTE,934927,1,FRA
STATE_ECUADOR,928725,1,ECU
STATE_CHIANG_MAI,924200,1,CMI
STATE_NORTH_CAMEROON,916592,2,BMM|SOK
STATE_TABRIZ,914086,1,PER
STATE_TRABZON,913612,1,TUR
STATE_SOUTH_MADAGASCAR,897800,1,MAD
STATE_HERAT,897586,1,HER
STATE_EAST_SWITZERLAND,895200,1,SWI
STATE_GELRE,892660,2,BEL|NET
STATE_NGARI,890000,1,TIB
STATE_CALABRIA,882848,1,SIC
STATE_ERZURUM,880846,1,TUR
STATE_EQUATEUR,877212,2,BNG|BOB
STATE_BAS_CONGO,876000,2,KON|YKA
STATE_BULGARIA,874408,1,TUR
STATE_KANDAHAR,868459,1,KAN
STATE_BOSNIA,864500,1,TUR
STATE_EAST_PRUSSIA,859792,1,PRU
STATE_HAITI,858270,1,HAI
STATE_LA_PAZ,856996,1,BOL
STATE_RUHR,856288,1,PRU
STATE_NORTHERN_THRACE,853608,1,TUR
STATE_MASSACHUSETTS,847280,1,USA
STATE_TRANSVAAL,841388,5,MTB|PDI|SWZ|TRN|VND
STATE_FERGANA,838759,1,KOK
STATE_LIBERIA,831861,3,KRU|LIB|MDK
STATE_CROATIA,827992,1,CRO
STATE_SCHLESWIG_HOLSTEIN,825404,3,HOL|LUB|SCH
STATE_NOVGOROD,820118,1,RUS
STATE_VIRGINIA,818796,1,USA
STATE_GOTALAND,809308,1,SWE
STATE_SOMALILAND,804396,4,GLD|ISQ|MJT|WSG
STATE_ROMAGNA,803600,1,PAP
STATE_KONYA,801714,1,TUR
STATE_WEST_PRUSSIA,797004,1,PRU
STATE_ESTREMADURA,791012,1,POR
STATE_MINSK,788027,1,RUS
STATE_ORAN,784777,2,FRA|MAS
STATE_PERM,777777,1,RUS
STATE_KASTAMONU,774816,1,TUR
STATE_TENNESSEE,772128,1,USA
STATE_BREST,771332,1,RUS
STATE_ELBE,769196,3,BRE|HAM|HAN
STATE_GOLD_COAST,767205,4,ASH|DEN|NET|SIL
STATE_DELVIDEK,761396,1,HUN
STATE_HIGHLANDS,751566,1,GBR
STATE_GALICH,746504,1,RUS
STATE_KENTUCKY,744376,1,USA
STATE_NORTH_CAROLINA,740144,1,USA
STATE_SKOPIA,736892,1,TUR
STATE_STYRIA,736796,1,AUS
STATE_UPPER_SILESIA,735861,1,PRU
STATE_ARAGON,734685,2,SPA|SPC
STATE_WESTERN_THRACE,732608,1,TUR
STATE_BAHIA,731500,1,BRZ
STATE_MINAS_GERAIS,729904,1,BRZ
STATE_VOLHYNIA,716846,1,RUS
STATE_KHORASAN,715822,1,PER
STATE_LAOS,712335,5,CHP|DAI|LUA|SCT|SIA
STATE_DIYARBAKIR,712235,1,TUR
STATE_NORTH_SUMATRA,708004,3,DEI|JMB|SAK
STATE_PERNAMBUCO,707769,1,BRZ
STATE_PSKOV,706885,1,RUS
STATE_TENASSERIM,706396,2,BIC|SIA
STATE_OUTER_HAUSALAND,698902,3,BOR|HAU|SOK
STATE_RIGA,686326,2,RUS|UBD
STATE_ISTRIA,680096,1,AUS
STATE_FRIESLAND,674072,1,NET
STATE_INDIANA,663508,1,USA
STATE_ABRUZZO,660448,1,SIC
STATE_SANTIAGO,656808,1,CHL
STATE_ZEALAND,656796,1,DEN
STATE_KENYA,643705,9,AJR|AUL|KKY|MBS|MJK|OMA|ORM|SKY|WTU
STATE_LEON,642921,1,SPA
STATE_KACHIN,638171,1,BUR
STATE_ATTICA,637592,1,GRE
STATE_BORNU,635988,1,BOR
STATE_KATANGA,634808,3,KZM|LBA|LND
STATE_ROSTOV,631680,1,RUS
STATE_MOGILEV,624822,1,RUS
STATE_INNER_MOROCCO,622125,2,MOR|TEK
STATE_YUCATAN,616968,1,MEX
STATE_DAHOMEY,609900,2,BRG|DAH
STATE_KAUNAS,607037,1,RUS
STATE_QUEBEC,604604,2,HBC|QUE
STATE_ALABAMA,600480,1,USA
STATE_GEORGIA,598574,1,USA
STATE_MOSUL,593804,1,TUR
STATE_ALEPPO,593000,1,EGY
STATE_WEST_INDIES,592443,5,DEN|FRA|GBR|NET|VNZ
STATE_SOUTH_ANGOLA,592100,4,HRO|OVB|OVM|POR
STATE_SOUTH_CAROLINA,588588,1,USA
STATE_EAST_ANGOLA,584792,4,CHK|KSN|LND|LZO
STATE_RIO_DE_JANEIRO,582808,1,BRZ
STATE_MECKLENBURG,579000,2,MEC|MST
STATE_NIGERIA,576308,1,SOK
STATE_LINDI,567904,3,GGO|HHE|SNG
STATE_TAJIKISTAN,567683,2,BUK|KOK
STATE_ACEH,561925,3,ACE|DEI|SAK
STATE_TYROL,559304,1,AUS
STATE_CELEBES,558926,4,BTN|DEI|SLW|TID
STATE_CHUVASHIA,555443,1,RUS
STATE_EXTREMADURA,552368,1,SPA
STATE_JUTLAND,548908,1,DEN
STATE_WESTERN_NORWAY,546800,1,NOR
STATE_BESSARABIA,544458,1,RUS
STATE_SYRIA,540200,1,EGY
STATE_FARS,538436,1,PER
STATE_UUSIMAA,538275,1,FIN
STATE_ANTIOQUIA,537812,1,CLM
STATE_EASTERN_SERBIA,535757,2,SER|TUR
STATE_CUNDINAMARCA,527600,1,CLM
STATE_KORDOFAN,524808,1,EGY
STATE_SARDINIA,524084,1,SAR
STATE_BASQUE_COUNTRY,523140,1,SPC
STATE_VILNIUS,522137,1,RUS
STATE_BRUNSWICK,520400,3,BRA|HAN|PRU
STATE_SCANIA,513060,1,SWE
STATE_WESTERN_SERBIA,512254,2,SER|TUR
STATE_TRIPOLI,512220,3,FZN|TRI|ZWY
STATE_AL_RIF,509191,2,MOR|SPA
STATE_CHELYABINSK,509133,3,KZH|OZH|RUS
STATE_STAVROPOL,508282,1,RUS
STATE_LIMA,504100,1,NPU
STATE_BAGHDAD,500994,1,TUR
STATE_ISFAHAN,499382,1,PER
STATE_SOUTH_TYROL,491000,1,AUS
STATE_SLOVENIA,485788,1,AUS
STATE_GUATEMALA,483612,2,GBR|UCA
STATE_OAXACA,479674,1,MEX
STATE_MOLUCCAS,477766,2,DEI|TID
STATE_KIRGHIZIA,476700,2,CHI|KOK
STATE_MURCIA,474306,1,SPA
STATE_NORTH_ANGOLA,473172,2,KON|POR
STATE_SAVOY,468800,1,SAR
STATE_COURLAND,467752,1,UBD
STATE_WINDWARD_COAST,464000,3,BLE|KBD|KRU
STATE_HEDJAZ,463100,1,HDJ
STATE_WESTERN_MALI,460000,2,KRT|SGU
STATE_ONTARIO,458992,2,HBC|ONT
STATE_KHUZESTAN,458498,1,ARB
STATE_ALENTEJO,457012,1,POR
STATE_ILLINOIS,456400,1,USA
STATE_CAPE_COLONY,451604,2,NAM|SAF
STATE_UMBRIA,451000,1,PAP
STATE_SYRDARYA,448350,4,KOK|KZH|OZH|UZH
STATE_IVORY_COAST,448012,4,AYI|BLE|FRA|KNG
STATE_MACEDONIA,446104,1,TUR
STATE_EAST_BORNEO,445292,4,BLG|BNJ|DEI|KTI
STATE_LIBYA,442524,3,TBI|TRI|ZWY
STATE_ASTURIAS,438563,1,SPA
STATE_WESTERN_NEW_GUINEA,435400,2,PPU|TID
STATE_ZULIA,431116,1,VNZ
STATE_SAN_SALVADOR,428204,1,UCA
STATE_BASRA,425904,1,TUR
STATE_ZAMBEZI,424000,3,MNC|MSH|MTP
STATE_TOBOLSK,417044,1,RUS
STATE_VITEBSK,410133,1,RUS
STATE_ZULULAND,409896,2,BST|ZUL
STATE_ICA,406708,2,IQU|SPU
STATE_WESTERN_CUBA,405470,1,CUB
STATE_KAZEMBE,403208,3,BMB|KZM|MRV
STATE_TURKMENIA,402274,2,KHI|TRM
STATE_PERSIAN_KURDISTAN,401370,1,PER
STATE_EASTERN_NEW_GUINEA,400102,1,PPU
STATE_DALMATIA,397800,1,AUS
STATE_MAINE,397228,1,USA
STATE_UPPER_EGYPT,391745,1,EGY
STATE_EASTERN_HIMALAYAS,390938,3,BHU|SIK|TIB
STATE_HONDURAS,388204,1,UCA
STATE_JAMAICA,381636,1,GBR
STATE_NORTH_CAUCASUS,379178,3,CHC|CIR|RUS
STATE_LEBANON,378000,1,EGY
STATE_URAL,377804,1,RUS
STATE_BUKOVINA,372410,1,AUS
STATE_DAGESTAN,371129,2,CHC|RUS
STATE_TIMBUKTU,370796,6,ADG|ADR|ATR|MSN|OUA|RGB
STATE_PALESTINE,370500,1,EGY
STATE_TIANSHAN,370200,1,CHI
STATE_WEST_BORNEO,370060,5,DEI|LAN|PON|SMB|STG
STATE_UFA,369535,1,RUS
STATE_ADANA,368409,2,EGY|TUR
STATE_MISSOURI,367508,1,USA
STATE_SLAVONIA,366228,1,CRO
STATE_DONGOLA,364004,1,EGY
STATE_TOMSK,361800,1,RUS
STATE_URMIA,360941,1,PER
STATE_MIRANDA,359124,1,VNZ
STATE_MARYLAND,359005,1,USA
STATE_CHAD,355964,3,BOR|TBI|WAD
STATE_UBANGI_SHARI,355400,2,DAK|ZND
STATE_WADDAI,354992,3,BGI|BOR|WAD
STATE_EASTERN_NORWAY,352800,1,NOR
STATE_RIFT_VALLEY,351600,3,LUO|MSI|TRK
STATE_NICARAGUA,350000,2,MKT|UCA
STATE_NEW_JERSEY,347192,1,USA
STATE_RUTHENIA,342154,1,HUN
STATE_URGA,340996,1,CHI
STATE_MAURITANIA,337811,6,ADR|BRK|DLM|FTR|OUA|TRZ
STATE_NORTHERN_NORWAY,337260,1,NOR
STATE_SAO_PAULO,334077,1,BRZ
STATE_NORRLAND,327400,1,SWE
STATE_LURISTAN,325202,1,PER
STATE_NEW_BRUNSWICK,322432,2,NBS|NVS
STATE_GABON,316000,2,FNG|LNG
STATE_MONTENEGRO,314120,3,AUS|MON|TUR
STATE_ZACATECAS,313308,1,MEX
STATE_TALINN,312840,1,UBD
STATE_TARTU,311221,1,UBD
STATE_RYUKYU_ISLANDS,310946,2,JAP|RYU
STATE_KOSOVO,308893,1,TUR
STATE_CAJAMARCA,306500,1,NPU
STATE_KUOPIO,302939,1,FIN
STATE_PARA,302538,1,PRA
STATE_LOUISIANA,294684,1,USA
STATE_PUERTO_RICO,294668,1,PCO
STATE_QUETTA,291926,2,KAB|KAN
STATE_AZERBAIJAN,285283,1,RUS
STATE_CAUCA,284400,1,CLM
STATE_ULIASTAI,283623,1,CHI
STATE_VERMONT,282848,1,USA
STATE_CENTRAL_CUBA,281918,1,CUB
STATE_NORTHERN_CAPE,281004,4,SAF|SAN|TSW|WBL
STATE_NEW_HAMPSHIRE,279300,1,USA
STATE_AREQUIPA,277400,1,SPU
STATE_BUENOS_AIRES,272600,2,ARG|PAT
STATE_EASTERN_CAPE,268396,2,SAF|XHO
STATE_NORTH_BORNEO,265523,3,BLG|BRU|SUL
STATE_BALKH,265203,3,BUK|KUN|MAI
STATE_ASTRAKHAN,264795,1,RUS
STATE_IRKUTSK,261360,1,RUS
STATE_MISSISSIPPI,260804,1,USA
STATE_ELIZAVETPOL,260795,1,RUS
STATE_DEIR_EZ_ZOR,254096,1,TUR
STATE_DOBRUDJA,253608,2,RUS|TUR
STATE_ARMENIA,252964,1,RUS
STATE_LOS_RIOS,252892,1,CHL
STATE_MERZ,252829,3,BUK|KHI|TRM
STATE_VERACRUZ,251061,1,MEX
STATE_BAJO_PARAGUAY,249886,1,PRG
STATE_WEST_KARELIA,249000,1,FIN
STATE_SEMIRECHE,242674,1,OZH
STATE_DZUNGARIA,240200,1,CHI
STATE_ARKHANGELSK,238520,1,RUS
STATE_DARFUR,235992,1,DFR
STATE_URALSK,235238,3,KZH|RUS|TRM
STATE_OMAN,234000,1,OMA
STATE_GUERRERO,231320,1,MEX
STATE_BALEARIC_ISLANDS,231268,1,SPA
STATE_CANARY_ISLANDS,231268,1,SPA
STATE_KERMAN,227689,1,PER
STATE_RIO_GRANDE,224503,1,MEX
STATE_PELOPONNESE,221996,1,GRE
STATE_ERITREA,219960,2,AWS|EGY
STATE_EASTERN_CUBA,217390,1,CUB
STATE_ARAKAN,214204,2,BIC|KKI
STATE_NEW_SOUTH_WALES,213288,7,KLN|KNC|KRI|NSW|PAA|WDJ|YUR
STATE_CEARA,211451,1,BRZ
STATE_AZORES,210532,1,POR
STATE_INDIAN_OCEAN_TERRITORY,209392,2,FRA|GBR
STATE_CRIMEA,209258,1,RUS
STATE_WEST_VIRGINIA,208805,1,USA
STATE_CORSICA,207889,1,FRA
STATE_RIO_GRANDE_DO_SUL,202943,1,PNI
STATE_OSTROBOTHNIA,202000,1,FIN
STATE_CONNECTICUT,199228,1,USA
STATE_BOLIVAR,198162,1,VNZ
STATE_KRASNOYARSK,196440,1,RUS
STATE_TRANS_BAIKAL,195147,1,RUS
STATE_HEREROLAND,193436,3,HRO|OVB|SAN
STATE_HAWAIIAN_ISLANDS,192104,1,HAW
STATE_KARS,189700,2,RUS|TUR
STATE_IONIAN_ISLANDS,188420,1,ION
STATE_GUAYANA,180008,3,FRA|GBR|NET
STATE_LA_PAMPA,176000,1,ARG
STATE_BURYATIA,175587,1,RUS
STATE_SANTA_CRUZ,171000,1,BOL
STATE_TAHITI,169564,1,PLY
STATE_EAST_KARELIA,169012,1,RUS
STATE_CENTRAL_HIGHLANDS,168485,3,HER|KAB|KAN
STATE_AKMOLINSK,167532,2,OZH|RUS
STATE_CHIHUAHUA,163895,1,MEX
STATE_POTOSI,159996,1,BOL
STATE_DURANGO,156999,1,MEX
STATE_SIERRA_LEONE,156396,3,MDK|SIL|TMN
STATE_CORRIENTES,156192,1,ARG
STATE_CONGO,152400,3,BOB|LNG|TKE
STATE_MICHIGAN,152000,1,USA
STATE_SISTAN,148944,3,KAN|MAK|OMA
STATE_CYPRUS,148665,1,TUR
STATE_MARANHAO,148249,1,BRZ
STATE_YAKUTSK,146758,1,RUS
STATE_CHIAPAS,146677,2,MEX|UCA
STATE_NIGER,145200,4,AIR|AJJ|DIN|TBI
STATE_MATO_GROSSO,142492,3,BOL|BRZ|PRG
STATE_CRETE,139992,1,EGY
STATE_URUGUAY,139866,1,URU
STATE_PARAIBA,135764,1,BRZ
STATE_SINALOA,134941,1,MEX
STATE_JETISY,133642,1,CHI
STATE_SOUTH_AUSTRALIA,132839,8,KAU|KLN|KNC|MRN|PAA|SAS|WTI|YUR
STATE_SOUTH_SUMATRA,132694,1,DEI
STATE_SANTO_DOMINGO,131530,1,HAI
STATE_ZAMBIA,128492,2,BMB|LZO
STATE_GUAVIARE,128392,1,CLM
STATE_PANAMA,128192,1,CLM
STATE_AKTOBE,127701,1,KZH
STATE_KALMYKIA,125762,1,RUS
STATE_OULU,125000,1,FIN
STATE_NEJD,122996,1,NEJ
STATE_DISTRICT_OF_COLUMBIA,121625,1,USA
STATE_MALTA,119984,1,GBR
STATE_BAHAMAS,119600,1,GBR
STATE_HAIL,118736,2,JAB|NEJ
STATE_WESTERN_AUSTRALIA,117902,8,KTU|KYN|MRN|NNG|NYP|WAS|WRR|WTI
STATE_SONORA,112724,1,MEX
STATE_ANTOFAGASTA,112196,1,BOL
STATE_LARISTAN,110989,3,BHN|OMA|PER
STATE_MADEIRA,110202,1,POR
STATE_EAST_SAHARA,107404,5,ADG|AHG|AJJ|CMB|TUG
STATE_RHODE_ISLAND,104820,1,USA
STATE_NORTHERN_TERRITORY,104599,10,ARH|ARR|GRW|KNC|LRR|NSW|NYP|WRR|WTI|YGU
STATE_SANTA_FE,104008,2,ARG|GNI
STATE_VRYSTAAT,101600,3,BST|ORA|PHL
STATE_VICTORIA,98715,3,KLN|KRI|NSW
