tag,country,rank,gdp_proxy,pop,homeland_states,total_states,provinces
RWD,Rwanda,140,6,511996,1,1,4
GAR,GAR,141,0,511956,1,2,8
TRM,TRM,142,0,510125,2,4,142
MND,MND,143,0,506235,1,1,11
MEC,Mecklenburg,144,4,493998,1,1,5
HDY,HDY,145,13,488800,1,1,4
SUR,SUR,146,0,482410,1,1,7
PAR,Parma,147,5,472004,1,1,2
BRD,Burundi,148,6,468004,1,1,3
KZM,Kazembe,149,0,468004,2,2,67
MNB,Mangbetu,150,0,468000,1,1,67
ZND,Azande,151,0,461512,2,2,50
OZH,Orta Zhuz,152,3,459420,3,4,411
ARB,ARB,153,3,458498,1,1,10
KFA,Kaffa,154,15,450656,1,1,10
SLW,Sulawesi,155,0,449196,1,1,26
LND,Lunda,156,0,448796,2,2,38
KRU,Kru,157,0,442135,2,2,16
JOH,Johore,158,12,438004,1,1,9
BRN,Borana,159,0,432604,1,1,19
FTJ,Futa Jallon,160,11,421360,1,1,16
ONT,Ontario,161,14,410796,1,1,94
HOL,Holstein,162,7,404604,1,1,3
WLG,Welega,163,7,403604,1,1,12
MNP,Manipur,164,0,403584,1,1,5
DAH,Dahomey,165,9,402812,1,1,6
NAS,Nassau,166,3,402404,1,1,2
HAU,Gobir,167,13,400137,1,1,17
OGD,OGD,168,0,388483,1,1,35
EWE,Ewe,169,0,383996,1,1,4
BIK,Bikaner,170,0,377748,1,1,13
LIB,Liberia,171,4,377210,1,1,4
KNO,KNO,172,0,367135,1,1,2
HHE,Hehe,173,0,363904,1,1,54
MJT,Majerteen,174,9,363440,1,1,40
HAR,Harar,175,17,361610,1,1,35
LAD,Ladakh,176,1,361588,1,1,27
PRA,PRA,177,5,356583,1,2,512
ACE,Aceh,178,7,354107,1,1,11
JHN,JHN,179,1,353646,1,1,4
YKA,Yaka,180,0,348000,1,1,34
KNG,Kong,181,0,344008,2,2,28
DFT,Dar Fertit,182,0,342840,1,1,32
JUN,JUN,183,1,342028,1,1,3
DNK,Dinka,184,0,340360,1,1,41
SSU,Susu,185,0,340000,1,1,9
SCH,Schleswig,186,5,336404,1,1,4
HMB,Hemba,187,0,336000,1,1,11
MNC,Manica,188,0,330000,2,2,16
WAD,Wadai,189,12,320060,2,2,97
PDI,PDI,190,0,320000,1,1,11
KOT,KOT,191,0,318026,1,1,3
LUA,Luang Prabang,192,10,315473,1,1,18
BHO,Bhopal,193,5,310802,1,1,2
CHC,Chechnya,194,4,310309,1,2,10
TID,Tidore,195,12,310179,2,3,41
KKY,Kikuyu,196,0,308304,1,1,6
MTB,MTB,197,0,307800,1,1,28
DAK,Dar al Kuti,198,0,303400,1,1,91
ZUL,Zulu,199,23,301900,1,1,22
BHV,BHV,200,2,297998,1,1,3
BOB,Bobangi,201,0,296212,2,2,49
PCO,Puerto Rico,202,7,294668,1,1,2
MGD,Maguindanao,203,6,292135,1,1,5
AIT,AIT,204,7,289848,1,1,8
CHT,CHT,205,0,285154,0,2,18
SIL,Sierra Leone,206,3,284893,0,4,5
PRG,Paraguay,207,11,280586,2,2,42
NSW,New South Wales,208,12,265471,5,5,77
ARS,ARS,209,8,265200,1,1,5
KUT,Kutch,210,2,265073,1,1,7
HBC,Hudson's Bay Company,211,4,258827,8,9,3527
OLD,Oldenburg,212,3,257696,1,1,3
WLT,WLT,213,4,248600,1,1,2
BRG,BRG,214,5,247088,2,2,23
BNY,Bunyoro,215,3,246000,1,1,8
HRO,Herero,216,0,245996,1,2,62
MYB,MYB,217,1,245800,1,1,6
JEY,JEY,218,1,244520,0,1,7
NUE,Nuer,219,0,244004,1,1,18
COO,COO,220,0,243388,1,1,1
ANK,Ankole,221,3,242000,1,1,3
PUD,PUD,222,0,241668,1,1,1
KRT,Kaarta,223,11,240000,1,1,20
LGA,Lega,224,0,240000,1,1,15
SEL,Selangor,225,6,238000,1,1,3
SKM,Usukuma,226,0,237996,1,1,12
DFR,Darfur,227,6,235992,1,1,96
WEI,Saxe-Weimar,228,7,233840,1,1,1
NAW,NAW,229,1,233775,1,1,6
IDA,IDA,230,0,232412,1,1,5
BHW,BHW,231,1,229287,1,1,10
LNG,Loango,232,0,228400,2,2,26
KRA,Krakow,233,7,224400,1,1,2
BRA,Brunswick,234,2,224400,1,1,2
GLD,Geledi,235,7,222280,1,1,46
SGU,Segou,236,11,220000,1,1,22
OVM,Ovimbundu,237,0,215996,1,1,35
BRU,Brunei,238,4,212392,1,1,30
BMB,Bemba,239,0,211344,1,2,47
ACH,Acholi,240,0,208800,1,1,14
CHK,Chokwe,241,0,208200,1,1,90
MSK,Maseko,242,0,207396,0,1,10
BND,Bundu,243,0,204400,1,1,8
TSW,Tswana,244,0,204004,2,2,84
PNI,Piratini,245,6,202943,1,1,60
NVS,Nova Scotia,246,6,201572,1,1,18
TRK,Turkana,247,0,201196,1,1,11
MSH,Mashona,248,0,200000,1,1,60
UZH,Uly Zhuz,249,0,196745,1,1,41
ANH,Anhalt,250,2,196008,1,1,2
NEJ,Nejd,251,8,195836,2,2,195
MTP,MTP,252,0,195000,2,2,17
RYU,RYU,253,3,193495,1,1,2
HAW,Hawaii,254,7,192104,1,1,3
ION,Ionian Islands,255,4,188420,1,1,2
FTR,Futa Toro,256,11,180400,1,2,9
SUL,Sulu,257,6,178761,1,3,10
LUX,Luxembourg,258,2,176770,1,1,1
FZN,FZN,259,1,174000,1,2,80
PLY,Tahiti,260,3,169564,1,1,25
KTI,Kutai,261,3,165000,1,1,21
KSN,Kasanje,262,0,164196,1,1,30
TBI,TBI,263,0,163904,3,4,288
SDM,Sidamo,264,4,163000,1,1,4
BLE,Baule,265,0,162196,2,2,9
BNJ,Banjar,266,8,159592,1,1,21
COB,Saxe-Coburg-Gotha,267,4,156537,1,1,1
BHU,Bhutan,268,2,156400,1,1,9
XHO,Xhosa,269,0,152200,1,1,17
HAM,Hamburg,270,6,150404,1,1,2
PTN,PTN,271,0,148024,1,1,8
PLP,PLP,272,0,147520,1,1,1
PRK,Perak,273,6,147000,1,1,5
CHP,CHP,274,3,142216,1,1,9
BGI,Bagirmi,275,2,139992,1,1,20
URU,Uruguay,276,6,139866,1,1,44
KUN,KUN,277,2,139270,1,1,23
OUA,Tagant,278,0,135521,2,3,78
MEI,Saxe-Meiningen,279,4,135312,1,1,2
BST,BST,280,9,135096,2,2,13
LZO,Barotse,281,0,130916,2,3,96
ISQ,Isaaq,282,4,128000,1,1,20
TRZ,Trarza,283,0,124000,1,1,23
NGA,NGA,284,0,123919,1,1,11
KRG,Karagwe,285,2,123600,1,1,6
BMM,BMM,286,0,122420,1,1,15
NBS,New Brunswick,287,6,120860,1,1,22
MON,Montenegro,288,3,120396,1,1,1
PON,Pontianak,289,7,115200,1,1,9
JLF,Jolof,290,0,113600,1,1,8
FRM,Frankfurt,291,2,112872,1,1,1
BLG,Bulungan,292,2,112300,2,2,17
SNG,Sangu,293,0,112000,1,1,13
SCW,Schwarzburg,294,5,111832,1,1,1
KBD,Kabadougou,295,0,109800,1,1,15
DHA,DHA,296,0,109760,1,1,2
LUC,Lucca,297,5,108408,1,1,1
LUO,Luo,298,0,108404,1,1,2
AIR,Kel Air,299,0,106200,1,1,82
BRE,Bremen,300,4,106004,1,1,2
OMO,OMO,301,0,106000,1,1,8
LKT,Lakota,302,0,106000,5,6,156
PAT,Mapuche,303,0,100000,3,3,195
AWS,Aussa,304,4,95554,2,2,8
JMB,Jambi,305,7,92985,1,1,8
SRR,Serer,306,0,92400,1,1,7
GGO,Gogo,307,0,92000,1,1,11
VNT,Vanuatu,308,0,92000,1,1,3
ORG,Oregon,309,4,91744,1,4,353
WSG,Warsangali,310,4,90676,1,1,18
MJK,MJK,311,0,90000,1,1,6
CAY,Cayor,312,0,90000,1,1,2
VND,VND,313,0,89000,1,1,14
AYI,Anyi,314,0,88000,1,1,8
KKI,KKI,315,0,87491,1,3,14
KBU,Kaabu,316,0,85862,2,2,9
ATB,Athabaska,317,0,85700,3,3,1199
MST,Mecklenburg-Strelitz,318,3,85002,1,1,2
LUB,Lübeck,319,2,84396,1,1,1
SIK,Sikkim,320,1,84392,1,1,1
FJI,Fiji,321,0,82000,1,1,3
ANU,ANU,322,0,80200,0,1,9
TPS,Toposa,323,0,80000,1,1,14
SMB,Sambas,324,2,79000,1,1,3
LIP,Lippe,325,1,77546,1,1,1
OVB,OVB,326,0,77540,2,2,41
NAM,Nama,327,0,76300,2,2,78
LAH,Lahej,328,6,74100,1,1,8
MSI,Masai,329,0,73900,2,2,38
LAN,Lanfang,330,4,73700,0,1,3
TEK,TEK,331,0,71141,1,3,37
IRC,Iron Confederacy,332,0,68004,2,3,94
ADG,Kel Adagh,333,0,66396,2,2,75
SWZ,SWZ,334,5,64396,1,1,3
WBL,Griqualand,335,2,64000,1,1,8
NTU,Ngāi Tahu,336,0,64000,1,1,41
MGH,MGH,337,0,62201,1,1,5
MKT,Miskitia,338,3,62000,1,1,4
SEQ,Indian Territory,339,1,62000,1,1,32
HOH,Hohenzollern,340,2,61334,1,1,1
MAI,MAI,341,3,60613,1,1,11
TRN,Transvaal,342,5,60192,1,1,11
ABU,Trucial States,343,3,60120,1,1,15
YOG,Yogyakarta,344,4,58311,1,1,1
TMN,TMN,345,0,56624,1,1,6
BTN,Buton,346,1,56567,1,1,2
TEX,Texas,347,2,56264,1,1,81
KNK,Kanak,348,0,56004,1,1,3
MLD,MLD,349,0,55992,1,1,1
WLD,Waldeck,350,1,55447,1,1,1
UNT,United Tribes,351,3,55000,1,1,22
IQU,IQU,352,2,55000,1,1,17
DGR,DGR,353,0,55000,1,1,12
THL,Tehuelche,354,0,53300,2,2,220
BLA,Bilua,355,0,52400,1,1,7
DIO,DIO,356,0,51554,1,1,2
KAU,KAU,357,2,51300,1,1,4
NAR,NAR,358,0,49351,1,1,3
JAS,Jaisalmer,359,0,48813,1,1,9
MCR,Micronesia,360,0,48448,2,2,9
ZWY,ZWY,361,0,48000,3,3,102
HLA,Halia,362,0,48000,1,1,3
STG,Sintang,363,3,47500,1,1,11
WDJ,WDJ,364,0,47121,2,2,76
COM,Comanche,365,0,47000,2,4,75
TUG,TUG,366,1,46400,1,1,27
JAB,Jabal Shammar,367,1,45896,1,1,163
RGB,RGB,368,0,45616,2,4,126
TIP,TIP,369,0,45102,0,1,3
KLO,KLO,370,0,45000,1,1,5
NTO,Ngāti Toa,371,0,44428,2,2,7
TKE,Teke,372,0,44000,1,1,10
KAT,Kathiri,373,1,43900,1,1,35
SRK,Surakarta,374,2,43431,1,1,1
ORA,Oranje,375,3,43220,1,1,17
SAS,South Australia,376,2,42203,1,1,4
NVJ,Navajo,377,0,42000,2,3,30
AJR,AJR,378,0,42000,1,1,12
TAS,Tasmania,379,1,41400,1,1,21
DLM,DLM,380,0,40771,2,2,31
TNG,Tonga,381,0,40000,1,1,4
SCT,SCT,382,0,40000,1,2,9
NZP,Nimíipuu,383,0,40000,1,1,30
BNN,BNN,384,0,38000,3,3,59
AUL,AUL,385,0,37000,1,1,10
SAN,SAN,386,0,37000,4,4,100
AGC,AGC,387,0,36836,0,1,7
BHN,Bahrain,388,0,36538,2,2,4
ARH,ARH,389,0,36430,1,1,63
ADR,ADR,390,0,36430,2,3,71
MAH,Mahra,391,1,36200,1,1,12
SKY,SKY,392,0,36000,0,1,22
ABS,Absaroka,393,0,34500,2,2,39
BLF,Niitsitapi,394,0,34400,1,2,58
EZO,Ezochi,395,0,31871,2,2,24
PHL,PHL,396,2,31280,1,1,7
MBS,MBS,397,2,30001,1,1,3
GNI,Guarani,398,0,29430,2,3,117
AHG,Kel Ahaggar,399,0,29004,1,1,112
AJJ,AJJ,400,0,28000,3,3,76
WTI,WTI,401,0,27804,3,3,430
KLN,KLN,402,0,26956,3,3,65
KAF,KAF,403,0,26748,1,1,5
PMA,PMA,404,0,25710,1,1,85
TGI,TGI,405,2,24996,0,1,3
CMB,CMB,406,0,24300,0,2,104
APC,Apache,407,0,24000,2,2,24
SCM,Schaumburg-Lippe,408,0,23820,1,1,1
WRR,WRR,409,0,23100,2,2,55
WAS,Western Australia,410,1,22502,1,1,15
NNG,Noongar,411,0,21100,1,1,50
ORM,ORM,412,0,21000,0,1,8
DIN,DIN,413,0,21000,1,1,27
MRA,MRA,414,0,20315,1,1,148
PWN,Pawnee,415,0,20000,2,2,42
UTE,Ute,416,0,19000,2,2,60
WTU,WTU,417,3,18500,1,1,2
GRW,GRW,418,0,16750,2,2,30
LRR,LRR,419,0,15600,1,1,8
ATR,ATR,420,0,15000,1,1,29
ARR,ARR,421,0,14840,2,2,103
ALK,ALK,422,1,14821,0,2,289
SLS,SLS,423,0,14200,1,2,46
ARP,Arapaho,424,0,14000,2,2,38
KYN,KYN,425,0,13500,1,1,53
WKB,WKB,426,0,13400,1,1,24
BRK,BRK,427,0,12510,1,1,9
MRN,MRN,428,0,12500,2,2,8
TUA,Tuat,429,0,12000,1,1,60
SLK,Selk’nam,430,0,12000,1,1,27
KRI,KRI,431,0,11431,2,2,20
MZB,MZB,432,0,10991,1,1,52
YUR,YUR,433,0,10766,2,2,65
KNC,KNC,434,0,10643,4,4,132
NYP,NYP,435,0,10500,2,2,66
KTU,KTU,436,0,10500,1,1,32
YGU,YGU,437,0,10200,1,1,7
PAA,PAA,438,0,10080,3,3,65
SML,SML,439,0,10000,1,1,5
AIN,Ainu Mosir,440,0,7281,1,1,7
SKH,Evenki,441,0,5193,1,1,12
ULT,ULT,442,0,4242,1,1,7
NRU,Nauru,443,0,1251,1,1,2
