tag,country,state,rgo,kind,capacity,state_arable_land
AUS,Austria,BUKOVINA,iron_mine,capped,4,100
AUS,Austria,BUKOVINA,vineyard,plantation,,100
AUS,Austria,DALMATIA,logging_camp,capped,4,20
AUS,Austria,DALMATIA,livestock_ranch,farm,,20
AUS,Austria,EAST_GALICIA,coal_mine,capped,92,145
AUS,Austria,EAST_GALICIA,logging_camp,capped,9,145
AUS,Austria,EAST_GALICIA,oil_rig,discoverable,100,145
AUS,Austria,ISTRIA,coal_mine,capped,44,25
AUS,Austria,ISTRIA,logging_camp,capped,5,25
AUS,Austria,ISTRIA,livestock_ranch,farm,,25
AUS,Austria,ISTRIA,wheat_farm,farm,,25
AUS,Austria,ISTRIA,vineyard,plantation,,25
AUS,Austria,LOMBARDY,iron_mine,capped,27,110
AUS,Austria,LOMBARDY,lead_mine,capped,19,110
AUS,Austria,LOMBARDY,logging_camp,capped,7,110
AUS,Austria,LOMBARDY,oil_rig,discoverable,20,110
AUS,Austria,LOMBARDY,livestock_ranch,farm,,110
AUS,Austria,LOMBARDY,cotton_plantation,plantation,,110
AUS,Austria,LOMBARDY,silk_plantation,plantation,,110
AUS,Austria,MONTENEGRO,coal_mine,capped,50,38
AUS,Austria,MONTENEGRO,fishing_wharf,capped,15,38
AUS,Austria,MONTENEGRO,logging_camp,capped,15,38
AUS,Austria,MONTENEGRO,livestock_ranch,farm,,38
AUS,Austria,MONTENEGRO,wheat_farm,farm,,38
AUS,Austria,MONTENEGRO,vineyard,plantation,,38
AUS,Austria,MORAVIA,iron_mine,capped,10,80
AUS,Austria,MORAVIA,livestock_ranch,farm,,80
AUS,Austria,SLOVENIA,coal_mine,capped,60,25
AUS,Austria,SLOVENIA,vineyard,plantation,,25
AUS,Austria,SOUTH_TYROL,logging_camp,capped,6,30
AUS,Austria,SOUTH_TYROL,livestock_ranch,farm,,30
AUS,Austria,STYRIA,coal_mine,capped,40,40
AUS,Austria,STYRIA,logging_camp,capped,8,40
AUS,Austria,STYRIA,vineyard,plantation,,40
AUS,Austria,TYROL,logging_camp,capped,9,30
AUS,Austria,TYROL,wheat_farm,farm,,30
AUS,Austria,TYROL,vineyard,plantation,,30
AUS,Austria,VENETIA,coal_mine,capped,44,70
AUS,Austria,VENETIA,logging_camp,capped,7,70
AUS,Austria,VENETIA,sulfur_mine,capped,36,70
AUS,Austria,VENETIA,livestock_ranch,farm,,70
AUS,Austria,WEST_GALICIA,coal_mine,capped,140,145
AUS,Austria,WEST_GALICIA,logging_camp,capped,17,145
AUS,Austria,WEST_GALICIA,oil_rig,discoverable,60,145
BAV,Bavaria,BAVARIA,coal_mine,capped,60,65
BAV,Bavaria,BAVARIA,lead_mine,capped,30,65
BAV,Bavaria,BAVARIA,vineyard,plantation,,65
BAV,Bavaria,FRANCONIA,iron_mine,capped,30,80
BAV,Bavaria,RHINELAND,coal_mine,capped,60,55
BAV,Bavaria,RHINELAND,lead_mine,capped,30,55
BAV,Bavaria,RHINELAND,logging_camp,capped,11,55
BEL,Belgium,GELRE,coal_mine,capped,40,40
BEL,Belgium,GELRE,logging_camp,capped,9,40
BEL,Belgium,GELRE,livestock_ranch,farm,,40
BEL,Belgium,GELRE,rye_farm,farm,,40
BEL,Belgium,WALLONIA,lead_mine,capped,30,55
BEL,Belgium,WALLONIA,livestock_ranch,farm,,55
BRZ,Brazil,BAHIA,iron_mine,capped,15,80
BRZ,Brazil,BAHIA,rubber_plantation,discoverable,3,80
BRZ,Brazil,BAHIA,livestock_ranch,farm,,80
BRZ,Brazil,BAHIA,tobacco_plantation,plantation,,80
BRZ,Brazil,CEARA,iron_mine,capped,18,30
BRZ,Brazil,CEARA,rubber_plantation,discoverable,3,30
BRZ,Brazil,CEARA,livestock_ranch,farm,,30
BRZ,Brazil,CEARA,banana_plantation,plantation,,30
BRZ,Brazil,CEARA,sugar_plantation,plantation,,30
BRZ,Brazil,CEARA,tobacco_plantation,plantation,,30
BRZ,Brazil,GOIAS,fishing_wharf,capped,7,40
BRZ,Brazil,GOIAS,rubber_plantation,discoverable,16,40
BRZ,Brazil,GOIAS,livestock_ranch,farm,,40
BRZ,Brazil,GOIAS,banana_plantation,plantation,,40
BRZ,Brazil,GOIAS,coffee_plantation,plantation,,40
BRZ,Brazil,GOIAS,sugar_plantation,plantation,,40
BRZ,Brazil,GOIAS,tobacco_plantation,plantation,,40
BRZ,Brazil,MARANHAO,fishing_wharf,capped,7,30
BRZ,Brazil,MARANHAO,rubber_plantation,discoverable,16,30
BRZ,Brazil,MARANHAO,livestock_ranch,farm,,30
BRZ,Brazil,MARANHAO,sugar_plantation,plantation,,30
BRZ,Brazil,MARANHAO,tobacco_plantation,plantation,,30
BRZ,Brazil,MATO_GROSSO,iron_mine,capped,18,60
BRZ,Brazil,MATO_GROSSO,oil_rig,discoverable,20,60
BRZ,Brazil,MATO_GROSSO,rubber_plantation,discoverable,26,60
BRZ,Brazil,MATO_GROSSO,livestock_ranch,farm,,60
BRZ,Brazil,MATO_GROSSO,coffee_plantation,plantation,,60
BRZ,Brazil,MATO_GROSSO,cotton_plantation,plantation,,60
BRZ,Brazil,MINAS_GERAIS,lead_mine,capped,30,150
BRZ,Brazil,MINAS_GERAIS,gold_field,discoverable,8,150
BRZ,Brazil,MINAS_GERAIS,oil_rig,discoverable,20,150
BRZ,Brazil,MINAS_GERAIS,rubber_plantation,discoverable,7,150
BRZ,Brazil,MINAS_GERAIS,cotton_plantation,plantation,,150
BRZ,Brazil,MINAS_GERAIS,sugar_plantation,plantation,,150
BRZ,Brazil,MINAS_GERAIS,tobacco_plantation,plantation,,150
BRZ,Brazil,PARAIBA,fishing_wharf,capped,2,50
BRZ,Brazil,PARAIBA,logging_camp,capped,4,50
BRZ,Brazil,PARAIBA,rubber_plantation,discoverable,1,50
BRZ,Brazil,PARAIBA,livestock_ranch,farm,,50
BRZ,Brazil,PARAIBA,banana_plantation,plantation,,50
BRZ,Brazil,PARAIBA,cotton_plantation,plantation,,50
BRZ,Brazil,PARAIBA,sugar_plantation,plantation,,50
BRZ,Brazil,PARANA,coal_mine,capped,20,40
BRZ,Brazil,PARANA,fishing_wharf,capped,3,40
BRZ,Brazil,PARANA,whaling_station,capped,2,40
BRZ,Brazil,PARANA,livestock_ranch,farm,,40
BRZ,Brazil,PARANA,coffee_plantation,plantation,,40
BRZ,Brazil,PARANA,cotton_plantation,plantation,,40
BRZ,Brazil,PARANA,dye_plantation,plantation,,40
BRZ,Brazil,PARANA,sugar_plantation,plantation,,40
BRZ,Brazil,PARANA,tea_plantation,plantation,,40
BRZ,Brazil,PARANA,vineyard,plantation,,40
BRZ,Brazil,PERNAMBUCO,fishing_wharf,capped,3,60
BRZ,Brazil,PERNAMBUCO,logging_camp,capped,5,60
BRZ,Brazil,PERNAMBUCO,rubber_plantation,discoverable,2,60
BRZ,Brazil,PERNAMBUCO,livestock_ranch,farm,,60
BRZ,Brazil,PERNAMBUCO,coffee_plantation,plantation,,60
BRZ,Brazil,PIAUI,fishing_wharf,capped,7,30
BRZ,Brazil,PIAUI,iron_mine,capped,36,30
BRZ,Brazil,PIAUI,rubber_plantation,discoverable,4,30
BRZ,Brazil,PIAUI,livestock_ranch,farm,,30
BRZ,Brazil,PIAUI,banana_plantation,plantation,,30
BRZ,Brazil,PIAUI,cotton_plantation,plantation,,30
BRZ,Brazil,PIAUI,sugar_plantation,plantation,,30
BRZ,Brazil,PIAUI,tobacco_plantation,plantation,,30
BRZ,Brazil,RIO_DE_JANEIRO,logging_camp,capped,9,80
BRZ,Brazil,RIO_DE_JANEIRO,whaling_station,capped,4,80
BRZ,Brazil,RIO_DE_JANEIRO,rubber_plantation,discoverable,7,80
BRZ,Brazil,RIO_DE_JANEIRO,livestock_ranch,farm,,80
BRZ,Brazil,RIO_DE_JANEIRO,dye_plantation,plantation,,80
BRZ,Brazil,RIO_DE_JANEIRO,tea_plantation,plantation,,80
BRZ,Brazil,RIO_GRANDE_DO_NORTE,rubber_plantation,discoverable,2,30
BRZ,Brazil,RIO_GRANDE_DO_NORTE,livestock_ranch,farm,,30
BRZ,Brazil,RIO_GRANDE_DO_NORTE,banana_plantation,plantation,,30
BRZ,Brazil,RIO_GRANDE_DO_NORTE,cotton_plantation,plantation,,30
BRZ,Brazil,RIO_GRANDE_DO_NORTE,sugar_plantation,plantation,,30
BRZ,Brazil,RIO_GRANDE_DO_NORTE,tobacco_plantation,plantation,,30
BRZ,Brazil,SANTA_CATARINA,coal_mine,capped,20,40
BRZ,Brazil,SANTA_CATARINA,fishing_wharf,capped,2,40
BRZ,Brazil,SANTA_CATARINA,whaling_station,capped,2,40
BRZ,Brazil,SANTA_CATARINA,livestock_ranch,farm,,40
BRZ,Brazil,SANTA_CATARINA,banana_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,coffee_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,cotton_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,dye_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,sugar_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,tea_plantation,plantation,,40
BRZ,Brazil,SANTA_CATARINA,vineyard,plantation,,40
BRZ,Brazil,SAO_PAULO,fishing_wharf,capped,5,130
BRZ,Brazil,SAO_PAULO,oil_rig,discoverable,20,130
BRZ,Brazil,SAO_PAULO,rubber_plantation,discoverable,10,130
BRZ,Brazil,SAO_PAULO,banana_plantation,plantation,,130
BRZ,Brazil,SAO_PAULO,cotton_plantation,plantation,,130
BRZ,Brazil,SAO_PAULO,dye_plantation,plantation,,130
BRZ,Brazil,SAO_PAULO,tea_plantation,plantation,,130
BUR,Burma,KACHIN,gold_mine,capped,3,38
BUR,Burma,KACHIN,iron_mine,capped,7,38
BUR,Burma,KACHIN,logging_camp,capped,24,38
BUR,Burma,KACHIN,banana_plantation,plantation,,38
BUR,Burma,KACHIN,cotton_plantation,plantation,,38
BUR,Burma,KACHIN,opium_plantation,plantation,,38
BUR,Burma,KACHIN,sugar_plantation,plantation,,38
BUR,Burma,KACHIN,tea_plantation,plantation,,38
BUR,Burma,MANDALAY,gold_mine,capped,2,48
BUR,Burma,MANDALAY,iron_mine,capped,16,48
BUR,Burma,MANDALAY,logging_camp,capped,20,48
BUR,Burma,MANDALAY,oil_rig,discoverable,26,48
BUR,Burma,MANDALAY,rubber_plantation,discoverable,20,48
BUR,Burma,MANDALAY,banana_plantation,plantation,,48
BUR,Burma,MANDALAY,cotton_plantation,plantation,,48
BUR,Burma,MANDALAY,dye_plantation,plantation,,48
BUR,Burma,MANDALAY,silk_plantation,plantation,,48
BUR,Burma,MANDALAY,sugar_plantation,plantation,,48
BUR,Burma,PEGU,logging_camp,capped,18,40
BUR,Burma,PEGU,oil_rig,discoverable,5,40
BUR,Burma,PEGU,rubber_plantation,discoverable,9,40
BUR,Burma,PEGU,livestock_ranch,farm,,40
BUR,Burma,PEGU,banana_plantation,plantation,,40
BUR,Burma,PEGU,dye_plantation,plantation,,40
BUR,Burma,PEGU,opium_plantation,plantation,,40
BUR,Burma,PEGU,sugar_plantation,plantation,,40
BUR,Burma,SHAN_STATES,coal_mine,capped,5,33
BUR,Burma,SHAN_STATES,iron_mine,capped,8,33
BUR,Burma,SHAN_STATES,lead_mine,capped,34,33
BUR,Burma,SHAN_STATES,logging_camp,capped,17,33
BUR,Burma,SHAN_STATES,rubber_plantation,discoverable,2,33
BUR,Burma,SHAN_STATES,livestock_ranch,farm,,33
BUR,Burma,SHAN_STATES,rice_farm,farm,,33
BUR,Burma,SHAN_STATES,banana_plantation,plantation,,33
BUR,Burma,SHAN_STATES,cotton_plantation,plantation,,33
BUR,Burma,SHAN_STATES,sugar_plantation,plantation,,33
BUR,Burma,SHAN_STATES,tea_plantation,plantation,,33
CHI,China,ALTAI,iron_mine,capped,7,10
CHI,China,ALTAI,lead_mine,capped,12,10
CHI,China,ALTAI,logging_camp,capped,18,10
CHI,China,ALTAI,gold_field,discoverable,3,10
CHI,China,ALTAI,livestock_ranch,farm,,10
CHI,China,ALXA,coal_mine,capped,32,11
CHI,China,ALXA,oil_rig,discoverable,10,11
CHI,China,AMUR,coal_mine,capped,20,30
CHI,China,AMUR,fishing_wharf,capped,6,30
CHI,China,AMUR,iron_mine,capped,25,30
CHI,China,AMUR,logging_camp,capped,25,30
CHI,China,AMUR,gold_field,discoverable,18,30
CHI,China,AMUR,livestock_ranch,farm,,30
CHI,China,AMUR,rye_farm,farm,,30
CHI,China,BEIJING,coal_mine,capped,28,340
CHI,China,BEIJING,fishing_wharf,capped,3,340
CHI,China,BEIJING,iron_mine,capped,30,340
CHI,China,BEIJING,lead_mine,capped,15,340
CHI,China,BEIJING,livestock_ranch,farm,,340
CHI,China,BEIJING,cotton_plantation,plantation,,340
CHI,China,BEIJING,silk_plantation,plantation,,340
CHI,China,BEIJING,tobacco_plantation,plantation,,340
CHI,China,CHONGQING,coal_mine,capped,36,500
CHI,China,CHONGQING,logging_camp,capped,9,500
CHI,China,CHONGQING,oil_rig,discoverable,10,500
CHI,China,CHONGQING,livestock_ranch,farm,,500
CHI,China,CHONGQING,rice_farm,farm,,500
CHI,China,CHONGQING,opium_plantation,plantation,,500
CHI,China,CHONGQING,tobacco_plantation,plantation,,500
CHI,China,CHONGQING,vineyard,plantation,,500
CHI,China,DZUNGARIA,iron_mine,capped,24,30
CHI,China,DZUNGARIA,lead_mine,capped,36,30
CHI,China,DZUNGARIA,sulfur_mine,capped,80,30
CHI,China,DZUNGARIA,oil_rig,discoverable,10,30
CHI,China,DZUNGARIA,wheat_farm,farm,,30
CHI,China,EASTERN_HUBEI,logging_camp,capped,8,320
CHI,China,EASTERN_HUBEI,livestock_ranch,farm,,320
CHI,China,EASTERN_HUBEI,cotton_plantation,plantation,,320
CHI,China,EASTERN_HUBEI,tobacco_plantation,plantation,,320
CHI,China,FORMOSA,coal_mine,capped,6,80
CHI,China,FORMOSA,logging_camp,capped,7,80
CHI,China,FORMOSA,oil_rig,discoverable,6,80
CHI,China,FORMOSA,livestock_ranch,farm,,80
CHI,China,FORMOSA,rice_farm,farm,,80
CHI,China,FORMOSA,cotton_plantation,plantation,,80
CHI,China,FORMOSA,tobacco_plantation,plantation,,80
CHI,China,FUJIAN,logging_camp,capped,16,400
CHI,China,FUJIAN,livestock_ranch,farm,,400
CHI,China,FUJIAN,opium_plantation,plantation,,400
CHI,China,FUJIAN,tobacco_plantation,plantation,,400
CHI,China,GANSU,logging_camp,capped,5,150
CHI,China,GANSU,rice_farm,farm,,150
CHI,China,GANSU,cotton_plantation,plantation,,150
CHI,China,GANSU,tobacco_plantation,plantation,,150
CHI,China,GUANGDONG,logging_camp,capped,8,330
CHI,China,GUANGDONG,livestock_ranch,farm,,330
CHI,China,GUANGDONG,tobacco_plantation,plantation,,330
CHI,China,GUANGXI,logging_camp,capped,9,400
CHI,China,GUANGXI,livestock_ranch,farm,,400
CHI,China,GUANGXI,tobacco_plantation,plantation,,400
CHI,China,GUIZHOU,coal_mine,capped,32,110
CHI,China,GUIZHOU,livestock_ranch,farm,,110
CHI,China,GUIZHOU,rice_farm,farm,,110
CHI,China,GUIZHOU,tobacco_plantation,plantation,,110
CHI,China,HENAN,coal_mine,capped,52,500
CHI,China,HENAN,logging_camp,capped,11,500
CHI,China,HENAN,sulfur_mine,capped,36,500
CHI,China,HENAN,livestock_ranch,farm,,500
CHI,China,HENAN,rice_farm,farm,,500
CHI,China,HENAN,cotton_plantation,plantation,,500
CHI,China,HENAN,silk_plantation,plantation,,500
CHI,China,HENAN,tobacco_plantation,plantation,,500
CHI,China,HINGGAN,iron_mine,capped,36,102
CHI,China,HINGGAN,lead_mine,capped,24,102
CHI,China,HINGGAN,logging_camp,capped,6,102
CHI,China,HINGGAN,wheat_farm,farm,,102
CHI,China,HUNAN,sulfur_mine,capped,44,330
CHI,China,HUNAN,livestock_ranch,farm,,330
CHI,China,HUNAN,cotton_plantation,plantation,,330
CHI,China,HUNAN,silk_plantation,plantation,,330
CHI,China,HUNAN,tobacco_plantation,plantation,,330
CHI,China,JETISY,coal_mine,capped,12,50
CHI,China,JETISY,lead_mine,capped,20,50
CHI,China,JETISY,livestock_ranch,farm,,50
CHI,China,JIANGSU,fishing_wharf,capped,8,280
CHI,China,JIANGSU,logging_camp,capped,8,280
CHI,China,JIANGSU,livestock_ranch,farm,,280
CHI,China,JIANGSU,cotton_plantation,plantation,,280
CHI,China,JIANGSU,silk_plantation,plantation,,280
CHI,China,JIANGSU,tobacco_plantation,plantation,,280
CHI,China,JIANGXI,coal_mine,capped,52,600
CHI,China,JIANGXI,logging_camp,capped,15,600
CHI,China,JIANGXI,livestock_ranch,farm,,600
CHI,China,JIANGXI,cotton_plantation,plantation,,600
CHI,China,JIANGXI,tobacco_plantation,plantation,,600
CHI,China,KIRGHIZIA,coal_mine,capped,32,50
CHI,China,KIRGHIZIA,logging_camp,capped,6,50
CHI,China,KIRGHIZIA,livestock_ranch,farm,,50
CHI,China,KIRGHIZIA,tea_plantation,plantation,,50
CHI,China,NANJING,logging_camp,capped,5,360
CHI,China,NANJING,livestock_ranch,farm,,360
CHI,China,NANJING,cotton_plantation,plantation,,360
CHI,China,NANJING,silk_plantation,plantation,,360
CHI,China,NANJING,tobacco_plantation,plantation,,360
CHI,China,NINGXIA,logging_camp,capped,8,200
CHI,China,NINGXIA,livestock_ranch,farm,,200
CHI,China,NINGXIA,rice_farm,farm,,200
CHI,China,NINGXIA,opium_plantation,plantation,,200
CHI,China,NINGXIA,tobacco_plantation,plantation,,200
CHI,China,NINGXIA,vineyard,plantation,,200
CHI,China,NORTHERN_ANHUI,coal_mine,capped,48,270
CHI,China,NORTHERN_ANHUI,logging_camp,capped,6,270
CHI,China,NORTHERN_ANHUI,livestock_ranch,farm,,270
CHI,China,NORTHERN_ANHUI,cotton_plantation,plantation,,270
CHI,China,NORTHERN_ANHUI,silk_plantation,plantation,,270
CHI,China,NORTHERN_ANHUI,tobacco_plantation,plantation,,270
CHI,China,NORTHERN_MANCHURIA,coal_mine,capped,4,140
CHI,China,NORTHERN_MANCHURIA,lead_mine,capped,5,140
CHI,China,NORTHERN_MANCHURIA,wheat_farm,farm,,140
CHI,China,NORTHERN_MANCHURIA,cotton_plantation,plantation,,140
CHI,China,NORTHERN_MANCHURIA,opium_plantation,plantation,,140
CHI,China,NORTHERN_MANCHURIA,tobacco_plantation,plantation,,140
CHI,China,OUTER_MANCHURIA,coal_mine,capped,12,25
CHI,China,OUTER_MANCHURIA,fishing_wharf,capped,10,25
CHI,China,OUTER_MANCHURIA,iron_mine,capped,16,25
CHI,China,OUTER_MANCHURIA,lead_mine,capped,24,25
CHI,China,OUTER_MANCHURIA,logging_camp,capped,20,25
CHI,China,OUTER_MANCHURIA,gold_field,discoverable,8,25
CHI,China,OUTER_MANCHURIA,oil_rig,discoverable,20,25
CHI,China,OUTER_MANCHURIA,livestock_ranch,farm,,25
CHI,China,OUTER_MANCHURIA,rye_farm,farm,,25
CHI,China,QINGHAI,coal_mine,capped,48,60
CHI,China,QINGHAI,logging_camp,capped,6,60
CHI,China,SHANDONG,logging_camp,capped,6,350
CHI,China,SHANDONG,sulfur_mine,capped,32,350
CHI,China,SHANDONG,oil_rig,discoverable,20,350
CHI,China,SHANDONG,livestock_ranch,farm,,350
CHI,China,SHANDONG,cotton_plantation,plantation,,350
CHI,China,SHANDONG,silk_plantation,plantation,,350
CHI,China,SHANDONG,tobacco_plantation,plantation,,350
CHI,China,SHANXI,coal_mine,capped,116,375
CHI,China,SHANXI,iron_mine,capped,96,375
CHI,China,SHANXI,logging_camp,capped,7,375
CHI,China,SHANXI,sulfur_mine,capped,48,375
CHI,China,SHANXI,oil_rig,discoverable,30,375
CHI,China,SHANXI,livestock_ranch,farm,,375
CHI,China,SHANXI,tobacco_plantation,plantation,,375
CHI,China,SHANXI,vineyard,plantation,,375
CHI,China,SHAOZHOU,fishing_wharf,capped,10,200
CHI,China,SHAOZHOU,logging_camp,capped,11,200
CHI,China,SHAOZHOU,livestock_ranch,farm,,200
CHI,China,SHAOZHOU,banana_plantation,plantation,,200
CHI,China,SHAOZHOU,tobacco_plantation,plantation,,200
CHI,China,SHENGJING,coal_mine,capped,97,75
CHI,China,SHENGJING,fishing_wharf,capped,3,75
CHI,China,SHENGJING,iron_mine,capped,104,75
CHI,China,SHENGJING,lead_mine,capped,68,75
CHI,China,SHENGJING,logging_camp,capped,12,75
CHI,China,SHENGJING,oil_rig,discoverable,20,75
CHI,China,SHENGJING,livestock_ranch,farm,,75
CHI,China,SHENGJING,wheat_farm,farm,,75
CHI,China,SHENGJING,cotton_plantation,plantation,,75
CHI,China,SHENGJING,silk_plantation,plantation,,75
CHI,China,SHENGJING,tobacco_plantation,plantation,,75
CHI,China,SICHUAN,coal_mine,capped,60,330
CHI,China,SICHUAN,sulfur_mine,capped,40,330
CHI,China,SICHUAN,livestock_ranch,farm,,330
CHI,China,SICHUAN,rice_farm,farm,,330
CHI,China,SICHUAN,tea_plantation,plantation,,330
CHI,China,SICHUAN,tobacco_plantation,plantation,,330
CHI,China,SICHUAN,vineyard,plantation,,330
CHI,China,SOUTHERN_ANHUI,coal_mine,capped,40,550
CHI,China,SOUTHERN_ANHUI,logging_camp,capped,14,550
CHI,China,SOUTHERN_ANHUI,livestock_ranch,farm,,550
CHI,China,SOUTHERN_ANHUI,cotton_plantation,plantation,,550
CHI,China,SOUTHERN_ANHUI,silk_plantation,plantation,,550
CHI,China,SOUTHERN_ANHUI,tobacco_plantation,plantation,,550
CHI,China,SOUTHERN_MANCHURIA,coal_mine,capped,14,200
CHI,China,SOUTHERN_MANCHURIA,fishing_wharf,capped,8,200
CHI,China,SOUTHERN_MANCHURIA,lead_mine,capped,25,200
CHI,China,SOUTHERN_MANCHURIA,wheat_farm,farm,,200
CHI,China,SOUTHERN_MANCHURIA,cotton_plantation,plantation,,200
CHI,China,SOUTHERN_MANCHURIA,opium_plantation,plantation,,200
CHI,China,SOUTHERN_MANCHURIA,silk_plantation,plantation,,200
CHI,China,SOUTHERN_MANCHURIA,tobacco_plantation,plantation,,200
CHI,China,SUZHOU,logging_camp,capped,5,400
CHI,China,SUZHOU,livestock_ranch,farm,,400
CHI,China,SUZHOU,rice_farm,farm,,400
CHI,China,SUZHOU,cotton_plantation,plantation,,400
CHI,China,SUZHOU,silk_plantation,plantation,,400
CHI,China,SUZHOU,tobacco_plantation,plantation,,400
CHI,China,TIANSHAN,wheat_farm,farm,,40
CHI,China,TIANSHAN,cotton_plantation,plantation,,40
CHI,China,TUVA,coal_mine,capped,44,15
CHI,China,TUVA,iron_mine,capped,18,15
CHI,China,TUVA,logging_camp,capped,14,15
CHI,China,TUVA,livestock_ranch,farm,,15
CHI,China,TUVA,rye_farm,farm,,15
CHI,China,ULIASTAI,coal_mine,capped,36,30
CHI,China,ULIASTAI,iron_mine,capped,33,30
CHI,China,ULIASTAI,logging_camp,capped,5,30
CHI,China,URGA,coal_mine,capped,36,40
CHI,China,URGA,iron_mine,capped,45,40
CHI,China,URGA,logging_camp,capped,4,40
CHI,China,WESTERN_HUBEI,logging_camp,capped,9,320
CHI,China,WESTERN_HUBEI,livestock_ranch,farm,,320
CHI,China,WESTERN_HUBEI,cotton_plantation,plantation,,320
CHI,China,WESTERN_HUBEI,silk_plantation,plantation,,320
CHI,China,WESTERN_HUBEI,tobacco_plantation,plantation,,320
CHI,China,XIAN,coal_mine,capped,72,250
CHI,China,XIAN,logging_camp,capped,9,250
CHI,China,XIAN,sulfur_mine,capped,60,250
CHI,China,XIAN,oil_rig,discoverable,20,250
CHI,China,XIAN,livestock_ranch,farm,,250
CHI,China,XIAN,rice_farm,farm,,250
CHI,China,XIAN,cotton_plantation,plantation,,250
CHI,China,XIAN,opium_plantation,plantation,,250
CHI,China,XIAN,silk_plantation,plantation,,250
CHI,China,XIAN,tobacco_plantation,plantation,,250
CHI,China,XIAN,vineyard,plantation,,250
CHI,China,YUNNAN,coal_mine,capped,40,150
CHI,China,YUNNAN,iron_mine,capped,60,150
CHI,China,YUNNAN,livestock_ranch,farm,,150
CHI,China,YUNNAN,rice_farm,farm,,150
CHI,China,YUNNAN,tobacco_plantation,plantation,,150
CHI,China,YUNNAN,vineyard,plantation,,150
CHI,China,ZHEJIANG,logging_camp,capped,20,250
