tag,country,n_states,arable_land,plantations,staples,rgo_capped,rgo_discoverable
EGY,Egypt,14,498,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm wheat_farm,coal_mine:88 fishing_wharf:65 iron_mine:39 logging_camp:53 sulfur_mine:41,oil_rig:25
PAN,Punjab,3,837,coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch wheat_farm,coal_mine:6 iron_mine:18 lead_mine:4 logging_camp:26,oil_rig:7
DEI,Dutch East Indies,10,550,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:128 fishing_wharf:86 iron_mine:66 logging_camp:148 sulfur_mine:260,oil_rig:145 rubber_plantation:150
HUN,Hungary,7,610,vineyard,livestock_ranch wheat_farm,coal_mine:240 iron_mine:93 lead_mine:33 logging_camp:60,oil_rig:20
POR,Portugal,18,1824,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm rice_farm wheat_farm,coal_mine:56 fishing_wharf:141 gold_mine:7 iron_mine:129 lead_mine:9 logging_camp:163 sulfur_mine:62 whaling_station:18,gold_field:7 oil_rig:8 rubber_plantation:154
SIC,Two Sicilies,5,265,cotton_plantation silk_plantation sugar_plantation vineyard,livestock_ranch wheat_farm,coal_mine:16 fishing_wharf:53 iron_mine:24 logging_camp:37 sulfur_mine:100,
NET,Netherlands,6,240,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tobacco_plantation,livestock_ranch millet_farm rice_farm rye_farm,coal_mine:40 fishing_wharf:46 logging_camp:49 whaling_station:5,gold_field:12 oil_rig:110 rubber_plantation:38
SOK,Sokoto,5,440,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch millet_farm,coal_mine:120 iron_mine:45 lead_mine:45 logging_camp:83,oil_rig:20 rubber_plantation:44
SAR,Sardinia-Piedmont,4,185,cotton_plantation silk_plantation vineyard,livestock_ranch rice_farm wheat_farm,coal_mine:48 fishing_wharf:28 iron_mine:90 lead_mine:90 logging_camp:37 sulfur_mine:20,
SWE,Sweden,5,110,,livestock_ranch rye_farm,coal_mine:8 fishing_wharf:51 iron_mine:175 lead_mine:18 logging_camp:142,
HYD,Hyderabad,1,250,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:6 iron_mine:4 logging_camp:16,
GRE,Greece,3,40,cotton_plantation tobacco_plantation vineyard,livestock_ranch wheat_farm,fishing_wharf:22 iron_mine:21 lead_mine:21 logging_camp:12 sulfur_mine:32,
DAI,Dai Nam,3,180,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation,livestock_ranch rice_farm,coal_mine:62 fishing_wharf:38 iron_mine:27 logging_camp:52,rubber_plantation:30
NEP,Nepal,1,111,opium_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,iron_mine:8 lead_mine:8 logging_camp:10,
CLM,Colombia,5,330,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation sugar_plantation tobacco_plantation,livestock_ranch maize_farm rice_farm,coal_mine:108 fishing_wharf:20 iron_mine:36 logging_camp:61 whaling_station:4,oil_rig:20 rubber_plantation:54
ARG,Argentina,6,760,banana_plantation coffee_plantation dye_plantation sugar_plantation tobacco_plantation vineyard,livestock_ranch maize_farm wheat_farm,fishing_wharf:14 gold_mine:6 iron_mine:75 lead_mine:33 logging_camp:62,oil_rig:40
SIA,Siam,5,200,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:64 fishing_wharf:29 iron_mine:66 lead_mine:24 logging_camp:102,rubber_plantation:70
MOR,Morocco,4,230,banana_plantation cotton_plantation sugar_plantation vineyard,livestock_ranch wheat_farm,coal_mine:12 fishing_wharf:24 gold_mine:3 iron_mine:60 lead_mine:30 logging_camp:10 sulfur_mine:52,
OMA,Oman,6,283,banana_plantation coffee_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm wheat_farm,coal_mine:12 fishing_wharf:49 iron_mine:45 lead_mine:10 logging_camp:19,oil_rig:70 rubber_plantation:32
SHW,Shewa,1,130,coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation vineyard,livestock_ranch millet_farm,logging_camp:11,oil_rig:10 rubber_plantation:28
SAF,South Africa,3,150,banana_plantation cotton_plantation tea_plantation vineyard,livestock_ranch wheat_farm,coal_mine:56 fishing_wharf:18 iron_mine:33 logging_camp:19 whaling_station:4,gold_field:9
PHI,Philippines,4,210,banana_plantation coffee_plantation cotton_plantation dye_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:5 fishing_wharf:33 iron_mine:90 logging_camp:54 whaling_station:3,rubber_plantation:18
BEL,Belgium,2,145,,livestock_ranch wheat_farm,coal_mine:80 fishing_wharf:5 iron_mine:60 lead_mine:30 logging_camp:40 sulfur_mine:30,
BAV,Bavaria,3,200,vineyard,livestock_ranch wheat_farm,coal_mine:120 iron_mine:60 lead_mine:60 logging_camp:51,
BUR,Burma,4,159,banana_plantation cotton_plantation dye_plantation opium_plantation silk_plantation sugar_plantation tea_plantation tobacco_plantation,livestock_ranch rice_farm,coal_mine:5 fishing_wharf:10 gold_mine:5 iron_mine:31 lead_mine:34 logging_camp:79,oil_rig:31 rubber_plantation:31
