tag,country,wood_produced,wood_consumed,wood_net,wood_pct_unmet,tools_produced,tools_consumed,tools_net,tools_pct_unmet,iron_produced,iron_consumed,iron_net,iron_pct_unmet,hardwood_produced,hardwood_consumed,hardwood_net,hardwood_pct_unmet,clippers_produced,clippers_consumed,clippers_net,clippers_pct_unmet,silk_produced,silk_consumed,silk_net,silk_pct_unmet,dye_produced,dye_consumed,dye_net,dye_pct_unmet,coal_produced,coal_consumed,coal_net,coal_pct_unmet,steel_produced,steel_consumed,steel_net,steel_pct_unmet,sulfur_produced,sulfur_consumed,sulfur_net,sulfur_pct_unmet,lead_produced,lead_consumed,lead_net,lead_pct_unmet,fertilizer_produced,fertilizer_consumed,fertilizer_net,fertilizer_pct_unmet,explosives_produced,explosives_consumed,explosives_net,explosives_pct_unmet,engines_produced,engines_consumed,engines_net,engines_pct_unmet,glass_produced,glass_consumed,glass_net,glass_pct_unmet,oil_produced,oil_consumed,oil_net,oil_pct_unmet
PRU,Prussia,840.0,1070.0,-230.0,21.5,880.0,612.0,268.0,-43.8,480.0,600.0,-120.0,20.0,160.0,220.0,-60.0,27.3,40.0,12.0,28.0,-233.3,0.0,0.0,0.0,0.0,0.0,80.0,-80.0,100.0,520.0,280.0,240.0,-85.7,195.0,220.0,-25.0,11.4,120.0,120.0,0.0,0.0,160.0,70.0,90.0,-128.6,205.0,165.0,40.0,-24.2,50.0,40.0,10.0,-25.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
SPA,Spain,960.0,875.0,85.0,-9.7,0.0,110.0,-110.0,100.0,0.0,40.0,-40.0,100.0,100.0,50.0,50.0,-100.0,200.0,60.0,140.0,-233.3,45.0,0.0,45.0,0.0,30.0,0.0,30.0,0.0,40.0,20.0,20.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYD,Hyderabad,0.0,30.0,-30.0,100.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,100.0,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEI,Dutch East Indies,210.0,190.0,20.0,-10.5,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,100.0,70.0,0.0,70.0,0.0,40.0,12.0,28.0,-233.3,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUN,Hungary,90.0,135.0,-45.0,33.3,0.0,25.0,-25.0,100.0,60.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Egypt,120.0,455.0,-335.0,73.6,0.0,0.0,0.0,0.0,0.0,25.0,-25.0,100.0,40.0,20.0,20.0,-100.0,80.0,64.0,16.0,-25.0,15.0,0.0,15.0,0.0,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
PAN,Punjab,120.0,300.0,-180.0,60.0,60.0,20.0,40.0,-200.0,40.0,40.0,0.0,0.0,20.0,35.0,-15.0,42.9,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,90.0,10.0,80.0,-800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
SIC,Two Sicilies,300.0,410.0,-110.0,26.8,180.0,114.0,66.0,-57.9,40.0,80.0,-40.0,50.0,50.0,20.0,30.0,-150.0,80.0,36.0,44.0,-122.2,30.0,0.0,30.0,0.0,0.0,5.0,-5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
MEX,Mexico,240.0,195.0,45.0,-23.1,30.0,40.0,-10.0,25.0,20.0,5.0,15.0,-300.0,30.0,0.0,30.0,0.0,0.0,6.0,-6.0,100.0,0.0,0.0,0.0,0.0,210.0,5.0,205.0,-4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
PER,Persia,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,100.0,30.0,30.0,0.0,0.0,30.0,5.0,25.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
DAI,Dai Nam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POR,Portugal,180.0,185.0,-5.0,2.7,0.0,5.0,-5.0,100.0,0.0,5.0,-5.0,100.0,50.0,0.0,50.0,0.0,80.0,35.0,45.0,-128.6,0.0,15.0,-15.0,100.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0
SOK,Sokoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEP,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAV,Bavaria,360.0,203.0,157.0,-77.3,0.0,50.0,-50.0,100.0,20.0,0.0,20.0,0.0,60.0,45.0,15.0,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,100.0,0.0,2.0,-2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,-95.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,100.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
BEL,Belgium,420.0,346.0,74.0,-21.4,240.0,251.0,-11.0,4.4,240.0,210.0,30.0,-14.3,70.0,55.0,15.0,-27.3,40.0,23.0,17.0,-73.9,0.0,0.0,0.0,0.0,0.0,20.0,-20.0,100.0,200.0,144.0,56.0,-38.9,130.0,60.0,70.0,-116.7,80.0,90.0,-10.0,11.1,0.0,0.0,0.0,0.0,192.5,85.0,107.5,-126.5,50.0,0.0,50.0,0.0,0.0,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZ,Brazil,1080.0,440.0,640.0,-145.5,90.0,110.0,-20.0,18.2,40.0,30.0,10.0,-33.3,30.0,10.0,20.0,-200.0,80.0,42.0,38.0,-90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIA,Siam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-18.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAR,Sardinia-Piedmont,420.0,315.0,105.0,-33.3,120.0,79.0,41.0,-51.9,60.0,50.0,10.0,-20.0,70.0,10.0,60.0,-600.0,120.0,37.0,83.0,-224.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,Burma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOR,Morocco,30.0,100.0,-70.0,70.0,30.0,10.0,20.0,-200.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,12.0,28.0,-233.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
SWE,Sweden,900.0,240.0,660.0,-275.0,60.0,138.0,-78.0,56.5,140.0,85.0,55.0,-64.7,180.0,10.0,170.0,-1700.0,80.0,73.0,7.0,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NET,Netherlands,60.0,550.0,-490.0,89.1,0.0,0.0,0.0,0.0,0.0,35.0,-35.0,100.0,20.0,60.0,-40.0,66.7,160.0,73.0,87.0,-119.2,0.0,60.0,-60.0,100.0,0.0,25.0,-25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
PHI,Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLM,Colombia,90.0,30.0,60.0,-200.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,100.0,10.0,0.0,10.0,0.0,0.0,6.0,-6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMA,Oman,60.0,40.0,20.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,-10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRE,Greece,60.0,40.0,20.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,13.0,-48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,Argentina,120.0,100.0,20.0,-20.0,30.0,26.0,4.0,-15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,34.0,-566.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHW,Shewa,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAF,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
